dataset,metric,value,top_x,year,computed_date
HCHS_SOL,n_papers,642,NA,NA,2026-07-06
HCHS_SOL,n_authors,2494,NA,NA,2026-07-06
HCHS_SOL,hhi,1.3741665938802043,NA,NA,2026-07-06
HCHS_SOL,top_x_share,0.5638629283489096,1,NA,2026-07-06
HCHS_SOL,top_x_share,0.7897196261682243,3,NA,2026-07-06
HCHS_SOL,top_x_share,0.8520249221183801,5,NA,2026-07-06
HCHS_SOL,top_x_share,0.9096573208722741,10,NA,2026-07-06
HCHS_SOL,hhi,1.6802721088435346,NA,2014,2026-07-06
HCHS_SOL,top_x_share,0.5714285714285714,1,2014,2026-07-06
HCHS_SOL,top_x_share,0.7142857142857143,3,2014,2026-07-06
HCHS_SOL,top_x_share,0.7142857142857143,5,2014,2026-07-06
HCHS_SOL,top_x_share,0.9047619047619048,10,2014,2026-07-06
HCHS_SOL,hhi,1.7794117647058811,NA,2015,2026-07-06
HCHS_SOL,top_x_share,0.6470588235294118,1,2015,2026-07-06
HCHS_SOL,top_x_share,0.7058823529411765,3,2015,2026-07-06
HCHS_SOL,top_x_share,0.7352941176470589,5,2015,2026-07-06
HCHS_SOL,top_x_share,0.9705882352941176,10,2015,2026-07-06
HCHS_SOL,hhi,1.2005555555555583,NA,2016,2026-07-06
HCHS_SOL,top_x_share,0.38333333333333336,1,2016,2026-07-06
HCHS_SOL,top_x_share,0.6666666666666666,3,2016,2026-07-06
HCHS_SOL,top_x_share,0.7833333333333333,5,2016,2026-07-06
HCHS_SOL,top_x_share,0.85,10,2016,2026-07-06
HCHS_SOL,hhi,1.4539359861591663,NA,2017,2026-07-06
HCHS_SOL,top_x_share,0.35294117647058826,1,2017,2026-07-06
HCHS_SOL,top_x_share,0.8088235294117647,3,2017,2026-07-06
HCHS_SOL,top_x_share,0.9117647058823529,5,2017,2026-07-06
HCHS_SOL,top_x_share,0.9852941176470589,10,2017,2026-07-06
HCHS_SOL,hhi,1.7775926697209536,NA,2018,2026-07-06
HCHS_SOL,top_x_share,0.4489795918367347,1,2018,2026-07-06
HCHS_SOL,top_x_share,0.7551020408163265,3,2018,2026-07-06
HCHS_SOL,top_x_share,0.8571428571428571,5,2018,2026-07-06
HCHS_SOL,top_x_share,0.9591836734693877,10,2018,2026-07-06
HCHS_SOL,hhi,1.498150887573968,NA,2019,2026-07-06
HCHS_SOL,top_x_share,0.46153846153846156,1,2019,2026-07-06
HCHS_SOL,top_x_share,0.6923076923076923,3,2019,2026-07-06
HCHS_SOL,top_x_share,0.8653846153846154,5,2019,2026-07-06
HCHS_SOL,top_x_share,0.9038461538461539,10,2019,2026-07-06
HCHS_SOL,hhi,1.8250672818146776,NA,2020,2026-07-06
HCHS_SOL,top_x_share,0.6666666666666666,1,2020,2026-07-06
HCHS_SOL,top_x_share,0.803921568627451,3,2020,2026-07-06
HCHS_SOL,top_x_share,0.9019607843137255,5,2020,2026-07-06
HCHS_SOL,top_x_share,0.9607843137254902,10,2020,2026-07-06
HCHS_SOL,hhi,1.9330652111462245,NA,2021,2026-07-06
HCHS_SOL,top_x_share,0.7288135593220338,1,2021,2026-07-06
HCHS_SOL,top_x_share,0.864406779661017,3,2021,2026-07-06
HCHS_SOL,top_x_share,0.9152542372881356,5,2021,2026-07-06
HCHS_SOL,top_x_share,0.9322033898305084,10,2021,2026-07-06
HCHS_SOL,hhi,2.140260631001386,NA,2022,2026-07-06
HCHS_SOL,top_x_share,0.6666666666666666,1,2022,2026-07-06
HCHS_SOL,top_x_share,0.8518518518518519,3,2022,2026-07-06
HCHS_SOL,top_x_share,0.9259259259259259,5,2022,2026-07-06
HCHS_SOL,top_x_share,0.9444444444444444,10,2022,2026-07-06
HCHS_SOL,hhi,1.8513479465860398,NA,2023,2026-07-06
HCHS_SOL,top_x_share,0.6984126984126984,1,2023,2026-07-06
HCHS_SOL,top_x_share,0.8412698412698413,3,2023,2026-07-06
HCHS_SOL,top_x_share,0.8571428571428571,5,2023,2026-07-06
HCHS_SOL,top_x_share,0.9682539682539683,10,2023,2026-07-06
HCHS_SOL,hhi,2.259259259259251,NA,2024,2026-07-06
HCHS_SOL,top_x_share,0.7111111111111111,1,2024,2026-07-06
HCHS_SOL,top_x_share,0.8888888888888888,3,2024,2026-07-06
HCHS_SOL,top_x_share,0.9333333333333333,5,2024,2026-07-06
HCHS_SOL,top_x_share,0.9555555555555556,10,2024,2026-07-06
HCHS_SOL,hhi,2.0033856571252673,NA,2025,2026-07-06
HCHS_SOL,top_x_share,0.7543859649122807,1,2025,2026-07-06
HCHS_SOL,top_x_share,0.8596491228070176,3,2025,2026-07-06
HCHS_SOL,top_x_share,0.9298245614035088,5,2025,2026-07-06
HCHS_SOL,top_x_share,0.9824561403508771,10,2025,2026-07-06
HCHS_SOL,hhi,3.0223999999999913,NA,2026,2026-07-06
HCHS_SOL,top_x_share,0.88,1,2026,2026-07-06
HCHS_SOL,top_x_share,0.92,3,2026,2026-07-06
HCHS_SOL,top_x_share,0.92,5,2026,2026-07-06
HCHS_SOL,top_x_share,0.96,10,2026,2026-07-06
