period,period_start,period_end,metric,value,top_x,period_type
2014,2014,2014,n_papers,21,NA,annual
2014,2014,2014,n_authors,112,NA,annual
2014,2014,2014,hhi,1.6802721088435317,NA,annual
2014,2014,2014,top_x_share,0.5714285714285714,1,annual
2014,2014,2014,top_x_share,0.7142857142857143,3,annual
2014,2014,2014,top_x_share,0.7142857142857143,5,annual
2014,2014,2014,top_x_share,0.9047619047619048,10,annual
2015,2015,2015,n_papers,34,NA,annual
2015,2015,2015,n_authors,170,NA,annual
2015,2015,2015,hhi,1.7794117647058811,NA,annual
2015,2015,2015,top_x_share,0.6470588235294118,1,annual
2015,2015,2015,top_x_share,0.7058823529411765,3,annual
2015,2015,2015,top_x_share,0.7352941176470589,5,annual
2015,2015,2015,top_x_share,0.9705882352941176,10,annual
2016,2016,2016,n_papers,60,NA,annual
2016,2016,2016,n_authors,382,NA,annual
2016,2016,2016,hhi,1.200555555555562,NA,annual
2016,2016,2016,top_x_share,0.38333333333333336,1,annual
2016,2016,2016,top_x_share,0.6666666666666666,3,annual
2016,2016,2016,top_x_share,0.7833333333333333,5,annual
2016,2016,2016,top_x_share,0.85,10,annual
2017,2017,2017,n_papers,68,NA,annual
2017,2017,2017,n_authors,655,NA,annual
2017,2017,2017,hhi,1.4539359861591377,NA,annual
2017,2017,2017,top_x_share,0.35294117647058826,1,annual
2017,2017,2017,top_x_share,0.8088235294117647,3,annual
2017,2017,2017,top_x_share,0.9117647058823529,5,annual
2017,2017,2017,top_x_share,0.9852941176470589,10,annual
2018,2018,2018,n_papers,49,NA,annual
2018,2018,2018,n_authors,680,NA,annual
2018,2018,2018,hhi,1.777592669720957,NA,annual
2018,2018,2018,top_x_share,0.4489795918367347,1,annual
2018,2018,2018,top_x_share,0.7551020408163265,3,annual
2018,2018,2018,top_x_share,0.8571428571428571,5,annual
2018,2018,2018,top_x_share,0.9591836734693877,10,annual
2019,2019,2019,n_papers,52,NA,annual
2019,2019,2019,n_authors,390,NA,annual
2019,2019,2019,hhi,1.49815088757397,NA,annual
2019,2019,2019,top_x_share,0.46153846153846156,1,annual
2019,2019,2019,top_x_share,0.6923076923076923,3,annual
2019,2019,2019,top_x_share,0.8653846153846154,5,annual
2019,2019,2019,top_x_share,0.9038461538461539,10,annual
2020,2020,2020,n_papers,51,NA,annual
2020,2020,2020,n_authors,322,NA,annual
2020,2020,2020,hhi,1.8250672818146698,NA,annual
2020,2020,2020,top_x_share,0.6666666666666666,1,annual
2020,2020,2020,top_x_share,0.803921568627451,3,annual
2020,2020,2020,top_x_share,0.9019607843137255,5,annual
2020,2020,2020,top_x_share,0.9607843137254902,10,annual
2021,2021,2021,n_papers,59,NA,annual
2021,2021,2021,n_authors,363,NA,annual
2021,2021,2021,hhi,1.9330652111462254,NA,annual
2021,2021,2021,top_x_share,0.7288135593220338,1,annual
2021,2021,2021,top_x_share,0.864406779661017,3,annual
2021,2021,2021,top_x_share,0.9152542372881356,5,annual
2021,2021,2021,top_x_share,0.9322033898305084,10,annual
2022,2022,2022,n_papers,54,NA,annual
2022,2022,2022,n_authors,705,NA,annual
2022,2022,2022,hhi,2.1402606310013383,NA,annual
2022,2022,2022,top_x_share,0.6666666666666666,1,annual
2022,2022,2022,top_x_share,0.8518518518518519,3,annual
2022,2022,2022,top_x_share,0.9259259259259259,5,annual
2022,2022,2022,top_x_share,0.9444444444444444,10,annual
2023,2023,2023,n_papers,63,NA,annual
2023,2023,2023,n_authors,378,NA,annual
2023,2023,2023,hhi,1.8513479465860387,NA,annual
2023,2023,2023,top_x_share,0.6984126984126984,1,annual
2023,2023,2023,top_x_share,0.8412698412698413,3,annual
2023,2023,2023,top_x_share,0.8571428571428571,5,annual
2023,2023,2023,top_x_share,0.9682539682539683,10,annual
2024,2024,2024,n_papers,45,NA,annual
2024,2024,2024,n_authors,306,NA,annual
2024,2024,2024,hhi,2.259259259259286,NA,annual
2024,2024,2024,top_x_share,0.7111111111111111,1,annual
2024,2024,2024,top_x_share,0.8888888888888888,3,annual
2024,2024,2024,top_x_share,0.9333333333333333,5,annual
2024,2024,2024,top_x_share,0.9555555555555556,10,annual
2025,2025,2025,n_papers,57,NA,annual
2025,2025,2025,n_authors,454,NA,annual
2025,2025,2025,hhi,2.003385657125268,NA,annual
2025,2025,2025,top_x_share,0.7543859649122807,1,annual
2025,2025,2025,top_x_share,0.8596491228070176,3,annual
2025,2025,2025,top_x_share,0.9298245614035088,5,annual
2025,2025,2025,top_x_share,0.9824561403508771,10,annual
2026,2026,2026,n_papers,25,NA,annual
2026,2026,2026,n_authors,217,NA,annual
2026,2026,2026,hhi,3.022399999999974,NA,annual
2026,2026,2026,top_x_share,0.88,1,annual
2026,2026,2026,top_x_share,0.92,3,annual
2026,2026,2026,top_x_share,0.92,5,annual
2026,2026,2026,top_x_share,0.96,10,annual
2010-2014,2010,2014,n_papers,25,NA,five_year
2010-2014,2010,2014,n_authors,126,NA,five_year
2010-2014,2010,2014,hhi,1.7808000000000022,NA,five_year
2010-2014,2010,2014,top_x_share,0.64,1,five_year
2010-2014,2010,2014,top_x_share,0.68,3,five_year
2010-2014,2010,2014,top_x_share,0.76,5,five_year
2010-2014,2010,2014,top_x_share,0.88,10,five_year
2015-2019,2015,2019,n_papers,263,NA,five_year
2015-2019,2015,2019,n_authors,1360,NA,five_year
2015-2019,2015,2019,hhi,1.1871069409705806,NA,five_year
2015-2019,2015,2019,top_x_share,0.3688212927756654,1,five_year
2015-2019,2015,2019,top_x_share,0.714828897338403,3,five_year
2015-2019,2015,2019,top_x_share,0.8022813688212928,5,five_year
2015-2019,2015,2019,top_x_share,0.8555133079847909,10,five_year
2020-2024,2020,2024,n_papers,272,NA,five_year
2020-2024,2020,2024,n_authors,1352,NA,five_year
2020-2024,2020,2024,hhi,1.7667874134948995,NA,five_year
2020-2024,2020,2024,top_x_share,0.6948529411764706,1,five_year
2020-2024,2020,2024,top_x_share,0.8235294117647058,3,five_year
2020-2024,2020,2024,top_x_share,0.8823529411764706,5,five_year
2020-2024,2020,2024,top_x_share,0.9522058823529411,10,five_year
2025-2029,2025,2029,n_papers,82,NA,five_year
2025-2029,2025,2029,n_authors,559,NA,five_year
2025-2029,2025,2029,hhi,2.1323616894706334,NA,five_year
2025-2029,2025,2029,top_x_share,0.7926829268292683,1,five_year
2025-2029,2025,2029,top_x_share,0.8780487804878049,3,five_year
2025-2029,2025,2029,top_x_share,0.9390243902439024,5,five_year
2025-2029,2025,2029,top_x_share,0.975609756097561,10,five_year
