author_raw,n_papers,last_name,initials
Allison MA,28,Allison,MA
Allison M,12,Allison,M
Avilés-Santa ML,27,Avilés-Santa,ML
Avilés-Santa L,9,Avilés-Santa,L
Browning SR,11,Browning,SR
Browning BL,7,Browning,BL
Carnethon MR,28,Carnethon,MR
Carnethon M,12,Carnethon,M
Chen GC,14,Chen,GC
Chen J,12,Chen,J
Chen YI,11,Chen,YI
Chen H,7,Chen,H
Chen W,5,Chen,W
Daviglus ML,254,Daviglus,ML
Daviglus M,108,Daviglus,M
Davis S,12,Davis,S
Davis SM,12,Davis,SM
Durazo-Arvizu RA,28,Durazo-Arvizu,RA
Durazo-Arvizu R,12,Durazo-Arvizu,R
Gallo LC,235,Gallo,LC
Gallo L,14,Gallo,L
Garcia ML,7,Garcia,ML
Garcia TP,7,Garcia,TP
Garcia-Bedoya O,15,Garcia-Bedoya,O
Garcia-Bedoya OL,6,Garcia-Bedoya,OL
Gellman MD,48,Gellman,MD
Gellman M,14,Gellman,M
Gonzalez F,34,Gonzalez,F
Gonzalez P,23,Gonzalez,P
Gonzalez HM,15,Gonzalez,HM
Gonzalez S,6,Gonzalez,S
Gonzalez KA,5,Gonzalez,KA
González HM,82,González,HM
González KA,11,González,KA
Kaplan RC,139,Kaplan,RC
Kaplan R,73,Kaplan,R
Lash JP,32,Lash,JP
Lash J,5,Lash,J
Laurie CC,41,Laurie,CC
Laurie CA,7,Laurie,CA
Lee DJ,25,Lee,DJ
Lee J,5,Lee,J
Li Y,16,Li,Y
Li J,10,Li,J
Li X,8,Li,X
Lin HJ,10,Lin,HJ
Lin DY,6,Lin,DY
Lin J,6,Lin,J
Liu Y,10,Liu,Y
Liu K,6,Liu,K
Llabre MM,62,Llabre,MM
Llabre M,6,Llabre,M
Papanicolaou G,9,Papanicolaou,G
Papanicolaou GJ,6,Papanicolaou,GJ
Penedo FJ,69,Penedo,FJ
Penedo F,9,Penedo,F
Perreira KM,147,Perreira,KM
Perreira K,28,Perreira,K
Peters BA,15,Peters,BA
Peters U,6,Peters,U
Ramos AR,50,Ramos,AR
Ramos A,8,Ramos,A
Rosas SE,11,Rosas,SE
Rosas CE,5,Rosas,CE
Sanchez-Johnsen LAP,9,Sanchez-Johnsen,LAP
Sanchez-Johnsen L,5,Sanchez-Johnsen,L
Shah NA,12,Shah,NA
Shah SJ,9,Shah,SJ
Shah N,8,Shah,N
Smith JA,7,Smith,JA
Smith AV,5,Smith,AV
Strizich G,18,Strizich,G
Strizich GM,5,Strizich,GM
Talavera GA,166,Talavera,GA
Talavera G,11,Talavera,G
Wang T,16,Wang,T
Wang Z,11,Wang,Z
Wang H,9,Wang,H
Wang Y,9,Wang,Y
Wang R,6,Wang,R
Wong WW,6,Wong,WW
Wong Q,5,Wong,Q
Wu D,13,Wu,D
Wu B,8,Wu,B
Youngblood ME,16,Youngblood,ME
Youngblood M,7,Youngblood,M
Zee PC,39,Zee,PC
Zee P,5,Zee,P
Zhang Y,23,Zhang,Y
Zhang ZM,5,Zhang,ZM
