pmid,title,pub_year,cluster,domain,has_abstract
42179247,"Favorable Cardiovascular Health Among Hispanic and Non-Hispanic Adults in the United States: Results From the Hispanic Community Health Study/Study of Latinos and National Health and Nutrition Examination Survey, 2008 to 2024.",2026,5,"Domain 5: diabetes, prevalence, cvd, women",TRUE
42176987,Total Sugars Misreporting in Self-Reported 24-Hour Recalls in the Study of Latinos: Nutrition and Physical Activity Assessment Study.,2026,5,"Domain 5: diabetes, prevalence, cvd, women",TRUE
42155724,Meal timing in relation to glycemic control and cardiovascular disease risk factors in adults with diabetes: A prospective cohort study.,2026,5,"Domain 5: diabetes, prevalence, cvd, women",TRUE
42118574,Diabetes and cancer incidence among adults in the Hispanic Community Health Study/Study of Latinos.,2026,5,"Domain 5: diabetes, prevalence, cvd, women",TRUE
42040192,Sleep phenotypes and subjective cognitive decline in the Hispanic Community Health Study/Study of Latinos.,2026,8,"Domain 8: sleep, duration, apnea, insomnia",TRUE
42037457,Life's Essential 8 and Risk of Severe COVID-19 Among Adults Without Clinical Cardiovascular Disease: The C4R Study.,2026,5,"Domain 5: diabetes, prevalence, cvd, women",TRUE
42023677,"Diabetes, hyperglycemia, and ATN blood biomarkers in Hispanic/Latino populations: SOL-INCA study.",2026,5,"Domain 5: diabetes, prevalence, cvd, women",TRUE
42006439,"Patient-clinician communication and cardiovascular outcomes: An analysis of the hispanic community health study/study of latinos (HCHS/SOL), 2008-2019.",2026,5,"Domain 5: diabetes, prevalence, cvd, women",TRUE
41902502,Estimating population structure using epigenome-wide methylation data.,2026,5,"Domain 5: diabetes, prevalence, cvd, women",TRUE
41888079,"Familism, Family Cohesion, and Hearing Loss in U.S. Hispanic/Latino Adults.",2026,5,"Domain 5: diabetes, prevalence, cvd, women",TRUE
41875073,"Profiles of Social Determinants of Health and Change in Diabetes Status Among U.S. Hispanic/Latino Adults: HCHS/SOL, 2008-2024.",2026,5,"Domain 5: diabetes, prevalence, cvd, women",TRUE
41840257,Neighborhood Physical Disinvestment and Incident Diabetes between visits 1 and 2 of the Hispanic Community Health Study/Study of Latinos (HCHS/SOL).,2026,5,"Domain 5: diabetes, prevalence, cvd, women",TRUE
41669981,Prevalence of Cerebral Microbleeds and Association With Vascular Risk Factors in a Hispanic and Latino American Cohort.,2026,1,"Domain 1: cognitive, neurocognitive, function, cognition",TRUE
41577136,Metabolome contribution to sex differences in the link between alcohol consumption and type 2 diabetes: a prospective analysis in the Hispanic Community Health Study/Study of Latinos.,2026,5,"Domain 5: diabetes, prevalence, cvd, women",TRUE
41539205,Electronic Cigarette Use and Risk of Hypertension: The Hispanic Community Health Study/Study of Latinos (HCHS/SOL).,2026,5,"Domain 5: diabetes, prevalence, cvd, women",TRUE
41532144,Effects of Maternal Feeding Style and Child Eating Behaviors on Body Mass Index in Young Children in the Hispanic Community Health Study/Study of Latinos Family Lifestyle Outcomes Research Study.,2026,4,"Domain 4: youth, children, family, food",TRUE
41443478,Social factors as buffers for the adverse impact of adverse childhood experiences on biological age acceleration among adults in Hispanic Community Health Study / Study of Latinos.,2026,5,"Domain 5: diabetes, prevalence, cvd, women",TRUE
41423133,High sodium and low potassium are associated with incident cardiovascular disease among United States Hispanic/Latino adults: prospective results from the Hispanic Community Health Study/Study of Latinos.,2026,5,"Domain 5: diabetes, prevalence, cvd, women",TRUE
41402991,Predicting BMI Percentile in Hispanic/Latino Youth Using a Machine Learning Approach: Findings From the Study of Latino Youth.,2026,4,"Domain 4: youth, children, family, food",TRUE
41386254,Demographic predictors of caregiving and caregiver stress: results from the HCHS/SOL sociocultural ancillary study.,2026,5,"Domain 5: diabetes, prevalence, cvd, women",TRUE
41289847,Association of metabolomics measurements with blood cell phenotypes.,2026,2,"Domain 2: metabolites, metabolite, dietary, gut",TRUE
41281300,Added Sugars Intake and Metabolic Syndrome in U.S. Hispanic/Latino Adults: Longitudinal Results From the Hispanic Community Health Study/Study of Latinos.,2026,5,"Domain 5: diabetes, prevalence, cvd, women",TRUE
41021519,"Social, psychological, and cultural dimensions of cardiovascular health among Hispanic/Latino adults: A narrative review of findings from the Hispanic Community Health Study/Study of Latinos.",2026,5,"Domain 5: diabetes, prevalence, cvd, women",TRUE
40846556,Associations between depressive symptoms and subjective cognitive decline among diverse Hispanics/Latinos: Results from the study of Latinos-investigation of Neurocognitive Aging (SOL-INCA).,2026,1,"Domain 1: cognitive, neurocognitive, function, cognition",TRUE
41411659,Association of Prepregnancy Cardiometabolic Markers With Early Childhood Weight in a Study of Hispanic Dyads.,2026,5,"Domain 5: diabetes, prevalence, cvd, women",TRUE
41338840,Association of Lp(a) With Cardiovascular Disease and All-Cause Mortality in U.S. Hispanics and Latinos.,2025,5,"Domain 5: diabetes, prevalence, cvd, women",TRUE
