pmid,source
42179247,hchs_sol_website
42176987,hchs_sol_website
42155724,hchs_sol_website
42118574,hchs_sol_website
42040192,hchs_sol_website
42037457,hchs_sol_website
42023677,hchs_sol_website
42006439,hchs_sol_website
41902502,hchs_sol_website
41888079,hchs_sol_website
41875073,hchs_sol_website
41840257,hchs_sol_website
41669981,hchs_sol_website
41577136,hchs_sol_website
41539205,hchs_sol_website
41532144,hchs_sol_website
41443478,hchs_sol_website
41423133,hchs_sol_website
41402991,hchs_sol_website
41386254,hchs_sol_website
41289847,hchs_sol_website
41281300,hchs_sol_website
41021519,hchs_sol_website
40846556,hchs_sol_website
41411659,hchs_sol_website
41338840,hchs_sol_website
41065113,hchs_sol_website
40972027,hchs_sol_website
40956381,hchs_sol_website
40939880,hchs_sol_website
40911305,hchs_sol_website
40844118,hchs_sol_website
40835488,hchs_sol_website
40812706,hchs_sol_website
40772774,hchs_sol_website
40747766,hchs_sol_website
40739193,hchs_sol_website
40734275,hchs_sol_website
40729824,hchs_sol_website
40729312,hchs_sol_website
40714577,hchs_sol_website
40654225,hchs_sol_website
40617096,hchs_sol_website
40573146,hchs_sol_website
40537838,hchs_sol_website
40533687,hchs_sol_website
40485222,hchs_sol_website
40467920,hchs_sol_website
40411310,hchs_sol_website
40389082,hchs_sol_website
40384050,hchs_sol_website
40342209,hchs_sol_website
40340254,hchs_sol_website
40321654,hchs_sol_website
40320535,hchs_sol_website
40283801,hchs_sol_website
40246768,hchs_sol_website
40238945,hchs_sol_website
40222449,hchs_sol_website
40166810,hchs_sol_website
40127389,hchs_sol_website
40123500,hchs_sol_website
40105250,hchs_sol_website
40102092,hchs_sol_website
40102030,hchs_sol_website
40088990,hchs_sol_website
40057187,hchs_sol_website
40019804,hchs_sol_website
39999702,hchs_sol_website
39993641,hchs_sol_website
39928595,hchs_sol_website
39925467,hchs_sol_website
39894771,hchs_sol_website
39847471,hchs_sol_website
39808161,hchs_sol_website
39693737,hchs_sol_website
39693596,hchs_sol_website
39461654,hchs_sol_website
39269624,hchs_sol_website
39589272,hchs_sol_website
39355966,hchs_sol_website
39318685,hchs_sol_website
39224140,hchs_sol_website
39119980,hchs_sol_website
39042564,hchs_sol_website
39033412,hchs_sol_website
39021586,hchs_sol_website
39008559,hchs_sol_website
39003169,hchs_sol_website
39002382,hchs_sol_website
38946675,hchs_sol_website
38888178,hchs_sol_website
38884994,hchs_sol_website
38884976,hchs_sol_website
38842811,hchs_sol_website
38826448,hchs_sol_website
38810223,hchs_sol_website
38798492,hchs_sol_website
38758999,hchs_sol_website
38741939,hchs_sol_website
38725043,hchs_sol_website
38693044,hchs_sol_website
38684486,hchs_sol_website
38655549,hchs_sol_website
38609497,hchs_sol_website
38602922,hchs_sol_website
