author_id,n_papers,paper_share
Giovannucci EL,576,0.4161849710982659
Willett WC,438,0.31647398843930635
Rimm EB,326,0.23554913294797689
Hu FB,306,0.22109826589595374
Stampfer MJ,253,0.18280346820809248
Chan AT,214,0.1546242774566474
Fuchs CS,185,0.13367052023121387
Wu K,157,0.11343930635838151
Song M,148,0.1069364161849711
Ogino S,144,0.10404624277456648
Mucci LA,137,0.09898843930635838
Manson JE,121,0.08742774566473989
Sun Q,120,0.08670520231213873
Zhang X,107,0.0773121387283237
Ascherio A,102,0.07369942196531792
Li Y,99,0.07153179190751445
Curhan GC,95,0.06864161849710983
Meyerhardt JA,94,0.06791907514450866
Rosner B,85,0.06141618497109826
Colditz GA,76,0.05491329479768786
Wang M,71,0.05130057803468208
Spiegelman D,65,0.04696531791907514
Platz EA,60,0.04335260115606936
Cho E,58,0.04190751445086705
Kraft P,58,0.04190751445086705
Nishihara R,57,0.041184971098265896
Rexrode KM,57,0.041184971098265896
Cao Y,55,0.039739884393063585
Tabung FK,55,0.039739884393063585
Smith-Warner SA,52,0.03757225433526012
Hunter DJ,49,0.03540462427745665
Qian ZR,48,0.03468208092485549
Qureshi AA,47,0.03395953757225433
Fung TT,45,0.03251445086705202
Schwarzschild MA,45,0.03251445086705202
Nowak JA,44,0.031791907514450865
Li WQ,42,0.030346820809248554
Han J,41,0.029624277456647398
Hu Y,41,0.029624277456647398
Mukamal KJ,41,0.029624277456647398
Qi L,41,0.029624277456647398
Gao X,40,0.028901734104046242
Kang JH,40,0.028901734104046242
Zhang Y,40,0.028901734104046242
Kenfield SA,39,0.028179190751445087
Lee DH,39,0.028179190751445087
Eliassen AH,37,0.026734104046242775
Ng K,37,0.026734104046242775
Penney KL,37,0.026734104046242775
Stopsack KH,37,0.026734104046242775
Wilson KM,37,0.026734104046242775
Bhupathiraju SN,36,0.02601156069364162
Taylor EN,36,0.02601156069364162
Loda M,35,0.025289017341040464
Mima K,35,0.025289017341040464
Liu Y,34,0.024566473988439308
Michaud DS,34,0.024566473988439308
Pasquale LR,33,0.02384393063583815
Giannakis M,31,0.022398843930635837
Ma J,31,0.022398843930635837
Chiuve SE,30,0.02167630057803468
Keum N,30,0.02167630057803468
Li T,29,0.020953757225433526
Liang L,28,0.02023121387283237
Ma W,28,0.02023121387283237
Pan A,28,0.02023121387283237
Chan JM,27,0.019508670520231215
Jensen MK,27,0.019508670520231215
Rifai N,27,0.019508670520231215
Wolpin BM,27,0.019508670520231215
Yuan C,27,0.019508670520231215
Feskanich D,26,0.01878612716763006
Leitzmann MF,26,0.01878612716763006
Lochhead P,26,0.01878612716763006
Morikawa T,26,0.01878612716763006
Wiggs JL,26,0.01878612716763006
Birmann BM,25,0.018063583815028903
Chavarro JE,25,0.018063583815028903
De Vivo I,25,0.018063583815028903
Hamada T,25,0.018063583815028903
Joshipura KJ,25,0.018063583815028903
Kawachi I,25,0.018063583815028903
Nosho K,25,0.018063583815028903
Sampson L,25,0.018063583815028903
Guasch-Ferré M,24,0.017341040462427744
Huttenhower C,24,0.017341040462427744
Inamura K,24,0.017341040462427744
Liu L,24,0.017341040462427744
Wang DD,24,0.017341040462427744
Wang K,24,0.017341040462427744
Yamauchi M,24,0.017341040462427744
Fiorentino M,23,0.016618497109826588
Gerke T,23,0.016618497109826588
Kantoff PW,23,0.016618497109826588
Rider JR,23,0.016618497109826588
Sesso HD,23,0.016618497109826588
Clish CB,22,0.015895953757225433
Laden F,22,0.015895953757225433
Liu G,22,0.015895953757225433
Choi HK,21,0.015173410404624277
Lee JE,21,0.015173410404624277
Masugi Y,21,0.015173410404624277
Nan H,21,0.015173410404624277
Zeleznik OA,21,0.015173410404624277
Chen H,20,0.014450867052023121
Finn S,20,0.014450867052023121
Huang T,20,0.014450867052023121
Joshi AD,20,0.014450867052023121
Kim SA,20,0.014450867052023121
Malik VS,20,0.014450867052023121
