period,period_start,period_end,metric,value,top_x,period_type
1993,1993,1993,n_papers,5,NA,annual
1993,1993,1993,n_authors,12,NA,annual
1993,1993,1993,hhi,4.32,NA,annual
1993,1993,1993,top_x_share,1,1,annual
1993,1993,1993,top_x_share,1,3,annual
1993,1993,1993,top_x_share,1,5,annual
1993,1993,1993,top_x_share,1,10,annual
1994,1994,1994,n_papers,5,NA,annual
1994,1994,1994,n_authors,14,NA,annual
1994,1994,1994,hhi,3.400000000000001,NA,annual
1994,1994,1994,top_x_share,1,1,annual
1994,1994,1994,top_x_share,1,3,annual
1994,1994,1994,top_x_share,1,5,annual
1994,1994,1994,top_x_share,1,10,annual
1996,1996,1996,n_papers,7,NA,annual
1996,1996,1996,n_authors,25,NA,annual
1996,1996,1996,hhi,2.5918367346938744,NA,annual
1996,1996,1996,top_x_share,0.8571428571428571,1,annual
1996,1996,1996,top_x_share,0.8571428571428571,3,annual
1996,1996,1996,top_x_share,0.8571428571428571,5,annual
1996,1996,1996,top_x_share,1,10,annual
1997,1997,1997,n_papers,5,NA,annual
1997,1997,1997,n_authors,14,NA,annual
1997,1997,1997,hhi,2.3600000000000003,NA,annual
1997,1997,1997,top_x_share,0.8,1,annual
1997,1997,1997,top_x_share,0.8,3,annual
1997,1997,1997,top_x_share,1,5,annual
1997,1997,1997,top_x_share,1,10,annual
1998,1998,1998,n_papers,13,NA,annual
1998,1998,1998,n_authors,34,NA,annual
1998,1998,1998,hhi,3.1597633136094636,NA,annual
1998,1998,1998,top_x_share,0.9230769230769231,1,annual
1998,1998,1998,top_x_share,1,3,annual
1998,1998,1998,top_x_share,1,5,annual
1998,1998,1998,top_x_share,1,10,annual
1999,1999,1999,n_papers,13,NA,annual
1999,1999,1999,n_authors,36,NA,annual
1999,1999,1999,hhi,3.2840236686390507,NA,annual
1999,1999,1999,top_x_share,0.9230769230769231,1,annual
1999,1999,1999,top_x_share,0.9230769230769231,3,annual
1999,1999,1999,top_x_share,0.9230769230769231,5,annual
1999,1999,1999,top_x_share,0.9230769230769231,10,annual
2000,2000,2000,n_papers,9,NA,annual
2000,2000,2000,n_authors,29,NA,annual
2000,2000,2000,hhi,2.4938271604938285,NA,annual
2000,2000,2000,top_x_share,0.8888888888888888,1,annual
2000,2000,2000,top_x_share,1,3,annual
2000,2000,2000,top_x_share,1,5,annual
2000,2000,2000,top_x_share,1,10,annual
2001,2001,2001,n_papers,19,NA,annual
2001,2001,2001,n_authors,41,NA,annual
2001,2001,2001,hhi,2.030470914127425,NA,annual
2001,2001,2001,top_x_share,0.9473684210526315,1,annual
2001,2001,2001,top_x_share,0.9473684210526315,3,annual
2001,2001,2001,top_x_share,1,5,annual
2001,2001,2001,top_x_share,1,10,annual
2002,2002,2002,n_papers,18,NA,annual
2002,2002,2002,n_authors,49,NA,annual
