author_raw,author_id,notes,merged_by,merged_date
Abu-Ali G,Abu-Ali GS,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Ahearn T,Ahearn TU,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Ascherio AL,Ascherio A,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Barry M,Barry MJ,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Bass A,Bass AJ,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Bertoia M,Bertoia ML,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Bhupathiraju S,Bhupathiraju SN,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Birmann B,Birmann BM,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Bui L,Bui LP,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Chang J,Chang JT,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Chang MS,Chang ML,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Chang SL,Chang SC,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Chang TW,Chang TH,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Chanock S,Chanock SJ,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Chan A,Chan AT,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Chan JA,Chan JM,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Chan J,Chan JM,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Chasman D,Chasman DI,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Chavarro J,Chavarro JE,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Chen JT,Chen J,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Chen MM,Chen M,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Chen ST,Chen S,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Chen Y,Chen YC,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Chen YW,Chen YC,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Chen YM,Chen YC,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Chen ZZ,Chen Z,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Chiuve S,Chiuve SE,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Choi H,Choi HK,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Chong D,Chong DQ,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Clish C,Clish CB,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Colditz G,Colditz GA,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Cornelis M,Cornelis MC,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Costenbader K,Costenbader KH,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Coull B,Coull BA,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Curhan G,Curhan GC,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Devore E,Devore EE,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
De Marco L,De Marzo AM,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
De Moura LP,De Marzo AM,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
De Vito K,De Vivo I,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Drew D,Drew DA,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Drucker A,Drucker AM,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
DuPre NC,DuPre N,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Finn SP,Finn S,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Flint A,Flint AJ,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Flynn-Evans E,Flynn-Evans EE,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Forman J,Forman JP,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Freedman M,Freedman ML,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Fuchs C,Fuchs CS,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Fuchs CF,Fuchs CS,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Furtado J,Furtado JD,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Geraghty C,Geraghty CM,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Gerke TA,Gerke T,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Giovannucci E,Giovannucci EL,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Gonzalez-Feliciano A,Gonzalez-Feliciano AG,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Guo C,Guo CG,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Hagan K,Hagan KA,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Haiman C,Haiman CA,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Han JL,Han J,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Hart J,Hart JE,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Haslam D,Haslam DE,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Healy BC,Healy B,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Hendrickson W,Hendrickson WK,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
He MM,He M,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Holmes M,Holmes MD,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Huang YL,Huang Y,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Huang YC,Huang Y,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Hunter D,Hunter DJ,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Hu F,Hu FB,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Ivey K,Ivey KL,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Jenkins DJ,Jenkins DJA,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Jensen M,Jensen MK,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Jeon J,Jeon JY,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Jordahl K,Jordahl KM,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Joshipura K,Joshipura KJ,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Joshi A,Joshi AD,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Kantoff P,Kantoff PW,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Karlson E,Karlson EW,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Kelly R,Kelly RS,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Kelsey K,Kelsey KT,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Kenfield S,Kenfield SA,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Keum NN,Keum N,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Kim HJ,Kim H,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Kim HD,Kim H,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Kim IK,Kim IY,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Kim S,Kim SA,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Koenen K,Koenen KC,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Koh HK,Koh H,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Kraft PL,Kraft P,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Lau M,Lau MC,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Lee AH,Lee AA,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Lee JS,Lee JE,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Lee JH,Lee JE,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Leitzmann M,Leitzmann MF,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Lessin L,Lessin LS,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Levy D,Levy DT,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Le N,Le NT,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Lin JY,Lin J,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Lin JH,Lin J,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Lis R,Lis RT,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Liu P,Liu PH,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Liu YL,Liu Y,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Li H,Li HL,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Li TY,Li T,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Li W,Li WQ,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Li Z,Li ZY,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Loomis S,Loomis SJ,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Lotan T,Lotan TL,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Malik V,Malik VS,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Manson JAE,Manson JE,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Manson J,Manson JE,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Meyerhardt J,Meyerhardt JA,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Michaud D,Michaud DS,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Mittleman M,Mittleman MA,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Molsberry S,Molsberry SA,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Monteiro C,Monteiro CA,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
