pmid,title,pub_year,cluster,domain,has_abstract
42395933,"Estimated preventable fraction of chronic disease attributed to long-term physical activity and diet quality, independent of body weight: a prospective cohort study of three US cohorts.",2026,7,"Domain 7: diabetes, cvd, mortality, type",TRUE
42344277,Metabolomic signatures of dietary carbohydrates and differential association with type 2 diabetes.,2026,7,"Domain 7: diabetes, cvd, mortality, type",TRUE
42333656,Obesity Polygenic Risk and Healthy Lifestyle Interactions on Weight Trajectories in Women and Men.,2026,2,"Domain 2: colorectal, cancer, use, vitamin",TRUE
42332773,"Circulating imidazole propionate and coronary heart disease risk: interplay between histidine intake, fiber, and gut microbiome.",2026,5,"Domain 5: chd, coronary, heart, disease",TRUE
42329652,Long-Term Resistance Training and Risk of Type 2 Diabetes.,2026,2,"Domain 2: colorectal, cancer, use, vitamin",TRUE
42323165,"Cardiovascular disease risk under low-fat, Mediterranean, and American Heart Association diets: a target trial emulation in United States adults.",2026,7,"Domain 7: diabetes, cvd, mortality, type",TRUE
42237654,Healthy Dietary Patterns and Risk of Parkinson's Disease.,2026,7,"Domain 7: diabetes, cvd, mortality, type",TRUE
42230125,Long-term resistance training with all-cause and cause-specific mortality: assessing dose-response and joint associations with aerobic physical activity.,2026,7,"Domain 7: diabetes, cvd, mortality, type",TRUE
42204574,Shotgun Metagenomic Profiling of the Gut Virome in Prodromal and Confirmed Parkinson's Disease.,2026,2,"Domain 2: colorectal, cancer, use, vitamin",TRUE
42182979,Combined occurrence of cardiovascular and bone events in individuals with kidney stone disease.,2026,2,"Domain 2: colorectal, cancer, use, vitamin",TRUE
42129592,Poor Diet and Oral Cavity Cancer Risk in Smoking and Non-Smoking Men and Women: An Analysis of Three US Cohorts.,2026,7,"Domain 7: diabetes, cvd, mortality, type",TRUE
42123921,Exploratory Genome-Wide Association Study of Grapefruit Intake and Its Potential Link to Obesity Risk in US Cohorts.,2026,2,"Domain 2: colorectal, cancer, use, vitamin",TRUE
42074990,Phosphorus Intake and Cancer Risk: A Theoretical-Conceptual Model and Hypothesis for Population-Study Replication.,2026,2,"Domain 2: colorectal, cancer, use, vitamin",TRUE
42069223,Optimal measures of carbohydrate quality to lower the risk of type 2 diabetes: findings from 3 prospective cohort studies.,2026,7,"Domain 7: diabetes, cvd, mortality, type",TRUE
42055208,Cigarette smoking and long-term incidence of colorectal cancer subclassified by tumor-infiltrating myeloid cells: A prospective cohort study.,2026,3,"Domain 3: crc, colorectal, mortality, screening",TRUE
42053424,A Gene Expression Tumor Signature Optimizing Partial Area-Under-the-Curve (pAUC) to Improve Specificity for Indolent Prostate Cancer.,2026,6,"Domain 6: prostate, lethal, cancer, expression",TRUE
42043179,Postdiagnostic Inflammatory and Insulinemic Diet and Lifestyle Patterns and Risk of Prostate Cancer-specific Mortality in the Health Professionals Follow-up Study.,2026,6,"Domain 6: prostate, lethal, cancer, expression",TRUE
42032305,Polygenic risk score and 20-year prostate cancer-specific mortality and survival.,2026,6,"Domain 6: prostate, lethal, cancer, expression",TRUE
41950162,Cumulative excess weight exposure over time and cardiovascular risk: A prospective cohort study.,2026,8,"Domain 8: weight, gain, change, bmi",TRUE
41929318,Pre-diagnostic plasma endogenous steroids and the risk of exfoliation glaucoma.,2026,2,"Domain 2: colorectal, cancer, use, vitamin",TRUE
41880148,Long-term adherence and changes in the Mediterranean and MIND diets in relation to dementia risk and cognitive function.,2026,7,"Domain 7: diabetes, cvd, mortality, type",TRUE
41849084,"Diet, physical activity, all-cause and cause-specific mortality: repeated measures considerations.",2026,7,"Domain 7: diabetes, cvd, mortality, type",TRUE
41842897,Adherence to Healthy Lifestyle and Risk of Cardiometabolic Diseases in Individuals With Hypertension.,2026,7,"Domain 7: diabetes, cvd, mortality, type",TRUE
41834131,Healthy dietary patterns and survival among men with prostate cancer.,2026,7,"Domain 7: diabetes, cvd, mortality, type",TRUE
41794180,Artificially sweetened beverages and weight change: findings from 3 prospective cohort studies of United States adults.,2026,8,"Domain 8: weight, gain, change, bmi",TRUE
41762524,Plasma metabolomic profiles and risk of hip fracture among US individuals: a nested case-control and prospective cohort study.,2026,2,"Domain 2: colorectal, cancer, use, vitamin",TRUE
41729538,Dietary Patterns and Indicators of Cognitive Function.,2026,7,"Domain 7: diabetes, cvd, mortality, type",TRUE
41729171,Improving transportability of regression calibration under the main/external validation study design.,2026,2,"Domain 2: colorectal, cancer, use, vitamin",TRUE
41702379,Type 2 diabetes and risk of non-Hodgkin lymphoma and multiple myeloma: a pooled analysis.,2026,2,"Domain 2: colorectal, cancer, use, vitamin",TRUE
41701497,Leisure-Time Physical Activity and Cancer Mortality Among Cancer Survivors.,2026,2,"Domain 2: colorectal, cancer, use, vitamin",TRUE
41670561,Effect of Low-Carbohydrate and Low-Fat Diets on Metabolomic Indices and Coronary Heart Disease in U.S. Individuals.,2026,5,"Domain 5: chd, coronary, heart, disease",TRUE
41665229,Dairy Intake and Risk of Incident Inflammatory Bowel Disease in US Men and Women.,2026,7,"Domain 7: diabetes, cvd, mortality, type",TRUE
41661604,"Coffee and Tea Intake, Dementia Risk, and Cognitive Function.",2026,1,"Domain 1: coffee, caffeine, consumption, tea",TRUE
41636390,Causal Covariate Selection for the Regression Calibration Method for Exposure Measurement Error Bias Correction.,2026,2,"Domain 2: colorectal, cancer, use, vitamin",TRUE
41574252,"Physical activity types, variety, and mortality: results from two prospective cohort studies.",2026,7,"Domain 7: diabetes, cvd, mortality, type",TRUE
41572608,Bayesian Variable Selection for High-Dimensional Mediation Analysis: Application to Metabolomics Data in Epidemiological Studies.,2026,2,"Domain 2: colorectal, cancer, use, vitamin",TRUE
41443985,Metabolomic pattern of ultraprocessed food intake and its association with colorectal cancer risk.,2025,3,"Domain 3: crc, colorectal, mortality, screening",TRUE
41437205,Gut Microbial Variations Associated With Proton Pump Inhibitor Use in the Boston Puerto Rican Health Study.,2026,2,"Domain 2: colorectal, cancer, use, vitamin",TRUE
41429046,Longitudinal study on the association between salty food preference and obesity prevalence.,2026,2,"Domain 2: colorectal, cancer, use, vitamin",TRUE
41416871,Germline Predisposition to Oncogenic Alkylating Damage in Colorectal Cancer.,2026,2,"Domain 2: colorectal, cancer, use, vitamin",TRUE
