author_id,n_papers,paper_share
Langa KM,193,0.041487532244196046
Glymour MM,117,0.02515047291487532
Crimmins EM,114,0.024505588993981083
Sutin AR,110,0.023645743766122097
Terracciano A,102,0.021926053310404127
Stephan Y,99,0.02128116938950989
Faul JD,77,0.01655202063628547
Kim JK,68,0.014617368873602751
Ailshire JA,64,0.013757523645743766
Smith J,64,0.013757523645743766
Luchetti M,60,0.012897678417884782
Zhang Y,59,0.012682717110920035
Carr DC,58,0.012467755803955288
Covinsky KE,58,0.012467755803955288
Lee J,57,0.012252794496990542
Kim ES,56,0.012037833190025795
Chen H,55,0.011822871883061048
Kobayashi LC,51,0.010963026655202063
Li Y,51,0.010963026655202063
Weir DR,51,0.010963026655202063
Wang Y,50,0.010748065348237317
Boscardin WJ,47,0.010103181427343079
Smith AK,47,0.010103181427343079
Kabeto MU,44,0.009458297506448839
Lee SJ,44,0.009458297506448839
Chen Y,43,0.009243336199484092
Li C,43,0.009243336199484092
Park S,43,0.009243336199484092
Wang H,41,0.0088134135855546
Lee H,39,0.008383490971625107
Chen X,38,0.00816852966466036
McGrath R,37,0.007953568357695616
Wang J,37,0.007953568357695616
Ware EB,37,0.007953568357695616
Kelley AS,36,0.007738607050730868
Yang Y,36,0.007738607050730868
Zahodne LB,36,0.007738607050730868
Burr JA,35,0.007523645743766122
Liu H,35,0.007523645743766122
Wu B,35,0.007523645743766122
Han SH,34,0.007308684436801376
Cenzer I,32,0.006878761822871883
Kawachi I,32,0.006878761822871883
Quiñones AR,31,0.0066638005159071366
Farina MP,30,0.006448839208942391
Ferraro KF,29,0.006233877901977644
Sonnega A,29,0.006233877901977644
Wang X,29,0.006233877901977644
Xu X,29,0.006233877901977644
Choi SL,28,0.0060189165950128975
Wallace RB,28,0.0060189165950128975
Zhang Z,28,0.0060189165950128975
Aschwanden D,27,0.005803955288048152
Bakulski KM,27,0.005803955288048152
Iwashyna TJ,27,0.005803955288048152
Lohman MC,27,0.005803955288048152
Mezuk B,27,0.005803955288048152
Plassman BL,27,0.005803955288048152
Thyagarajan B,27,0.005803955288048152
Klopack ET,26,0.005588993981083405
Li J,26,0.005588993981083405
Liu J,26,0.005588993981083405
Taylor MG,26,0.005588993981083405
Gross AL,25,0.005374032674118658
Levine DA,25,0.005374032674118658
Lin IF,25,0.005374032674118658
Ornstein KA,25,0.005374032674118658
Torres JM,25,0.005374032674118658
VanderWeele TJ,25,0.005374032674118658
Zhang X,25,0.005374032674118658
Chiu CT,24,0.005159071367153913
Hayward MD,24,0.005159071367153913
Ofstedal MB,24,0.005159071367153913
Assari S,23,0.004944110060189166
Ayalon L,23,0.004944110060189166
Brown SL,23,0.004944110060189166
Kim K,23,0.004944110060189166
Kubzansky LD,23,0.004944110060189166
Lee Y,23,0.004944110060189166
Liang J,23,0.004944110060189166
Lu P,23,0.004944110060189166
Ryan LH,23,0.004944110060189166
Yuan C,23,0.004944110060189166
Choi H,22,0.004729148753224419
Kim B,22,0.004729148753224419
Kim S,22,0.004729148753224419
Li X,22,0.004729148753224419
Liu Y,22,0.004729148753224419
Luo Y,22,0.004729148753224419
Ma Y,22,0.004729148753224419
Stokes JE,22,0.004729148753224419
Wong R,22,0.004729148753224419
Yu X,22,0.004729148753224419
Chopik WJ,21,0.0045141874462596735
Hoffman GJ,21,0.0045141874462596735
Jones RN,21,0.0045141874462596735
Li L,21,0.0045141874462596735
Liu SY,21,0.0045141874462596735
Manly JJ,21,0.0045141874462596735
Sloan FA,21,0.0045141874462596735
Thorpe RJ,21,0.0045141874462596735
Vable AM,21,0.0045141874462596735
Zhang H,21,0.0045141874462596735
Berkman LF,20,0.004299226139294927
Cole SW,20,0.004299226139294927
Kim H,20,0.004299226139294927
Walsemann KM,20,0.004299226139294927
Warner DF,20,0.004299226139294927
Weiss J,20,0.004299226139294927
Wu Y,20,0.004299226139294927
Xiang X,20,0.004299226139294927
Yashin AI,20,0.004299226139294927
Capistrant BD,19,0.00408426483233018
Choi EY,19,0.00408426483233018
Coe NB,19,0.00408426483233018
Fisher GG,19,0.00408426483233018
Huang Y,19,0.00408426483233018
Li M,19,0.00408426483233018
Liu M,19,0.00408426483233018
Manski RJ,19,0.00408426483233018
McCammon RJ,19,0.00408426483233018
Moeller JF,19,0.00408426483233018
Nakamura JS,19,0.00408426483233018
Nicholas LH,19,0.00408426483233018
Steinman MA,19,0.00408426483233018
Wang K,19,0.00408426483233018
Xie W,19,0.00408426483233018
