period,period_start,period_end,metric,value,top_x,cluster,domain
"Domain 1: cognitive, symptoms, depressive, life",NA,NA,n_papers,3491,NA,1,"Domain 1: cognitive, symptoms, depressive, life"
"Domain 1: cognitive, symptoms, depressive, life",NA,NA,n_authors,5878,NA,1,"Domain 1: cognitive, symptoms, depressive, life"
"Domain 1: cognitive, symptoms, depressive, life",NA,NA,hhi,0.014047908600919274,NA,1,"Domain 1: cognitive, symptoms, depressive, life"
"Domain 1: cognitive, symptoms, depressive, life",NA,NA,top_x_share,0.03466055571469493,1,1,"Domain 1: cognitive, symptoms, depressive, life"
"Domain 1: cognitive, symptoms, depressive, life",NA,NA,top_x_share,0.08478945860784876,3,1,"Domain 1: cognitive, symptoms, depressive, life"
"Domain 1: cognitive, symptoms, depressive, life",NA,NA,top_x_share,0.10741907762818677,5,1,"Domain 1: cognitive, symptoms, depressive, life"
"Domain 1: cognitive, symptoms, depressive, life",NA,NA,top_x_share,0.14895445431108564,10,1,"Domain 1: cognitive, symptoms, depressive, life"
"Domain 2: discrimination, perceived, weight, black",NA,NA,n_papers,89,NA,2,"Domain 2: discrimination, perceived, weight, black"
"Domain 2: discrimination, perceived, weight, black",NA,NA,n_authors,260,NA,2,"Domain 2: discrimination, perceived, weight, black"
"Domain 2: discrimination, perceived, weight, black",NA,NA,hhi,0.12208054538568452,NA,2,"Domain 2: discrimination, perceived, weight, black"
"Domain 2: discrimination, perceived, weight, black",NA,NA,top_x_share,0.12359550561797752,1,2,"Domain 2: discrimination, perceived, weight, black"
"Domain 2: discrimination, perceived, weight, black",NA,NA,top_x_share,0.20224719101123595,3,2,"Domain 2: discrimination, perceived, weight, black"
"Domain 2: discrimination, perceived, weight, black",NA,NA,top_x_share,0.30337078651685395,5,2,"Domain 2: discrimination, perceived, weight, black"
"Domain 2: discrimination, perceived, weight, black",NA,NA,top_x_share,0.39325842696629215,10,2,"Domain 2: discrimination, perceived, weight, black"
"Domain 3: frailty, index, charls, elsa",NA,NA,n_papers,91,NA,3,"Domain 3: frailty, index, charls, elsa"
"Domain 3: frailty, index, charls, elsa",NA,NA,n_authors,400,NA,3,"Domain 3: frailty, index, charls, elsa"
"Domain 3: frailty, index, charls, elsa",NA,NA,hhi,0.14104576741939245,NA,3,"Domain 3: frailty, index, charls, elsa"
"Domain 3: frailty, index, charls, elsa",NA,NA,top_x_share,0.08791208791208792,1,3,"Domain 3: frailty, index, charls, elsa"
"Domain 3: frailty, index, charls, elsa",NA,NA,top_x_share,0.32967032967032966,3,3,"Domain 3: frailty, index, charls, elsa"
"Domain 3: frailty, index, charls, elsa",NA,NA,top_x_share,0.32967032967032966,5,3,"Domain 3: frailty, index, charls, elsa"
"Domain 3: frailty, index, charls, elsa",NA,NA,top_x_share,0.5494505494505495,10,3,"Domain 3: frailty, index, charls, elsa"
"Domain 4: loneliness, social, symptoms, depressive",NA,NA,n_papers,154,NA,4,"Domain 4: loneliness, social, symptoms, depressive"
"Domain 4: loneliness, social, symptoms, depressive",NA,NA,n_authors,515,NA,4,"Domain 4: loneliness, social, symptoms, depressive"
"Domain 4: loneliness, social, symptoms, depressive",NA,NA,hhi,0.055279136447968856,NA,4,"Domain 4: loneliness, social, symptoms, depressive"
"Domain 4: loneliness, social, symptoms, depressive",NA,NA,top_x_share,0.09090909090909091,1,4,"Domain 4: loneliness, social, symptoms, depressive"
"Domain 4: loneliness, social, symptoms, depressive",NA,NA,top_x_share,0.12987012987012986,3,4,"Domain 4: loneliness, social, symptoms, depressive"
"Domain 4: loneliness, social, symptoms, depressive",NA,NA,top_x_share,0.16233766233766234,5,4,"Domain 4: loneliness, social, symptoms, depressive"
"Domain 4: loneliness, social, symptoms, depressive",NA,NA,top_x_share,0.37012987012987014,10,4,"Domain 4: loneliness, social, symptoms, depressive"
"Domain 5: neighborhood, perceived, social, environment",NA,NA,n_papers,88,NA,5,"Domain 5: neighborhood, perceived, social, environment"
"Domain 5: neighborhood, perceived, social, environment",NA,NA,n_authors,214,NA,5,"Domain 5: neighborhood, perceived, social, environment"
"Domain 5: neighborhood, perceived, social, environment",NA,NA,hhi,0.0866477272727266,NA,5,"Domain 5: neighborhood, perceived, social, environment"
"Domain 5: neighborhood, perceived, social, environment",NA,NA,top_x_share,0.07954545454545454,1,5,"Domain 5: neighborhood, perceived, social, environment"
"Domain 5: neighborhood, perceived, social, environment",NA,NA,top_x_share,0.2159090909090909,3,5,"Domain 5: neighborhood, perceived, social, environment"
"Domain 5: neighborhood, perceived, social, environment",NA,NA,top_x_share,0.26136363636363635,5,5,"Domain 5: neighborhood, perceived, social, environment"
"Domain 5: neighborhood, perceived, social, environment",NA,NA,top_x_share,0.5681818181818182,10,5,"Domain 5: neighborhood, perceived, social, environment"
"Domain 6: medicare, coverage, insurance, spending",NA,NA,n_papers,185,NA,6,"Domain 6: medicare, coverage, insurance, spending"
"Domain 6: medicare, coverage, insurance, spending",NA,NA,n_authors,454,NA,6,"Domain 6: medicare, coverage, insurance, spending"
"Domain 6: medicare, coverage, insurance, spending",NA,NA,hhi,0.06880934989043108,NA,6,"Domain 6: medicare, coverage, insurance, spending"
"Domain 6: medicare, coverage, insurance, spending",NA,NA,top_x_share,0.07567567567567568,1,6,"Domain 6: medicare, coverage, insurance, spending"
"Domain 6: medicare, coverage, insurance, spending",NA,NA,top_x_share,0.14594594594594595,3,6,"Domain 6: medicare, coverage, insurance, spending"
"Domain 6: medicare, coverage, insurance, spending",NA,NA,top_x_share,0.1891891891891892,5,6,"Domain 6: medicare, coverage, insurance, spending"
"Domain 6: medicare, coverage, insurance, spending",NA,NA,top_x_share,0.2810810810810811,10,6,"Domain 6: medicare, coverage, insurance, spending"
"Domain 7: dementia, cognitive, impairment, incident",NA,NA,n_papers,348,NA,7,"Domain 7: dementia, cognitive, impairment, incident"
"Domain 7: dementia, cognitive, impairment, incident",NA,NA,n_authors,1045,NA,7,"Domain 7: dementia, cognitive, impairment, incident"
"Domain 7: dementia, cognitive, impairment, incident",NA,NA,hhi,0.08451413660985471,NA,7,"Domain 7: dementia, cognitive, impairment, incident"
"Domain 7: dementia, cognitive, impairment, incident",NA,NA,top_x_share,0.11494252873563218,1,7,"Domain 7: dementia, cognitive, impairment, incident"
"Domain 7: dementia, cognitive, impairment, incident",NA,NA,top_x_share,0.21264367816091953,3,7,"Domain 7: dementia, cognitive, impairment, incident"
"Domain 7: dementia, cognitive, impairment, incident",NA,NA,top_x_share,0.32471264367816094,5,7,"Domain 7: dementia, cognitive, impairment, incident"
"Domain 7: dementia, cognitive, impairment, incident",NA,NA,top_x_share,0.3275862068965517,10,7,"Domain 7: dementia, cognitive, impairment, incident"
"Domain 8: caregiving, children, parents, care",NA,NA,n_papers,206,NA,8,"Domain 8: caregiving, children, parents, care"
"Domain 8: caregiving, children, parents, care",NA,NA,n_authors,441,NA,8,"Domain 8: caregiving, children, parents, care"
"Domain 8: caregiving, children, parents, care",NA,NA,hhi,0.043830709774720415,NA,8,"Domain 8: caregiving, children, parents, care"
"Domain 8: caregiving, children, parents, care",NA,NA,top_x_share,0.10679611650485436,1,8,"Domain 8: caregiving, children, parents, care"
"Domain 8: caregiving, children, parents, care",NA,NA,top_x_share,0.20388349514563106,3,8,"Domain 8: caregiving, children, parents, care"
"Domain 8: caregiving, children, parents, care",NA,NA,top_x_share,0.20388349514563106,5,8,"Domain 8: caregiving, children, parents, care"
"Domain 8: caregiving, children, parents, care",NA,NA,top_x_share,0.27184466019417475,10,8,"Domain 8: caregiving, children, parents, care"
