period,period_start,period_end,metric,value,top_x,period_type
1996,1996,1996,n_papers,8,NA,annual
1996,1996,1996,n_authors,23,NA,annual
1996,1996,1996,hhi,0.40625,NA,annual
1996,1996,1996,top_x_share,0.25,1,annual
1996,1996,1996,top_x_share,1,3,annual
1996,1996,1996,top_x_share,1,5,annual
1996,1996,1996,top_x_share,1,10,annual
1998,1998,1998,n_papers,5,NA,annual
1998,1998,1998,n_authors,10,NA,annual
1998,1998,1998,hhi,1.0800000000000003,NA,annual
1998,1998,1998,top_x_share,0.6,1,annual
1998,1998,1998,top_x_share,0.6,3,annual
1998,1998,1998,top_x_share,1,5,annual
1998,1998,1998,top_x_share,1,10,annual
1999,1999,1999,n_papers,8,NA,annual
1999,1999,1999,n_authors,15,NA,annual
1999,1999,1999,hhi,0.234375,NA,annual
1999,1999,1999,top_x_share,1,1,annual
1999,1999,1999,top_x_share,1,3,annual
1999,1999,1999,top_x_share,1,5,annual
1999,1999,1999,top_x_share,1,10,annual
2000,2000,2000,n_papers,10,NA,annual
2000,2000,2000,n_authors,21,NA,annual
2000,2000,2000,hhi,0.21000000000000013,NA,annual
2000,2000,2000,top_x_share,1,1,annual
2000,2000,2000,top_x_share,1,3,annual
2000,2000,2000,top_x_share,1,5,annual
2000,2000,2000,top_x_share,1,10,annual
2001,2001,2001,n_papers,16,NA,annual
2001,2001,2001,n_authors,33,NA,annual
2001,2001,2001,hhi,0.19921875,NA,annual
2001,2001,2001,top_x_share,0.375,1,annual
2001,2001,2001,top_x_share,0.375,3,annual
2001,2001,2001,top_x_share,0.375,5,annual
2001,2001,2001,top_x_share,1,10,annual
2002,2002,2002,n_papers,13,NA,annual
2002,2002,2002,n_authors,29,NA,annual
2002,2002,2002,hhi,0.30769230769230754,NA,annual
2002,2002,2002,top_x_share,0.23076923076923078,1,annual
2002,2002,2002,top_x_share,0.5384615384615384,3,annual
2002,2002,2002,top_x_share,0.5384615384615384,5,annual
2002,2002,2002,top_x_share,1,10,annual
2003,2003,2003,n_papers,18,NA,annual
2003,2003,2003,n_authors,42,NA,annual
2003,2003,2003,hhi,0.20370370370370405,NA,annual
2003,2003,2003,top_x_share,0.4444444444444444,1,annual
2003,2003,2003,top_x_share,0.4444444444444444,3,annual
2003,2003,2003,top_x_share,0.4444444444444444,5,annual
2003,2003,2003,top_x_share,1,10,annual
2004,2004,2004,n_papers,17,NA,annual
2004,2004,2004,n_authors,41,NA,annual
2004,2004,2004,hhi,0.2525951557093425,NA,annual
2004,2004,2004,top_x_share,0.17647058823529413,1,annual
2004,2004,2004,top_x_share,0.6470588235294118,3,annual
2004,2004,2004,top_x_share,0.6470588235294118,5,annual
2004,2004,2004,top_x_share,1,10,annual
2005,2005,2005,n_papers,36,NA,annual
2005,2005,2005,n_authors,110,NA,annual
2005,2005,2005,hhi,0.17206790123456822,NA,annual
2005,2005,2005,top_x_share,0.16666666666666666,1,annual
2005,2005,2005,top_x_share,0.3888888888888889,3,annual
2005,2005,2005,top_x_share,0.3888888888888889,5,annual
2005,2005,2005,top_x_share,0.5277777777777778,10,annual
2006,2006,2006,n_papers,24,NA,annual
2006,2006,2006,n_authors,55,NA,annual
2006,2006,2006,hhi,0.1944444444444442,NA,annual
2006,2006,2006,top_x_share,0.16666666666666666,1,annual
2006,2006,2006,top_x_share,0.4166666666666667,3,annual
2006,2006,2006,top_x_share,0.4166666666666667,5,annual
2006,2006,2006,top_x_share,0.4166666666666667,10,annual
2007,2007,2007,n_papers,33,NA,annual
2007,2007,2007,n_authors,113,NA,annual
2007,2007,2007,hhi,0.1946740128558305,NA,annual
2007,2007,2007,top_x_share,0.21212121212121213,1,annual
2007,2007,2007,top_x_share,0.2727272727272727,3,annual
2007,2007,2007,top_x_share,0.2727272727272727,5,annual
2007,2007,2007,top_x_share,0.42424242424242425,10,annual
2008,2008,2008,n_papers,60,NA,annual
2008,2008,2008,n_authors,155,NA,annual
2008,2008,2008,hhi,0.08916666666666688,NA,annual
2008,2008,2008,top_x_share,0.2,1,annual
2008,2008,2008,top_x_share,0.2,3,annual
2008,2008,2008,top_x_share,0.2833333333333333,5,annual
2008,2008,2008,top_x_share,0.6,10,annual
2009,2009,2009,n_papers,62,NA,annual
2009,2009,2009,n_authors,190,NA,annual
2009,2009,2009,hhi,0.09807492195629505,NA,annual
2009,2009,2009,top_x_share,0.12903225806451613,1,annual
2009,2009,2009,top_x_share,0.2903225806451613,3,annual
2009,2009,2009,top_x_share,0.2903225806451613,5,annual
2009,2009,2009,top_x_share,0.5483870967741935,10,annual
2010,2010,2010,n_papers,81,NA,annual
2010,2010,2010,n_authors,214,NA,annual
2010,2010,2010,hhi,0.07879896357262654,NA,annual
2010,2010,2010,top_x_share,0.12345679012345678,1,annual
2010,2010,2010,top_x_share,0.12345679012345678,3,annual
2010,2010,2010,top_x_share,0.3333333333333333,5,annual
2010,2010,2010,top_x_share,0.3333333333333333,10,annual
2011,2011,2011,n_papers,85,NA,annual
2011,2011,2011,n_authors,217,NA,annual
2011,2011,2011,hhi,0.06546712802768104,NA,annual
2011,2011,2011,top_x_share,0.10588235294117647,1,annual
2011,2011,2011,top_x_share,0.16470588235294117,3,annual
2011,2011,2011,top_x_share,0.29411764705882354,5,annual
2011,2011,2011,top_x_share,0.29411764705882354,10,annual
2012,2012,2012,n_papers,83,NA,annual
2012,2012,2012,n_authors,241,NA,annual
2012,2012,2012,hhi,0.08941791261431219,NA,annual
2012,2012,2012,top_x_share,0.13253012048192772,1,annual
2012,2012,2012,top_x_share,0.2289156626506024,3,annual
2012,2012,2012,top_x_share,0.2289156626506024,5,annual
2012,2012,2012,top_x_share,0.30120481927710846,10,annual
2013,2013,2013,n_papers,105,NA,annual
2013,2013,2013,n_authors,300,NA,annual
2013,2013,2013,hhi,0.048888888888889176,NA,annual
2013,2013,2013,top_x_share,0.0761904761904762,1,annual
2013,2013,2013,top_x_share,0.17142857142857143,3,annual
2013,2013,2013,top_x_share,0.17142857142857143,5,annual
2013,2013,2013,top_x_share,0.4857142857142857,10,annual
2014,2014,2014,n_papers,145,NA,annual
2014,2014,2014,n_authors,393,NA,annual
2014,2014,2014,hhi,0.053555291319857805,NA,annual
2014,2014,2014,top_x_share,0.0896551724137931,1,annual
2014,2014,2014,top_x_share,0.20689655172413793,3,annual
2014,2014,2014,top_x_share,0.25517241379310346,5,annual
2014,2014,2014,top_x_share,0.3310344827586207,10,annual
2015,2015,2015,n_papers,145,NA,annual
2015,2015,2015,n_authors,557,NA,annual
2015,2015,2015,hhi,0.0565992865636155,NA,annual
2015,2015,2015,top_x_share,0.07586206896551724,1,annual
2015,2015,2015,top_x_share,0.20689655172413793,3,annual
2015,2015,2015,top_x_share,0.2413793103448276,5,annual
2015,2015,2015,top_x_share,0.2689655172413793,10,annual
2016,2016,2016,n_papers,172,NA,annual
2016,2016,2016,n_authors,468,NA,annual
2016,2016,2016,hhi,0.03995402920497606,NA,annual
2016,2016,2016,top_x_share,0.06395348837209303,1,annual
2016,2016,2016,top_x_share,0.10465116279069768,3,annual
2016,2016,2016,top_x_share,0.13372093023255813,5,annual
2016,2016,2016,top_x_share,0.22093023255813954,10,annual
2017,2017,2017,n_papers,208,NA,annual
2017,2017,2017,n_authors,604,NA,annual
2017,2017,2017,hhi,0.038507766272189825,NA,annual
2017,2017,2017,top_x_share,0.052884615384615384,1,annual
2017,2017,2017,top_x_share,0.11057692307692307,3,annual
2017,2017,2017,top_x_share,0.22115384615384615,5,annual
2017,2017,2017,top_x_share,0.22115384615384615,10,annual
2018,2018,2018,n_papers,199,NA,annual
2018,2018,2018,n_authors,551,NA,annual
2018,2018,2018,hhi,0.03848387666978152,NA,annual
2018,2018,2018,top_x_share,0.05025125628140704,1,annual
2018,2018,2018,top_x_share,0.05025125628140704,3,annual
2018,2018,2018,top_x_share,0.17587939698492464,5,annual
2018,2018,2018,top_x_share,0.24120603015075376,10,annual
2019,2019,2019,n_papers,222,NA,annual
2019,2019,2019,n_authors,629,NA,annual
2019,2019,2019,hhi,0.03968833698563506,NA,annual
2019,2019,2019,top_x_share,0.04504504504504504,1,annual
