author_raw,n_papers,last_name,initials
Ailshire JA,46,Ailshire,JA
Ailshire J,18,Ailshire,J
Al Snih S,9,Al,Snih S
Al Hazzouri AZ,7,Al,Hazzouri AZ
Ankuda CK,9,Ankuda,CK
Ankuda C,5,Ankuda,C
Baker DW,12,Baker,DW
Baker TA,8,Baker,TA
Barnes DE,7,Barnes,DE
Barnes LL,6,Barnes,LL
Bennett DA,8,Bennett,DA
Bennett JM,7,Bennett,JM
Beydoun HA,10,Beydoun,HA
Beydoun MA,10,Beydoun,MA
Boscardin WJ,47,Boscardin,WJ
Boscardin J,5,Boscardin,J
Brown SL,22,Brown,SL
Brown LL,15,Brown,LL
Brown TH,14,Brown,TH
Brown JS,11,Brown,JS
Brown MJ,8,Brown,MJ
Brown RT,8,Brown,RT
Brown MT,7,Brown,MT
Cadet T,5,Cadet,T
Cadet TJ,5,Cadet,TJ
Carr DC,34,Carr,DC
Carr D,24,Carr,D
Cenzer I,20,Cenzer,I
Cenzer IS,12,Cenzer,IS
Chang VW,13,Chang,VW
Chang RW,7,Chang,RW
Chen H,51,Chen,H
Chen Y,38,Chen,Y
Chen X,34,Chen,X
Chen Z,16,Chen,Z
Chen S,12,Chen,S
Chen J,11,Chen,J
Chen R,10,Chen,R
Chen L,9,Chen,L
Chen P,9,Chen,P
Chen TY,8,Chen,TY
Chen W,7,Chen,W
Chen C,6,Chen,C
Chen Q,6,Chen,Q
Chen M,5,Chen,M
Chen WC,5,Chen,WC
Chiu CT,15,Chiu,CT
Chiu CJ,9,Chiu,CJ
Cho TC,16,Cho,TC
Cho J,9,Cho,J
Cho S,6,Cho,S
Choi H,21,Choi,H
Choi SL,18,Choi,SL
Choi EY,16,Choi,EY
Choi YJ,11,Choi,YJ
Choi SE,7,Choi,SE
Choi NG,6,Choi,NG
Choi BJ,5,Choi,BJ
Clark BC,12,Clark,BC
Clark DO,5,Clark,DO
Clarke PJ,9,Clarke,PJ
Clarke P,7,Clarke,P
Cole SW,14,Cole,SW
Cole S,6,Cole,S
Covinsky KE,51,Covinsky,KE
Covinsky K,7,Covinsky,K
Crimmins EM,91,Crimmins,EM
Crimmins E,23,Crimmins,E
Ding Y,7,Ding,Y
Ding X,5,Ding,X
Dong Y,14,Dong,Y
Dong X,9,Dong,X
Du C,9,Du,C
Du Q,7,Du,Q
Duan H,9,Duan,H
Duan M,5,Duan,M
Faul JD,44,Faul,JD
Faul J,33,Faul,J
Fletcher J,5,Fletcher,J
Fletcher JM,5,Fletcher,JM
Friedman EM,10,Friedman,EM
Friedman DB,5,Friedman,DB
Gao J,10,Gao,J
Gao D,6,Gao,D
Gao X,5,Gao,X
Glymour MM,112,Glymour,MM
Glymour M,5,Glymour,M
Goldman DP,9,Goldman,DP
Goldman N,8,Goldman,N
Guo J,8,Guo,J
Guo X,6,Guo,X
Guo G,5,Guo,G
Han SH,24,Han,SH
Han X,7,Han,X
Han J,5,Han,J
Han L,5,Han,L
Han S,5,Han,S
Han SD,5,Han,SD
He L,8,He,L
He D,7,He,D
He X,5,He,X
He Y,5,He,Y
Hill PL,10,Hill,PL
Hill NL,5,Hill,NL
Hu X,10,Hu,X
Hu Y,9,Hu,Y
Hu Z,6,Hu,Z
Hu P,5,Hu,P
Hu RX,5,Hu,RX
Hua R,14,Hua,R
Hua CL,6,Hua,CL
Huang Y,17,Huang,Y
Huang L,10,Huang,L
Huang J,8,Huang,J
Huang ES,5,Huang,ES
Huang W,5,Huang,W
Huang Z,5,Huang,Z
Jackson DB,8,Jackson,DB
Jackson H,6,Jackson,H
Jackson JJ,5,Jackson,JJ
Jeon SY,9,Jeon,SY
Jeon S,6,Jeon,S
Jiang Y,7,Jiang,Y
Jiang S,5,Jiang,S
Jiang W,5,Jiang,W
Johnson RW,8,Johnson,RW
Johnson KE,6,Johnson,KE
Jones RN,21,Jones,RN
Jones JA,7,Jones,JA
Kabeto MU,28,Kabeto,MU
Kabeto M,16,Kabeto,M
Kezios KL,8,Kezios,KL
Kezios K,6,Kezios,K
Kim ES,52,Kim,ES
Kim JK,41,Kim,JK
Kim J,23,Kim,J
Kim B,22,Kim,B
Kim K,20,Kim,K
Kim H,17,Kim,H
Kim S,15,Kim,S
Kim Y,10,Kim,Y
Kim DH,9,Kim,DH
Kim G,9,Kim,G
Kim D,5,Kim,D
Kim MH,5,Kim,MH
Kobayashi LC,46,Kobayashi,LC
Kobayashi L,5,Kobayashi,L
Lee J,46,Lee,J
Lee SJ,21,Lee,SJ
Lee S,20,Lee,S
Lee H,19,Lee,H
Lee Y,11,Lee,Y
Lee HJ,8,Lee,HJ
Lee G,7,Lee,G
Lee JH,6,Lee,JH
Lee AR,5,Lee,AR
Lee C,5,Lee,C
Lee HH,5,Lee,HH
Lee HY,5,Lee,HY
Lee PG,5,Lee,PG
Lee YJ,5,Lee,YJ
Leggett AN,8,Leggett,AN
Leggett A,5,Leggett,A
Levine DA,25,Levine,DA
Levine ME,10,Levine,ME
Levy BR,9,Levy,BR
Levy H,7,Levy,H
Li Y,50,Li,Y
Li C,40,Li,C
Li J,26,Li,J
Li X,21,Li,X
Li M,19,Li,M
Li L,13,Li,L
