author_raw,author_id,notes,merged_by,merged_date
Abrahamse PH,Abrahamse P,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Abrams L,Abrams LR,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Adkins-Jackson P,Adkins-Jackson PB,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Adler N,Adler NE,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Aiello A,Aiello AE,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Ailshire J,Ailshire JA,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Ajrouch K,Ajrouch KJ,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Alberth AG,Alberth A,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Aldridge M,Aldridge MD,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Alexander N,Alexander NB,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Allegra J,Allegra JC,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Allen K,Allen KD,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Allore H,Allore HG,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Al Hinai M,Al Hazzouri AZ,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Andrade FB,Andrade FCD,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Ankuda C,Ankuda CK,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Antonucci T,Antonucci TC,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Applegate JS,Applegate J,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Arbanas J,Arbanas JC,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Arbeeva L,Arbeeva LS,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Arbeev KG,Arbeev K,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Avila-Rieger J,Avila-Rieger JF,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Bailey R,Bailey RJ,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Baker N,Baker NA,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Bakulski K,Bakulski KM,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Barnes L,Barnes LL,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Bauman A,Bauman AE,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Baum M,Baum MY,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Becker J,Becker JT,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Beiser A,Beiser AS,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
