pmid,title,pub_year,cluster,domain,has_abstract
42404567,Depressive symptoms and risk of incident activities of daily living disability among older adults with symptomatic arthritis.,2026,1,"Domain 1: cognitive, symptoms, depressive, life",TRUE
42402575,"Multinational cohort study of health perception mismatch trajectories and risks of cognitive decline, depression, and mortality.",2026,1,"Domain 1: cognitive, symptoms, depressive, life",TRUE
42401063,Mobility limitation trajectories and longitudinal changes in delayed recall in midlife and later life: A multicohort study.,2026,1,"Domain 1: cognitive, symptoms, depressive, life",TRUE
42400653,Association of the red blood cell distribution width-to-albumin ratio with incident depression and depressive symptom trajectories in older adults.,2026,1,"Domain 1: cognitive, symptoms, depressive, life",TRUE
42399884,Associations between immunosenescence and domain-specific cognition in the Health and Retirement Study Harmonized Cognitive Assessment Protocol.,2026,1,"Domain 1: cognitive, symptoms, depressive, life",TRUE
42398678,Long-term trajectories of basal metabolic rate and risk of depressive symptoms: evidence from three large population-based cohorts.,2026,1,"Domain 1: cognitive, symptoms, depressive, life",TRUE
42398315,Psychiatric or psychological treatment of depression in older adults and subsequent risk of dementia: Health and Retirement Study2012-2020.,2026,7,"Domain 7: dementia, cognitive, impairment, incident",TRUE
42396323,"Early-life nutritional environment is associated with late-life cognition in the Health and Retirement Study, a pellagra epidemic natural experiment.",2026,1,"Domain 1: cognitive, symptoms, depressive, life",TRUE
42394394,Estimated labor market outcomes of people progressing from preclinical to early-stage Alzheimer's disease in the United States.,2026,1,"Domain 1: cognitive, symptoms, depressive, life",TRUE
42393500,Beyond Averages: Informal Caregiving Intensity at End-of-Life for Home Deaths.,2026,8,"Domain 8: caregiving, children, parents, care",TRUE
42391611,The Contribution of Social and Economic Factors to Accelerated Biological Aging Differences Between Non-Hispanic Black and White Adults in the Health and Retirement Study.,2026,1,"Domain 1: cognitive, symptoms, depressive, life",TRUE
42386694,Do Changes in Sense of Purpose in Life Predict Charitable Giving Among U.S. Older Adults? The Moderating Role of Financial Planning Horizon.,2026,1,"Domain 1: cognitive, symptoms, depressive, life",TRUE
42386691,Discrimination and Depressive Symptoms: The Role of Psychological Resilience across Racial and Ethnic Groups.,2026,2,"Domain 2: discrimination, perceived, weight, black",TRUE
42383422,Sex-specific associations between potentially traumatic events and cardiovascular disease in middle-aged and older adults.,2026,1,"Domain 1: cognitive, symptoms, depressive, life",TRUE
42380861,Dietary choline intake and incident dementia in middle-aged and older adults: a prospective cohort study and dose-response meta-analysis.,2026,7,"Domain 7: dementia, cognitive, impairment, incident",TRUE
42380650,Remodelling of body composition surrounding the diagnosis of type 2 diabetes in three longitudinal cohorts.,2026,1,"Domain 1: cognitive, symptoms, depressive, life",TRUE
42374728,Caregivers as Care Recipients: Caregiving Histories and Perceptions of Future Care.,2026,8,"Domain 8: caregiving, children, parents, care",TRUE
42371775,Are Adverse Childhood Experiences (ACEs) Associated with Trajectories of Social Isolation in Adulthood? Evidence from Two U.S. National Surveys.,2026,1,"Domain 1: cognitive, symptoms, depressive, life",TRUE
42364910,Association of vegetable and fruit intake with risk of dementia: three prospective studies and meta-analysis of cohort studies.,2026,7,"Domain 7: dementia, cognitive, impairment, incident",TRUE
42361712,Depressive symptom trajectories around incident hip fracture in older adults: an event-centered matched analysis from the Health and Retirement Study.,2026,1,"Domain 1: cognitive, symptoms, depressive, life",TRUE
42360187,Educational attainment and dementia among older women in the US: Variation by immigration status.,2026,7,"Domain 7: dementia, cognitive, impairment, incident",TRUE
42358299,"Food insecurity, epigenetic age acceleration, and depression in middle-aged and older adults: a longitudinal cohort study.",2026,1,"Domain 1: cognitive, symptoms, depressive, life",TRUE
42355710,Multimorbidity Trajectories Across Three National Ageing Cohorts: Early Branching States and Persistent Cardiometabolic-Musculoskeletal Profiles.,2026,1,"Domain 1: cognitive, symptoms, depressive, life",TRUE
42350761,Prediagnosis frailty and survival after cancer in middle-aged and older adults: a population-based cohort study.,2026,3,"Domain 3: frailty, index, charls, elsa",TRUE
42349519,Immigration and epigenetic age acceleration in the health and retirement study: differences Between Hispanics and Non-Hispanics.,2026,1,"Domain 1: cognitive, symptoms, depressive, life",TRUE
42349432,Can Childhood Health Adversities Determine Trajectories of Aging? Findings From the Health and Retirement Study.,2026,1,"Domain 1: cognitive, symptoms, depressive, life",TRUE
42340875,Sex-Specific Modifiable Factors for Incident Late-Onset Dementia in the Geographic Context: A Longitudinal Comparative Analysis of Multicohort Studies across 19 Countries.,2026,1,"Domain 1: cognitive, symptoms, depressive, life",TRUE
42340145,A dynamic microsimulation method for estimating dementia costs in the United States.,2026,7,"Domain 7: dementia, cognitive, impairment, incident",TRUE
42340126,The cost of dementia in the United States in 2026.,2026,7,"Domain 7: dementia, cognitive, impairment, incident",TRUE
42337615,An immune-associated mitochondrial DNA variant with sex differences reveals a putative novel microprotein called MASL.,2026,1,"Domain 1: cognitive, symptoms, depressive, life",TRUE
42333930,"Changes in the co-occurrence patterns of negative aging perceptions and psychosocial symptoms among older adults before, during, and after the pandemic.",2026,1,"Domain 1: cognitive, symptoms, depressive, life",TRUE
42332623,"Cognitive trajectories before and after geriatric hip fracture: a matched longitudinal analysis of the Health and Retirement Study, 1996-2016.",2026,1,"Domain 1: cognitive, symptoms, depressive, life",TRUE
42329687,"Loneliness, unhealthy lifestyle, and incident cardiometabolic disease among middle-aged and older adults across 33 countries: a multicohort study.",2026,4,"Domain 4: loneliness, social, symptoms, depressive",TRUE
42326832,Self-employment of older workers and the transition to retirement: using machine learning to uncover heterogeneity in work arrangements.,2026,1,"Domain 1: cognitive, symptoms, depressive, life",TRUE
42326781,Auditable cross-instrument detection of unusual multivariate psychiatric response configurations using a semantically aligned covariance subspace.,2026,1,"Domain 1: cognitive, symptoms, depressive, life",TRUE
42321773,Dementia risk by metabolic health and obesity in two prospective cohorts.,2026,7,"Domain 7: dementia, cognitive, impairment, incident",TRUE
42318432,Divergent effects of oral health and genetic risk: competing risks of dementia and mortality.,2026,7,"Domain 7: dementia, cognitive, impairment, incident",TRUE
42317976,Grip strength in the association between frailty and new-onset depression in older adults: a multinational longitudinal study.,2026,3,"Domain 3: frailty, index, charls, elsa",TRUE
42315769,Incarceration and the Health of Older Black Women and Men.,2026,1,"Domain 1: cognitive, symptoms, depressive, life",TRUE
42314997,Cardiometabolic biomarker domains and functional ageing: Cross-cohort evidence for incident mobility limitation.,2026,1,"Domain 1: cognitive, symptoms, depressive, life",TRUE
42309197,Associations between dual sensory impairments and the new-onset cardiometabolic multimorbidity among middle-aged and older adults: the mediating role of frailty.,2026,3,"Domain 3: frailty, index, charls, elsa",TRUE
42308546,The association between lifetime marital histories and later-life cognitive function: Evidence from the United States and China.,2026,1,"Domain 1: cognitive, symptoms, depressive, life",TRUE
42306762,Sex modifies the association between blood pressure variability and lung function decline among population over 45 years old: a pooled analysis of two national cohorts.,2026,1,"Domain 1: cognitive, symptoms, depressive, life",TRUE
42306080,State educational contexts in childhood and systemic inflammation in later life: Evidence from the health and retirement study.,2026,1,"Domain 1: cognitive, symptoms, depressive, life",TRUE
42305714,"Paid time off and cardiovascular disease events: the Health and Retirement Study, 2010-2022.",2026,1,"Domain 1: cognitive, symptoms, depressive, life",TRUE
42305260,Intergenerational family support and older adult frailty: findings from four prospective cohort studies.,2026,1,"Domain 1: cognitive, symptoms, depressive, life",TRUE
42304293,Interacting and joint effects of frailty and depressive symptoms in relation to risk of cardio-oncology comorbidity in older adults from three prospective cohorts.,2026,3,"Domain 3: frailty, index, charls, elsa",TRUE
42302299,Advance Care Planning Documentation Completeness and End-of-Life Care: Trends and Associations Using HRS 2010-2022 Data.,2026,1,"Domain 1: cognitive, symptoms, depressive, life",TRUE
42302219,Cognitive Aging and Brain Health: A Comparison of Super Movers vs Nonsuper Movers.,2026,7,"Domain 7: dementia, cognitive, impairment, incident",TRUE
42296508,"Hearing Status, Loneliness, and Verbal Fluency in Older Adults: A Latent Growth Curve Modeling Approach.",2026,4,"Domain 4: loneliness, social, symptoms, depressive",TRUE
42295271,Capturing wear in wear and tear: The negative-affect reactivity linked to discrimination is associated with biological age across two national samples of adults in the United States.,2026,2,"Domain 2: discrimination, perceived, weight, black",TRUE
42288723,Estimated pulse wave velocity and risk of cardiometabolic multimorbidity in middle-aged and older adults: a cohort study.,2026,1,"Domain 1: cognitive, symptoms, depressive, life",TRUE
