author_id,n_papers,paper_share
Sims M,179,0.2724505327245053
Correa A,134,0.2039573820395738
Taylor HA,115,0.1750380517503805
Wilson JG,78,0.1187214611872146
Muntner P,64,0.0974124809741248
Shimbo D,60,0.091324200913242
Musani SK,59,0.0898021308980213
Fox ER,58,0.0882800608828006
Hall ME,54,0.0821917808219178
Hickson DA,52,0.0791476407914764
Bertoni AG,44,0.0669710806697108
Wyatt SB,41,0.0624048706240487
Mentz RJ,40,0.060882800608828
Reiner AP,40,0.060882800608828
Sarpong DF,39,0.0593607305936073
Raffield LM,37,0.0563165905631659
Bidulescu A,36,0.0547945205479452
Gerszten RE,35,0.0532724505327245
Young BA,35,0.0532724505327245
Booth JN,33,0.0502283105022831
Vasan RS,31,0.0471841704718417
Glover LM,30,0.045662100456621
Tucker KL,30,0.045662100456621
Joseph JJ,29,0.0441400304414003
Min YI,29,0.0441400304414003
Liu J,27,0.0410958904109589
Abdalla M,26,0.0395738203957382
Golden SH,26,0.0395738203957382
Griswold ME,26,0.0395738203957382
O'Brien EC,26,0.0395738203957382
Wu WC,26,0.0395738203957382
Echouffo-Tcheugui JB,25,0.0380517503805175
Gao Y,25,0.0380517503805175
Gebreab SY,24,0.0365296803652968
Ogedegbe G,24,0.0365296803652968
Rich SS,24,0.0365296803652968
Spruill TM,24,0.0365296803652968
Tahir UA,24,0.0365296803652968
Benjamin EJ,23,0.0350076103500761
Lange LA,23,0.0350076103500761
Chen ZZ,22,0.0334855403348554
Dubbert PM,22,0.0334855403348554
Rotter JI,21,0.0319634703196347
Carson AP,19,0.0289193302891933
Effoe VS,19,0.0289193302891933
Talegawkar SA,19,0.0289193302891933
Tanner RM,19,0.0289193302891933
Kalyani RR,18,0.0273972602739726
Seals SR,18,0.0273972602739726
Bress AP,17,0.0258751902587519
Cruz DE,17,0.0258751902587519
Lange EM,17,0.0258751902587519
Li Y,17,0.0258751902587519
Mwasongwe S,17,0.0258751902587519
Samdarshi TE,17,0.0258751902587519
Taylor KD,17,0.0258751902587519
Wang W,17,0.0258751902587519
Blackshear C,16,0.0243531202435312
Butler J,16,0.0243531202435312
Carithers TC,16,0.0243531202435312
Carr JJ,16,0.0243531202435312
Deng S,16,0.0243531202435312
Johnson DA,16,0.0243531202435312
Akylbekova EL,15,0.0228310502283105
Benson MD,15,0.0228310502283105
Jaeger BC,15,0.0228310502283105
Katz R,15,0.0228310502283105
Brock G,14,0.0213089802130898
Bruce MA,14,0.0213089802130898
Butler M,14,0.0213089802130898
Clark D,14,0.0213089802130898
Ngo D,14,0.0213089802130898
Sung JH,14,0.0213089802130898
Tracy RP,14,0.0213089802130898
White WB,14,0.0213089802130898
Zhao S,14,0.0213089802130898
Addison C,13,0.0197869101978691
Crook ED,13,0.0197869101978691
Davenport CA,13,0.0197869101978691
Diaz KM,13,0.0197869101978691
Eaton CB,13,0.0197869101978691
Kamimura D,13,0.0197869101978691
Kline D,13,0.0197869101978691
Robbins JM,13,0.0197869101978691
Auer PL,12,0.0182648401826484
Beech BM,12,0.0182648401826484
Blaha MJ,12,0.0182648401826484
Boulware LE,12,0.0182648401826484
Curtis LH,12,0.0182648401826484
Diamantidis CJ,12,0.0182648401826484
Diez Roux AV,12,0.0182648401826484
Ekunwe L,12,0.0182648401826484
Greiner MA,12,0.0182648401826484
Guo X,12,0.0182648401826484
Irvin MR,12,0.0182648401826484
Johnson WC,12,0.0182648401826484
Katz DH,12,0.0182648401826484
Mitchell GF,12,0.0182648401826484
Oshunbade AA,12,0.0182648401826484
Shah AM,12,0.0182648401826484
Terry JG,12,0.0182648401826484
Wang TJ,12,0.0182648401826484
Wilson G,12,0.0182648401826484
Bishop CE,11,0.0167427701674277
Choudhary G,11,0.0167427701674277
Davis SK,11,0.0167427701674277
Diez-Roux AV,11,0.0167427701674277
Durda P,11,0.0167427701674277
Scialla JJ,11,0.0167427701674277
Smith JD,11,0.0167427701674277
Thorpe RJ,11,0.0167427701674277
Valle K,11,0.0167427701674277
Yano Y,11,0.0167427701674277
Yimer WK,11,0.0167427701674277
Bhavsar NA,10,0.015220700152207
Cain-Shields LR,10,0.015220700152207
Carnethon MR,10,0.015220700152207
Clish CB,10,0.015220700152207
Colantonio LD,10,0.015220700152207
DeBoer MD,10,0.015220700152207
Farrell LA,10,0.015220700152207
Fox CS,10,0.015220700152207
Gurka MJ,10,0.015220700152207
Heitman E,10,0.015220700152207
Howard G,10,0.015220700152207
Kestenbaum B,10,0.015220700152207
Kluwe B,10,0.015220700152207
Levy D,10,0.015220700152207
Pendergast J,10,0.015220700152207
Schweinfurth JM,10,0.015220700152207
Spankovich C,10,0.015220700152207
Steffes MW,10,0.015220700152207
Wang Y,10,0.015220700152207
Williams DR,10,0.015220700152207
Bick AG,9,0.0136986301369863
Boerwinkle E,9,0.0136986301369863
Butler KR,9,0.0136986301369863
Cooper LL,9,0.0136986301369863
Jankowich M,9,0.0136986301369863
Jones DW,9,0.0136986301369863
Khan RJ,9,0.0136986301369863
Kooperberg C,9,0.0136986301369863
Liu Y,9,0.0136986301369863
Manichaikul AW,9,0.0136986301369863
Natarajan P,9,0.0136986301369863
Nickerson DA,9,0.0136986301369863
Norris KC,9,0.0136986301369863
Odei JB,9,0.0136986301369863
Pandey A,9,0.0136986301369863
Redline S,9,0.0136986301369863
Riestra P,9,0.0136986301369863
Sakhuja S,9,0.0136986301369863
Shi X,9,0.0136986301369863
Xu R,9,0.0136986301369863
Anstey DE,8,0.0121765601217656
Ballantyne CM,8,0.0121765601217656
Berry JD,8,0.0121765601217656
Buxbaum SG,8,0.0121765601217656
Chen H,8,0.0121765601217656
Clark CR,8,0.0121765601217656
Cushman M,8,0.0121765601217656
Floyd JS,8,0.0121765601217656
Franceschini N,8,0.0121765601217656
Harman JL,8,0.0121765601217656
Henderson F,8,0.0121765601217656
Hernandez AF,8,0.0121765601217656
Kaze AD,8,0.0121765601217656
Newton RL,8,0.0121765601217656
Schwartz JE,8,0.0121765601217656
Shen D,8,0.0121765601217656
Sofer T,8,0.0121765601217656
Su D,8,0.0121765601217656
Suzuki T,8,0.0121765601217656
Thomas SJ,8,0.0121765601217656
Wellenius GA,8,0.0121765601217656
Bansal N,7,0.0106544901065449
Barber S,7,0.0106544901065449
Dulin AJ,7,0.0106544901065449
Garrison RJ,7,0.0106544901065449
Hall JE,7,0.0106544901065449
Heckbert SR,7,0.0106544901065449
Hsueh WA,7,0.0106544901065449
Jenkins BC,7,0.0106544901065449
Kathiresan S,7,0.0106544901065449
Lee JE,7,0.0106544901065449
Lewis CE,7,0.0106544901065449
Lunyera J,7,0.0106544901065449
Nelson C,7,0.0106544901065449
Ommerborn MJ,7,0.0106544901065449
Patel KV,7,0.0106544901065449
Ravenell J,7,0.0106544901065449
Rebholz CM,7,0.0106544901065449
Sumner AE,7,0.0106544901065449
Sun Q,7,0.0106544901065449
Thornton TA,7,0.0106544901065449
Tyson CC,7,0.0106544901065449
Walker ER,7,0.0106544901065449
White M,7,0.0106544901065449
Zakai NA,7,0.0106544901065449
de Boer IH,7,0.0106544901065449
Allison M,6,0.0091324200913242
Anugu P,6,0.0091324200913242
Bhatnagar A,6,0.0091324200913242
Brewer LC,6,0.0091324200913242
Bromfield SG,6,0.0091324200913242
Cain LR,6,0.0091324200913242
Campbell Jenkins BW,6,0.0091324200913242
Coresh J,6,0.0091324200913242
Flessner MF,6,0.0091324200913242
Guo N,6,0.0091324200913242
Hall R,6,0.0091324200913242
Hamburg NM,6,0.0091324200913242
Hamid A,6,0.0091324200913242
Hardy ST,6,0.0091324200913242
Jackson CL,6,0.0091324200913242
Kalinowski J,6,0.0091324200913242
Lacy ME,6,0.0091324200913242
Liu S,6,0.0091324200913242
Lloyd-Jones DM,6,0.0091324200913242
Mongraw-Chaffin M,6,0.0091324200913242
Nagarajarao HS,6,0.0091324200913242
Naik RP,6,0.0091324200913242
Norwood AF,6,0.0091324200913242
Odden MC,6,0.0091324200913242
Okhomina VI,6,0.0091324200913242
Olson NC,6,0.0091324200913242
Peloso GM,6,0.0091324200913242
Peterson B,6,0.0091324200913242
Reneker JC,6,0.0091324200913242
Rodriguez CJ,6,0.0091324200913242
Selvin E,6,0.0091324200913242
Shallcross AJ,6,0.0091324200913242
Tajeu GS,6,0.0091324200913242
Tsao CW,6,0.0091324200913242
Winters K,6,0.0091324200913242
Young L,6,0.0091324200913242
Yu B,6,0.0091324200913242
