period,period_start,period_end,metric,value,top_x,cluster,domain
"Domain 1: cvd, incident, diabetes, hypertension",NA,NA,n_papers,464,NA,1,"Domain 1: cvd, incident, diabetes, hypertension"
"Domain 1: cvd, incident, diabetes, hypertension",NA,NA,n_authors,1441,NA,1,"Domain 1: cvd, incident, diabetes, hypertension"
"Domain 1: cvd, incident, diabetes, hypertension",NA,NA,hhi,0.33289517687276715,NA,1,"Domain 1: cvd, incident, diabetes, hypertension"
"Domain 1: cvd, incident, diabetes, hypertension",NA,NA,top_x_share,0.2521551724137931,1,1,"Domain 1: cvd, incident, diabetes, hypertension"
"Domain 1: cvd, incident, diabetes, hypertension",NA,NA,top_x_share,0.5625,3,1,"Domain 1: cvd, incident, diabetes, hypertension"
"Domain 1: cvd, incident, diabetes, hypertension",NA,NA,top_x_share,0.6206896551724138,5,1,"Domain 1: cvd, incident, diabetes, hypertension"
"Domain 1: cvd, incident, diabetes, hypertension",NA,NA,top_x_share,0.7262931034482759,10,1,"Domain 1: cvd, incident, diabetes, hypertension"
"Domain 2: genetic, ancestry, variants, genome",NA,NA,n_papers,75,NA,2,"Domain 2: genetic, ancestry, variants, genome"
"Domain 2: genetic, ancestry, variants, genome",NA,NA,n_authors,1287,NA,2,"Domain 2: genetic, ancestry, variants, genome"
"Domain 2: genetic, ancestry, variants, genome",NA,NA,hhi,1.4218666666667272,NA,2,"Domain 2: genetic, ancestry, variants, genome"
"Domain 2: genetic, ancestry, variants, genome",NA,NA,top_x_share,0.48,1,2,"Domain 2: genetic, ancestry, variants, genome"
"Domain 2: genetic, ancestry, variants, genome",NA,NA,top_x_share,0.7466666666666667,3,2,"Domain 2: genetic, ancestry, variants, genome"
"Domain 2: genetic, ancestry, variants, genome",NA,NA,top_x_share,0.8133333333333334,5,2,"Domain 2: genetic, ancestry, variants, genome"
"Domain 2: genetic, ancestry, variants, genome",NA,NA,top_x_share,0.8666666666666667,10,2,"Domain 2: genetic, ancestry, variants, genome"
"Domain 3: masked, sbp, hypertension, nocturnal",NA,NA,n_papers,42,NA,3,"Domain 3: masked, sbp, hypertension, nocturnal"
"Domain 3: masked, sbp, hypertension, nocturnal",NA,NA,n_authors,149,NA,3,"Domain 3: masked, sbp, hypertension, nocturnal"
