dataset,metric,value,top_x,year,computed_date
JHS,n_papers,657,NA,NA,2026-07-06
JHS,n_authors,2663,NA,NA,2026-07-06
JHS,hhi,0.34196534684432195,NA,NA,2026-07-06
JHS,top_x_share,0.2724505327245053,1,NA,2026-07-06
JHS,top_x_share,0.5707762557077626,3,NA,2026-07-06
JHS,top_x_share,0.6514459665144596,5,NA,2026-07-06
JHS,top_x_share,0.726027397260274,10,NA,2026-07-06
JHS,hhi,1.8611111111111096,NA,2009,2026-07-06
JHS,top_x_share,0.8333333333333334,1,2009,2026-07-06
JHS,top_x_share,0.9166666666666666,3,2009,2026-07-06
JHS,top_x_share,0.9166666666666666,5,2009,2026-07-06
JHS,top_x_share,0.9166666666666666,10,2009,2026-07-06
JHS,hhi,2.2727272727272725,NA,2010,2026-07-06
JHS,top_x_share,0.9090909090909091,1,2010,2026-07-06
JHS,top_x_share,0.9090909090909091,3,2010,2026-07-06
JHS,top_x_share,0.9090909090909091,5,2010,2026-07-06
JHS,top_x_share,0.9090909090909091,10,2010,2026-07-06
JHS,hhi,1.645429362880885,NA,2011,2026-07-06
JHS,top_x_share,0.631578947368421,1,2011,2026-07-06
JHS,top_x_share,0.9473684210526315,3,2011,2026-07-06
JHS,top_x_share,0.9473684210526315,5,2011,2026-07-06
JHS,top_x_share,0.9473684210526315,10,2011,2026-07-06
JHS,hhi,1.145,NA,2012,2026-07-06
JHS,top_x_share,0.65,1,2012,2026-07-06
JHS,top_x_share,0.75,3,2012,2026-07-06
JHS,top_x_share,0.8,5,2012,2026-07-06
JHS,top_x_share,0.8,10,2012,2026-07-06
JHS,hhi,1.433673469387754,NA,2013,2026-07-06
JHS,top_x_share,0.6428571428571429,1,2013,2026-07-06
JHS,top_x_share,0.7142857142857143,3,2013,2026-07-06
JHS,top_x_share,0.7142857142857143,5,2013,2026-07-06
JHS,top_x_share,0.8571428571428571,10,2013,2026-07-06
JHS,hhi,1.272189349112427,NA,2014,2026-07-06
JHS,top_x_share,0.46153846153846156,1,2014,2026-07-06
JHS,top_x_share,0.7692307692307693,3,2014,2026-07-06
JHS,top_x_share,0.8461538461538461,5,2014,2026-07-06
JHS,top_x_share,0.8461538461538461,10,2014,2026-07-06
JHS,hhi,0.7489711934156376,NA,2015,2026-07-06
JHS,top_x_share,0.6296296296296297,1,2015,2026-07-06
JHS,top_x_share,0.6296296296296297,3,2015,2026-07-06
JHS,top_x_share,0.7037037037037037,5,2015,2026-07-06
JHS,top_x_share,0.7037037037037037,10,2015,2026-07-06
JHS,hhi,0.8580994897959254,NA,2016,2026-07-06
JHS,top_x_share,0.35714285714285715,1,2016,2026-07-06
JHS,top_x_share,0.7321428571428571,3,2016,2026-07-06
JHS,top_x_share,0.75,5,2016,2026-07-06
