period,period_start,period_end,metric,value,top_x,period_type
2003,2003,2003,n_papers,6,NA,annual
2003,2003,2003,n_authors,23,NA,annual
2003,2003,2003,hhi,1.6111111111111096,NA,annual
2003,2003,2003,top_x_share,0.6666666666666666,1,annual
2003,2003,2003,top_x_share,1,3,annual
2003,2003,2003,top_x_share,1,5,annual
2003,2003,2003,top_x_share,1,10,annual
2005,2005,2005,n_papers,9,NA,annual
2005,2005,2005,n_authors,44,NA,annual
2005,2005,2005,hhi,2.469135802469138,NA,annual
2005,2005,2005,top_x_share,1,1,annual
2005,2005,2005,top_x_share,1,3,annual
2005,2005,2005,top_x_share,1,5,annual
2005,2005,2005,top_x_share,1,10,annual
2008,2008,2008,n_papers,6,NA,annual
2008,2008,2008,n_authors,47,NA,annual
2008,2008,2008,hhi,2.944444444444441,NA,annual
2008,2008,2008,top_x_share,1,1,annual
2008,2008,2008,top_x_share,1,3,annual
2008,2008,2008,top_x_share,1,5,annual
2008,2008,2008,top_x_share,1,10,annual
2009,2009,2009,n_papers,12,NA,annual
2009,2009,2009,n_authors,80,NA,annual
2009,2009,2009,hhi,1.8611111111111085,NA,annual
2009,2009,2009,top_x_share,0.8333333333333334,1,annual
2009,2009,2009,top_x_share,0.9166666666666666,3,annual
2009,2009,2009,top_x_share,0.9166666666666666,5,annual
2009,2009,2009,top_x_share,0.9166666666666666,10,annual
2010,2010,2010,n_papers,11,NA,annual
2010,2010,2010,n_authors,59,NA,annual
2010,2010,2010,hhi,2.272727272727278,NA,annual
2010,2010,2010,top_x_share,0.9090909090909091,1,annual
2010,2010,2010,top_x_share,0.9090909090909091,3,annual
2010,2010,2010,top_x_share,0.9090909090909091,5,annual
2010,2010,2010,top_x_share,0.9090909090909091,10,annual
2011,2011,2011,n_papers,19,NA,annual
2011,2011,2011,n_authors,84,NA,annual
2011,2011,2011,hhi,1.6454293628808836,NA,annual
2011,2011,2011,top_x_share,0.631578947368421,1,annual
2011,2011,2011,top_x_share,0.9473684210526315,3,annual
2011,2011,2011,top_x_share,0.9473684210526315,5,annual
2011,2011,2011,top_x_share,0.9473684210526315,10,annual
2012,2012,2012,n_papers,20,NA,annual
2012,2012,2012,n_authors,98,NA,annual
2012,2012,2012,hhi,1.1449999999999956,NA,annual
2012,2012,2012,top_x_share,0.65,1,annual
2012,2012,2012,top_x_share,0.75,3,annual
2012,2012,2012,top_x_share,0.8,5,annual
2012,2012,2012,top_x_share,0.8,10,annual
2013,2013,2013,n_papers,14,NA,annual
2013,2013,2013,n_authors,68,NA,annual
2013,2013,2013,hhi,1.4336734693877524,NA,annual
2013,2013,2013,top_x_share,0.6428571428571429,1,annual
2013,2013,2013,top_x_share,0.7142857142857143,3,annual
2013,2013,2013,top_x_share,0.7142857142857143,5,annual
2013,2013,2013,top_x_share,0.8571428571428571,10,annual
2014,2014,2014,n_papers,13,NA,annual
2014,2014,2014,n_authors,112,NA,annual
2014,2014,2014,hhi,1.272189349112429,NA,annual
2014,2014,2014,top_x_share,0.46153846153846156,1,annual
2014,2014,2014,top_x_share,0.7692307692307693,3,annual
2014,2014,2014,top_x_share,0.8461538461538461,5,annual
2014,2014,2014,top_x_share,0.8461538461538461,10,annual
2015,2015,2015,n_papers,27,NA,annual
2015,2015,2015,n_authors,143,NA,annual
2015,2015,2015,hhi,0.7489711934156339,NA,annual
2015,2015,2015,top_x_share,0.6296296296296297,1,annual
2015,2015,2015,top_x_share,0.6296296296296297,3,annual
2015,2015,2015,top_x_share,0.7037037037037037,5,annual
2015,2015,2015,top_x_share,0.7037037037037037,10,annual
2016,2016,2016,n_papers,56,NA,annual
2016,2016,2016,n_authors,936,NA,annual
2016,2016,2016,hhi,0.8580994897959533,NA,annual
2016,2016,2016,top_x_share,0.35714285714285715,1,annual
2016,2016,2016,top_x_share,0.7321428571428571,3,annual
2016,2016,2016,top_x_share,0.75,5,annual
2016,2016,2016,top_x_share,0.9107142857142857,10,annual
2017,2017,2017,n_papers,64,NA,annual
2017,2017,2017,n_authors,315,NA,annual
2017,2017,2017,hhi,0.700439453125,NA,annual
2017,2017,2017,top_x_share,0.5625,1,annual
2017,2017,2017,top_x_share,0.65625,3,annual
2017,2017,2017,top_x_share,0.65625,5,annual
2017,2017,2017,top_x_share,0.78125,10,annual
2018,2018,2018,n_papers,45,NA,annual
2018,2018,2018,n_authors,277,NA,annual
2018,2018,2018,hhi,0.7293827160493844,NA,annual
2018,2018,2018,top_x_share,0.4,1,annual
2018,2018,2018,top_x_share,0.6666666666666666,3,annual
2018,2018,2018,top_x_share,0.8222222222222222,5,annual
2018,2018,2018,top_x_share,0.8444444444444444,10,annual
2019,2019,2019,n_papers,51,NA,annual
2019,2019,2019,n_authors,340,NA,annual
2019,2019,2019,hhi,0.8116109188773579,NA,annual
2019,2019,2019,top_x_share,0.45098039215686275,1,annual
2019,2019,2019,top_x_share,0.7450980392156863,3,annual
2019,2019,2019,top_x_share,0.8823529411764706,5,annual
2019,2019,2019,top_x_share,0.8823529411764706,10,annual
2020,2020,2020,n_papers,54,NA,annual
2020,2020,2020,n_authors,301,NA,annual
2020,2020,2020,hhi,0.5332647462277076,NA,annual
2020,2020,2020,top_x_share,0.3333333333333333,1,annual
2020,2020,2020,top_x_share,0.5740740740740741,3,annual
2020,2020,2020,top_x_share,0.6481481481481481,5,annual
2020,2020,2020,top_x_share,0.7777777777777778,10,annual
2021,2021,2021,n_papers,53,NA,annual
2021,2021,2021,n_authors,353,NA,annual
2021,2021,2021,hhi,0.7034531861872416,NA,annual
2021,2021,2021,top_x_share,0.3584905660377358,1,annual
2021,2021,2021,top_x_share,0.7358490566037735,3,annual
2021,2021,2021,top_x_share,0.7735849056603774,5,annual
2021,2021,2021,top_x_share,0.8301886792452831,10,annual
2022,2022,2022,n_papers,51,NA,annual
2022,2022,2022,n_authors,339,NA,annual
2022,2022,2022,hhi,0.7285659361783968,NA,annual
2022,2022,2022,top_x_share,0.29411764705882354,1,annual
2022,2022,2022,top_x_share,0.6470588235294118,3,annual
2022,2022,2022,top_x_share,0.7647058823529411,5,annual
2022,2022,2022,top_x_share,0.7843137254901961,10,annual
2023,2023,2023,n_papers,47,NA,annual
2023,2023,2023,n_authors,405,NA,annual
2023,2023,2023,hhi,0.8171118153010475,NA,annual
2023,2023,2023,top_x_share,0.425531914893617,1,annual
2023,2023,2023,top_x_share,0.6808510638297872,3,annual
2023,2023,2023,top_x_share,0.7021276595744681,5,annual
2023,2023,2023,top_x_share,0.7872340425531915,10,annual
2024,2024,2024,n_papers,32,NA,annual
2024,2024,2024,n_authors,276,NA,annual
