author_raw,n_papers,last_name,initials
Butler J,16,Butler,J
Butler M,10,Butler,M
Butler KR,6,Butler,KR
Cain-Shields L,5,Cain-Shields,L
Cain-Shields LR,5,Cain-Shields,LR
Carithers T,8,Carithers,T
Carithers TC,8,Carithers,TC
Chen ZZ,17,Chen,ZZ
Chen H,8,Chen,H
Chen Z,5,Chen,Z
Clark D,13,Clark,D
Clark CR,7,Clark,CR
Farrell L,5,Farrell,L
Farrell LA,5,Farrell,LA
Fox ER,52,Fox,ER
Fox CS,9,Fox,CS
Fox E,6,Fox,E
Glover LM,17,Glover,LM
Glover L,12,Glover,L
Griswold ME,14,Griswold,ME
Griswold M,12,Griswold,M
Guo X,12,Guo,X
Guo N,6,Guo,N
Guo Y,5,Guo,Y
Hall ME,51,Hall,ME
Hall JE,7,Hall,JE
Hickson DA,44,Hickson,DA
Hickson D,8,Hickson,D
Johnson DA,16,Johnson,DA
Johnson WC,7,Johnson,WC
Johnson WD,5,Johnson,WD
Katz R,15,Katz,R
Katz DH,11,Katz,DH
Lange LA,22,Lange,LA
Lange EM,16,Lange,EM
Liu J,26,Liu,J
Liu Y,9,Liu,Y
Liu S,6,Liu,S
Musani SK,53,Musani,SK
Musani S,6,Musani,S
Mwasongwe S,10,Mwasongwe,S
Mwasongwe SE,7,Mwasongwe,SE
O'Brien EC,18,O'Brien,EC
O'Brien E,8,O'Brien,E
Oshunbade A,6,Oshunbade,A
Oshunbade AA,6,Oshunbade,AA
Reiner AP,34,Reiner,AP
Reiner A,6,Reiner,A
Sarpong DF,27,Sarpong,DF
Sarpong D,11,Sarpong,D
Shah AM,9,Shah,AM
Shah RV,5,Shah,RV
Talegawkar SA,11,Talegawkar,SA
Talegawkar S,8,Talegawkar,S
Taylor HA,96,Taylor,HA
Taylor H,18,Taylor,H
Taylor KD,13,Taylor,KD
Wang W,17,Wang,W
Wang TJ,12,Wang,TJ
Wang Y,10,Wang,Y
White WB,12,White,WB
White M,5,White,M
Wilson JG,76,Wilson,JG
Wilson G,12,Wilson,G
Young BA,20,Young,BA
Young B,15,Young,B
Young L,6,Young,L
