author_id,n_papers,paper_share
Lima JA,313,0.1667554608417688
Budoff MJ,252,0.1342567927543953
Bluemke DA,238,0.1267980820458178
Rotter JI,218,0.1161427810335642
Barr RG,185,0.09856153436334576
Allison MA,179,0.09536494405966968
Psaty BM,169,0.09003729355354288
Post WS,167,0.08897176345231753
McClelland RL,162,0.08630793819925413
Rich SS,157,0.08364411294619073
Heckbert SR,147,0.07831646244006393
Bertoni AG,136,0.07245604688332445
Blumenthal RS,135,0.07192328183271178
Burke GL,135,0.07192328183271178
Shea S,133,0.07085775173148641
Tracy RP,131,0.06979222163026105
Nasir K,130,0.06925945657964838
Blaha MJ,127,0.06766116142781034
Siscovick DS,126,0.06712839637719765
Kronmal RA,124,0.0660628662759723
Szklo M,124,0.0660628662759723
Guo X,121,0.06446457112413426
Kaufman JD,120,0.06393180607352157
Liu K,120,0.06393180607352157
Liu Y,119,0.0633990410229089
Taylor KD,119,0.0633990410229089
Tsai MY,115,0.06126798082045818
Diez Roux AV,114,0.060735215769845495
Michos ED,106,0.05647309536494406
Herrington DM,100,0.05327650506126798
Carr JJ,96,0.05114544485881726
Criqui MH,96,0.05114544485881726
Redline S,96,0.05114544485881726
Cushman M,95,0.05061267980820458
Manichaikul A,94,0.0500799147575919
Polak JF,88,0.046883324453915826
Ouyang P,82,0.04368673415023974
Ding J,81,0.043153969099627064
de Boer IH,81,0.043153969099627064
Katz R,80,0.042621204049014386
Boerwinkle E,79,0.04208843899840171
Smith JA,79,0.04208843899840171
Chen YI,75,0.03995737879595099
Fornage M,74,0.03942461374533831
Smith AV,74,0.03942461374533831
Greenland P,71,0.03782631859350027
Ix JH,71,0.03782631859350027
Hoffman EA,69,0.036760788492274904
Reiner AP,69,0.036760788492274904
Wilson JG,69,0.036760788492274904
Kawut SM,68,0.036228023441662226
Soliman EZ,67,0.03569525839104955
Uitterlinden AG,67,0.03569525839104955
Shlipak MG,66,0.03516249334043687
Watson KE,66,0.03516249334043687
Arnett DK,65,0.03462972828982419
Folsom AR,64,0.034096963239211506
Kooperberg C,63,0.03356419818859883
Pankow JS,63,0.03356419818859883
Harris TB,62,0.03303143313798615
Gudnason V,61,0.03249866808737347
Kardia SLR,61,0.03249866808737347
Wu CO,61,0.03249866808737347
Vaidya D,60,0.031965903036760786
Kestenbaum B,59,0.03143313798614811
Wong ND,59,0.03143313798614811
Liu CT,58,0.03090037293553543
Wong TY,58,0.03090037293553543
Alonso A,56,0.02983484283431007
Loos RJF,56,0.02983484283431007
Seeman T,56,0.02983484283431007
Cupples LA,55,0.02930207778369739
Jenny NS,55,0.02930207778369739
Klein BE,55,0.02930207778369739
Bis JC,54,0.02876931273308471
North KE,54,0.02876931273308471
Klein R,53,0.02823654768247203
Yao J,52,0.02770378263185935
Yeboah J,52,0.02770378263185935
Duprez DA,51,0.02717101758124667
Lloyd-Jones DM,51,0.02717101758124667
Cotch MF,50,0.02663825253063399
van Duijn CM,50,0.02663825253063399
Brody JA,48,0.02557272242940863
Hofman A,48,0.02557272242940863
Vasan RS,47,0.02503995737879595
Zhao W,47,0.02503995737879595
Nettleton JA,46,0.024507192328183273
Correa A,45,0.02397442727757059
Hayward C,44,0.023441662226957913
Shah SJ,44,0.023441662226957913
Ambale-Venkatesh B,43,0.02290889717634523
Delaney JA,43,0.02290889717634523
Diez-Roux AV,43,0.02290889717634523
Rice K,43,0.02290889717634523
Stein JH,43,0.02290889717634523
Chasman DI,42,0.022376132125732553
Morrison AC,42,0.022376132125732553
Palmas W,42,0.022376132125732553
Schreiner PJ,42,0.022376132125732553
Detrano R,41,0.02184336707511987
Hundley WG,41,0.02184336707511987
Kramer H,41,0.02184336707511987
Levy D,41,0.02184336707511987
Lutsey PL,41,0.02184336707511987
Smith BM,41,0.02184336707511987
Sotoodehnia N,41,0.02184336707511987
Allen NB,40,0.021310602024507193
Jacobs DR,40,0.021310602024507193
Lemaitre RN,39,0.02077783697389451
Peralta CA,39,0.02077783697389451
Blankstein R,38,0.020245071923281833
Carnethon MR,38,0.020245071923281833
Chen H,38,0.020245071923281833
Lange LA,38,0.020245071923281833
Sofer T,37,0.019712306872669155
Yanek LR,37,0.019712306872669155
Borecki IB,36,0.019179541822056473
Bowden DW,36,0.019179541822056473
Launer LJ,36,0.019179541822056473
Peyser PA,36,0.019179541822056473
Raffield LM,36,0.019179541822056473
Wassel CL,36,0.019179541822056473
Lehtimaki T,35,0.018646776771443795
Raitakari OT,35,0.018646776771443795
Ridker PM,35,0.018646776771443795
Li X,34,0.018114011720831113
Lohman K,34,0.018114011720831113
Adar SD,33,0.017581246670218435
Bielinski SJ,33,0.017581246670218435
Franceschini N,33,0.017581246670218435
Franco OH,33,0.017581246670218435
Oelsner EC,33,0.017581246670218435
Polasek O,33,0.017581246670218435
Rudan I,33,0.017581246670218435
Bielak LF,32,0.017048481619605753
Golden SH,32,0.017048481619605753
Steffen LM,32,0.017048481619605753
Wood AC,32,0.017048481619605753
Feitosa MF,31,0.016515716568993075
Hughes TM,31,0.016515716568993075
Johnson WC,31,0.016515716568993075
Kahonen M,31,0.016515716568993075
Li Y,31,0.016515716568993075
Moore K,31,0.016515716568993075
O’Leary DH,31,0.016515716568993075
Szpiro AA,31,0.016515716568993075
Wareham NJ,31,0.016515716568993075
Arking DE,30,0.015982951518380393
Bartz TM,30,0.015982951518380393
Lyytikainen LP,30,0.015982951518380393
Mathias RA,30,0.015982951518380393
Tanaka T,30,0.015982951518380393
van der Harst P,30,0.015982951518380393
Coresh J,29,0.015450186467767715
Fitzpatrick AL,29,0.015450186467767715
Guan W,29,0.015450186467767715
Irvin MR,29,0.015450186467767715
Palmer ND,29,0.015450186467767715
Sarnak MJ,29,0.015450186467767715
Tang W,29,0.015450186467767715
Bottinger EP,28,0.014917421417155035
Gomes AS,28,0.014917421417155035
Kanaya AM,28,0.014917421417155035
Lederer DJ,28,0.014917421417155035
Lin HJ,28,0.014917421417155035
Peters A,28,0.014917421417155035
Sharrett AR,28,0.014917421417155035
Deary IJ,27,0.014384656366542355
Esko T,27,0.014384656366542355
Kritchevsky SB,27,0.014384656366542355
Laurie CC,27,0.014384656366542355
McEvoy JW,27,0.014384656366542355
Peloso GM,27,0.014384656366542355
Sanchez BN,27,0.014384656366542355
Sheppard L,27,0.014384656366542355
Dupuis J,26,0.013851891315929675
Huffman JE,26,0.013851891315929675
Ikram MA,26,0.013851891315929675
Johnson AD,26,0.013851891315929675
Kizer JR,26,0.013851891315929675
Nalls MA,26,0.013851891315929675
Rodriguez CJ,26,0.013851891315929675
Steffen BT,26,0.013851891315929675
Trompet S,26,0.013851891315929675
Amin N,25,0.013319126265316995
Cade BE,25,0.013319126265316995
Ellinor PT,25,0.013319126265316995
Mitchell BD,25,0.013319126265316995
Samani NJ,25,0.013319126265316995
Freedman BI,24,0.012786361214704315
Goodarzi MO,24,0.012786361214704315
Graff M,24,0.012786361214704315
Guallar E,24,0.012786361214704315
Jerosch-Herold M,24,0.012786361214704315
Kandula NR,24,0.012786361214704315
Matsushita K,24,0.012786361214704315
Mook-Kanamori DO,24,0.012786361214704315
Mukamal KJ,24,0.012786361214704315
Munroe PB,24,0.012786361214704315
Nazarian S,24,0.012786361214704315
Sibley CT,24,0.012786361214704315
Sitlani CM,24,0.012786361214704315
Teumer A,24,0.012786361214704315
Zhu X,24,0.012786361214704315
de Vries PS,24,0.012786361214704315
Auchincloss AH,23,0.012253596164091636
Benjamin EJ,23,0.012253596164091636
Gepner AD,23,0.012253596164091636
Gieger C,23,0.012253596164091636
Haessler J,23,0.012253596164091636
Hansen T,23,0.012253596164091636
Johnson C,23,0.012253596164091636
Lin X,23,0.012253596164091636
Lu Y,23,0.012253596164091636
Metspalu A,23,0.012253596164091636
Morris AP,23,0.012253596164091636
O’Connor GT,23,0.012253596164091636
Rao DC,23,0.012253596164091636
Rivadeneira F,23,0.012253596164091636
Scott RA,23,0.012253596164091636
Wang X,23,0.012253596164091636
Zhang Y,23,0.012253596164091636
Zhao JH,23,0.012253596164091636
Becker DM,22,0.011720831113478956
Gharib SA,22,0.011720831113478956
Joshi PH,22,0.011720831113478956
Jukema JW,22,0.011720831113478956
Liu S,22,0.011720831113478956
O’Connell JR,22,0.011720831113478956
Padmanabhan S,22,0.011720831113478956
Silverman EK,22,0.011720831113478956
Snieder H,22,0.011720831113478956
Spector TD,22,0.011720831113478956
Takasu J,22,0.011720831113478956
Wiggins KL,22,0.011720831113478956
Zhao D,22,0.011720831113478956
Bahrami H,21,0.011188066062866276
Bild DE,21,0.011188066062866276
Boehnke M,21,0.011188066062866276
Chambers JC,21,0.011188066062866276
Ferrucci L,21,0.011188066062866276
Floyd JS,21,0.011188066062866276
Franks PW,21,0.011188066062866276
Gansevoort RT,21,0.011188066062866276
Grove ML,21,0.011188066062866276
Korcarz CE,21,0.011188066062866276
Larson NB,21,0.011188066062866276
Li D,21,0.011188066062866276
Lind L,21,0.011188066062866276
Mujahid MS,21,0.011188066062866276
Province MA,21,0.011188066062866276
Rasmussen-Torvik LJ,21,0.011188066062866276
Rosen BD,21,0.011188066062866276
Sale MM,21,0.011188066062866276
Shrager S,21,0.011188066062866276
Strauch K,21,0.011188066062866276
Wang JJ,21,0.011188066062866276
de Mutsert R,21,0.011188066062866276
van der Most PJ,21,0.011188066062866276
Ballantyne CM,20,0.010655301012253596
Chen LY,20,0.010655301012253596
Cho MH,20,0.010655301012253596
Eng J,20,0.010655301012253596
Frazier-Wood AC,20,0.010655301012253596
Hwang SJ,20,0.010655301012253596
Ingelsson E,20,0.010655301012253596
Kathiresan S,20,0.010655301012253596
Laakso M,20,0.010655301012253596
Langenberg C,20,0.010655301012253596
Mohlke KL,20,0.010655301012253596
Mozaffarian D,20,0.010655301012253596
Needham BL,20,0.010655301012253596
Nolte IM,20,0.010655301012253596
O’Brien KD,20,0.010655301012253596
O’Donnell CJ,20,0.010655301012253596
Prince MR,20,0.010655301012253596
Rose LM,20,0.010655301012253596
Shimbo D,20,0.010655301012253596
Sim X,20,0.010655301012253596
Starr JM,20,0.010655301012253596
Stricker BH,20,0.010655301012253596
Weiss S,20,0.010655301012253596
Woodward M,20,0.010655301012253596
Young R,20,0.010655301012253596
Al Rifai M,19,0.010122535961640916
Bandinelli S,19,0.010122535961640916
Blangero J,19,0.010122535961640916
Colangelo LA,19,0.010122535961640916
Dardari ZA,19,0.010122535961640916
Fernandes VR,19,0.010122535961640916
He J,19,0.010122535961640916
Hu FB,19,0.010122535961640916
Kaplan RC,19,0.010122535961640916
Larson TV,19,0.010122535961640916
McKnight B,19,0.010122535961640916
Meitinger T,19,0.010122535961640916
Mychaleckyj JC,19,0.010122535961640916
Navas-Acien A,19,0.010122535961640916
Ong KL,19,0.010122535961640916
Pankratz N,19,0.010122535961640916
Patel SR,19,0.010122535961640916
Podolanczuk AJ,19,0.010122535961640916
Saad MF,19,0.010122535961640916
Salomaa V,19,0.010122535961640916
Wang TJ,19,0.010122535961640916
Whitsel EA,19,0.010122535961640916
Zhang W,19,0.010122535961640916
Abecasis GR,18,0.009589770911028236
Astor BC,18,0.009589770911028236
Cainzos-Achirica M,18,0.009589770911028236
Dedoussis G,18,0.009589770911028236
Dorr M,18,0.009589770911028236
Doyle MF,18,0.009589770911028236
Evans DS,18,0.009589770911028236
Grarup N,18,0.009589770911028236
Hanson NQ,18,0.009589770911028236
Jain A,18,0.009589770911028236
Kelly TN,18,0.009589770911028236
Kershaw KN,18,0.009589770911028236
Kim JS,18,0.009589770911028236
Kooner JS,18,0.009589770911028236
Linneberg A,18,0.009589770911028236
Liu J,18,0.009589770911028236
Luan J,18,0.009589770911028236
Lubitz SA,18,0.009589770911028236
Pedersen O,18,0.009589770911028236
Raghu G,18,0.009589770911028236
Stilp AM,18,0.009589770911028236
Tattersall MC,18,0.009589770911028236
Waldenberger M,18,0.009589770911028236
Wang H,18,0.009589770911028236
Whelton SP,18,0.009589770911028236
de Geus EJ,18,0.009589770911028236
Austin JH,17,0.009057005860415556
Bancks MP,17,0.009057005860415556
Chahal H,17,0.009057005860415556
Chu AY,17,0.009057005860415556
Daviglus ML,17,0.009057005860415556
Decker PA,17,0.009057005860415556
Ford I,17,0.009057005860415556
Hajat A,17,0.009057005860415556
Kerr KF,17,0.009057005860415556
Li-Gao R,17,0.009057005860415556
London SJ,17,0.009057005860415556
Magi R,17,0.009057005860415556
Manson JE,17,0.009057005860415556
Marten J,17,0.009057005860415556
Ndumele CE,17,0.009057005860415556
Nelson CP,17,0.009057005860415556
Ning H,17,0.009057005860415556
O’Neal WT,17,0.009057005860415556
Penninx BW,17,0.009057005860415556
Robinson-Cohen C,17,0.009057005860415556
Roux AV,17,0.009057005860415556
Smith NL,17,0.009057005860415556
Vedal S,17,0.009057005860415556
Vitart V,17,0.009057005860415556
Vogel-Claussen J,17,0.009057005860415556
Wagenknecht LE,17,0.009057005860415556
Wang Z,17,0.009057005860415556
Warren HR,17,0.009057005860415556
van Rooij FJ,17,0.009057005860415556
Auer PL,16,0.008524240809802876
Avery CL,16,0.008524240809802876
Blackwell TW,16,0.008524240809802876
Chakravarti A,16,0.008524240809802876
Daniels LB,16,0.008524240809802876
DeFilippis AP,16,0.008524240809802876
Deloukas P,16,0.008524240809802876
Divers J,16,0.008524240809802876
Evenson KR,16,0.008524240809802876
Faul JD,16,0.008524240809802876
Hayden KM,16,0.008524240809802876
Hoofnagle AN,16,0.008524240809802876
Jensen MK,16,0.008524240809802876
Jiang R,16,0.008524240809802876
Kuusisto J,16,0.008524240809802876
Lai S,16,0.008524240809802876
Langefeld CD,16,0.008524240809802876
Lee J,16,0.008524240809802876
Li J,16,0.008524240809802876
Muller-Nurasyid M,16,0.008524240809802876
Otvos JD,16,0.008524240809802876
Patel RB,16,0.008524240809802876
Stukovsky KH,16,0.008524240809802876
Verweij N,16,0.008524240809802876
Wang L,16,0.008524240809802876
Wang Y,16,0.008524240809802876
Ware EB,16,0.008524240809802876
Wojczynski MK,16,0.008524240809802876
Zhou X,16,0.008524240809802876
de Andrade M,16,0.008524240809802876
Aslibekyan S,15,0.007991475759190196
Asselbergs FW,15,0.007991475759190196
Ayers C,15,0.007991475759190196
Becker LC,15,0.007991475759190196
Boomsma DI,15,0.007991475759190196
Caulfield MJ,15,0.007991475759190196
Cooper RS,15,0.007991475759190196
Dehghan A,15,0.007991475759190196
Duan Q,15,0.007991475759190196
Durda P,15,0.007991475759190196
Evans MK,15,0.007991475759190196
Fox CS,15,0.007991475759190196
Gao Y,15,0.007991475759190196
Heard-Costa NL,15,0.007991475759190196
Isaacs A,15,0.007991475759190196
Jackson AU,15,0.007991475759190196
Kolcic I,15,0.007991475759190196
Montasser ME,15,0.007991475759190196
Musani SK,15,0.007991475759190196
Ordovas JM,15,0.007991475759190196
Raffel LJ,15,0.007991475759190196
Rapp SR,15,0.007991475759190196
Reynolds LM,15,0.007991475759190196
Sampson PD,15,0.007991475759190196
Sandfort V,15,0.007991475759190196
Shapiro MD,15,0.007991475759190196
Shavelle DM,15,0.007991475759190196
Tai ES,15,0.007991475759190196
Volker U,15,0.007991475759190196
Zonderman AB,15,0.007991475759190196
Bouchard C,14,0.007458710708577517
Buzkova P,14,0.007458710708577517
Campbell A,14,0.007458710708577517
Campbell H,14,0.007458710708577517
Cheng CY,14,0.007458710708577517
Curran JE,14,0.007458710708577517
Ehret GB,14,0.007458710708577517
Evangelou E,14,0.007458710708577517
Felix SB,14,0.007458710708577517
Froguel P,14,0.007458710708577517
Gapstur SM,14,0.007458710708577517
Giles JT,14,0.007458710708577517
Gu CC,14,0.007458710708577517
Hirsch JA,14,0.007458710708577517
Hou L,14,0.007458710708577517
Islam FM,14,0.007458710708577517
Khera A,14,0.007458710708577517
Kutalik Z,14,0.007458710708577517
Levey AS,14,0.007458710708577517
Lindgren CM,14,0.007458710708577517
Manning AK,14,0.007458710708577517
Meigs JB,14,0.007458710708577517
Mukherjee B,14,0.007458710708577517
Natarajan P,14,0.007458710708577517
Ogunmoroti O,14,0.007458710708577517
Oldehinkel AJ,14,0.007458710708577517
Orho-Melander M,14,0.007458710708577517
Perola M,14,0.007458710708577517
Rivera JJ,14,0.007458710708577517
Sattar N,14,0.007458710708577517
Schurmann C,14,0.007458710708577517
Shahar E,14,0.007458710708577517
Sidney S,14,0.007458710708577517
Tobin MD,14,0.007458710708577517
Volzke H,14,0.007458710708577517
Weir DR,14,0.007458710708577517
van Setten J,14,0.007458710708577517
Assimes TL,13,0.006925945657964837
Bathon JM,13,0.006925945657964837
Bork-Jensen J,13,0.006925945657964837
Conomos MP,13,0.006925945657964837
Danesh J,13,0.006925945657964837
Eiriksdottir G,13,0.006925945657964837
Elliott P,13,0.006925945657964837
Enright PL,13,0.006925945657964837
Eriksson JG,13,0.006925945657964837
Forbang NI,13,0.006925945657964837
Garcia M,13,0.006925945657964837
Habibi M,13,0.006925945657964837
Harris SE,13,0.006925945657964837
Highland HM,13,0.006925945657964837
