period,period_start,period_end,metric,value,top_x,period_type
2005,2005,2005,n_papers,13,NA,annual
2005,2005,2005,n_authors,73,NA,annual
2005,2005,2005,top_x_share,0.46153846153846156,1,annual
2005,2005,2005,top_x_share,0.6153846153846154,3,annual
2005,2005,2005,top_x_share,0.6153846153846154,5,annual
2005,2005,2005,top_x_share,0.8461538461538461,10,annual
2005,2005,2005,top_x_share,0.9230769230769231,20,annual
2006,2006,2006,n_papers,34,NA,annual
2006,2006,2006,n_authors,123,NA,annual
2006,2006,2006,top_x_share,0.3235294117647059,1,annual
2006,2006,2006,top_x_share,0.38235294117647056,3,annual
2006,2006,2006,top_x_share,0.6176470588235294,5,annual
2006,2006,2006,top_x_share,0.7941176470588235,10,annual
2006,2006,2006,top_x_share,0.9705882352941176,20,annual
2007,2007,2007,n_papers,33,NA,annual
2007,2007,2007,n_authors,116,NA,annual
2007,2007,2007,top_x_share,0.24242424242424243,1,annual
2007,2007,2007,top_x_share,0.48484848484848486,3,annual
2007,2007,2007,top_x_share,0.7575757575757576,5,annual
2007,2007,2007,top_x_share,0.9393939393939394,10,annual
2007,2007,2007,top_x_share,0.9393939393939394,20,annual
2008,2008,2008,n_papers,71,NA,annual
2008,2008,2008,n_authors,207,NA,annual
2008,2008,2008,top_x_share,0.352112676056338,1,annual
2008,2008,2008,top_x_share,0.4225352112676056,3,annual
2008,2008,2008,top_x_share,0.49295774647887325,5,annual
2008,2008,2008,top_x_share,0.6901408450704225,10,annual
2008,2008,2008,top_x_share,0.9436619718309859,20,annual
2009,2009,2009,n_papers,83,NA,annual
2009,2009,2009,n_authors,286,NA,annual
2009,2009,2009,top_x_share,0.1686746987951807,1,annual
2009,2009,2009,top_x_share,0.3493975903614458,3,annual
2009,2009,2009,top_x_share,0.5542168674698795,5,annual
2009,2009,2009,top_x_share,0.8433734939759037,10,annual
2009,2009,2009,top_x_share,0.891566265060241,20,annual
2010,2010,2010,n_papers,81,NA,annual
2010,2010,2010,n_authors,322,NA,annual
2010,2010,2010,top_x_share,0.18518518518518517,1,annual
2010,2010,2010,top_x_share,0.3950617283950617,3,annual
2010,2010,2010,top_x_share,0.4567901234567901,5,annual
2010,2010,2010,top_x_share,0.7283950617283951,10,annual
2010,2010,2010,top_x_share,0.8024691358024691,20,annual
2011,2011,2011,n_papers,91,NA,annual
2011,2011,2011,n_authors,577,NA,annual
2011,2011,2011,top_x_share,0.1978021978021978,1,annual
2011,2011,2011,top_x_share,0.3956043956043956,3,annual
2011,2011,2011,top_x_share,0.5054945054945055,5,annual
2011,2011,2011,top_x_share,0.6593406593406593,10,annual
2011,2011,2011,top_x_share,0.8131868131868132,20,annual
2012,2012,2012,n_papers,87,NA,annual
2012,2012,2012,n_authors,694,NA,annual
2012,2012,2012,top_x_share,0.1839080459770115,1,annual
2012,2012,2012,top_x_share,0.26436781609195403,3,annual
2012,2012,2012,top_x_share,0.5172413793103449,5,annual
2012,2012,2012,top_x_share,0.6896551724137931,10,annual
2012,2012,2012,top_x_share,0.8275862068965517,20,annual
2013,2013,2013,n_papers,104,NA,annual
2013,2013,2013,n_authors,1192,NA,annual
2013,2013,2013,top_x_share,0.19230769230769232,1,annual
2013,2013,2013,top_x_share,0.4807692307692308,3,annual
2013,2013,2013,top_x_share,0.6634615384615384,5,annual
2013,2013,2013,top_x_share,0.7788461538461539,10,annual
2013,2013,2013,top_x_share,0.8846153846153846,20,annual
2014,2014,2014,n_papers,135,NA,annual
2014,2014,2014,n_authors,1155,NA,annual
2014,2014,2014,top_x_share,0.21481481481481482,1,annual
2014,2014,2014,top_x_share,0.37777777777777777,3,annual
2014,2014,2014,top_x_share,0.5481481481481482,5,annual
2014,2014,2014,top_x_share,0.7777777777777778,10,annual
2014,2014,2014,top_x_share,0.9111111111111111,20,annual
2015,2015,2015,n_papers,140,NA,annual
2015,2015,2015,n_authors,1353,NA,annual
2015,2015,2015,top_x_share,0.18571428571428572,1,annual
2015,2015,2015,top_x_share,0.32857142857142857,3,annual
2015,2015,2015,top_x_share,0.4857142857142857,5,annual
2015,2015,2015,top_x_share,0.6857142857142857,10,annual
2015,2015,2015,top_x_share,0.8785714285714286,20,annual
2016,2016,2016,n_papers,137,NA,annual
2016,2016,2016,n_authors,1664,NA,annual
2016,2016,2016,top_x_share,0.13138686131386862,1,annual
2016,2016,2016,top_x_share,0.3795620437956204,3,annual
2016,2016,2016,top_x_share,0.3795620437956204,5,annual
2016,2016,2016,top_x_share,0.6861313868613139,10,annual
2016,2016,2016,top_x_share,0.7591240875912408,20,annual
2017,2017,2017,n_papers,142,NA,annual
2017,2017,2017,n_authors,1933,NA,annual
2017,2017,2017,top_x_share,0.16901408450704225,1,annual
2017,2017,2017,top_x_share,0.4014084507042254,3,annual
2017,2017,2017,top_x_share,0.5422535211267606,5,annual
2017,2017,2017,top_x_share,0.795774647887324,10,annual
2017,2017,2017,top_x_share,0.8591549295774648,20,annual
2018,2018,2018,n_papers,134,NA,annual
2018,2018,2018,n_authors,1736,NA,annual
2018,2018,2018,top_x_share,0.17164179104477612,1,annual
2018,2018,2018,top_x_share,0.3805970149253731,3,annual
2018,2018,2018,top_x_share,0.6119402985074627,5,annual
2018,2018,2018,top_x_share,0.7014925373134329,10,annual
2018,2018,2018,top_x_share,0.8432835820895522,20,annual
2019,2019,2019,n_papers,104,NA,annual
2019,2019,2019,n_authors,1421,NA,annual
2019,2019,2019,top_x_share,0.23076923076923078,1,annual
2019,2019,2019,top_x_share,0.5,3,annual
2019,2019,2019,top_x_share,0.5,5,annual
2019,2019,2019,top_x_share,0.6538461538461539,10,annual
2019,2019,2019,top_x_share,0.7692307692307693,20,annual
2020,2020,2020,n_papers,72,NA,annual
2020,2020,2020,n_authors,851,NA,annual
2020,2020,2020,top_x_share,0.2777777777777778,1,annual
2020,2020,2020,top_x_share,0.3472222222222222,3,annual
2020,2020,2020,top_x_share,0.5277777777777778,5,annual
2020,2020,2020,top_x_share,0.6805555555555556,10,annual
2020,2020,2020,top_x_share,0.8194444444444444,20,annual
2021,2021,2021,n_papers,98,NA,annual
2021,2021,2021,n_authors,802,NA,annual
2021,2021,2021,top_x_share,0.17346938775510204,1,annual
2021,2021,2021,top_x_share,0.35714285714285715,3,annual
2021,2021,2021,top_x_share,0.5,5,annual
2021,2021,2021,top_x_share,0.6530612244897959,10,annual
2021,2021,2021,top_x_share,0.7857142857142857,20,annual
2022,2022,2022,n_papers,99,NA,annual
2022,2022,2022,n_authors,1241,NA,annual
2022,2022,2022,top_x_share,0.21212121212121213,1,annual
2022,2022,2022,top_x_share,0.30303030303030304,3,annual
2022,2022,2022,top_x_share,0.45454545454545453,5,annual
2022,2022,2022,top_x_share,0.6868686868686869,10,annual
2022,2022,2022,top_x_share,0.8282828282828283,20,annual
2023,2023,2023,n_papers,75,NA,annual
2023,2023,2023,n_authors,980,NA,annual
2023,2023,2023,top_x_share,0.24,1,annual
2023,2023,2023,top_x_share,0.41333333333333333,3,annual
2023,2023,2023,top_x_share,0.48,5,annual
2023,2023,2023,top_x_share,0.6533333333333333,10,annual
2023,2023,2023,top_x_share,0.84,20,annual
2024,2024,2024,n_papers,59,NA,annual
2024,2024,2024,n_authors,627,NA,annual
2024,2024,2024,top_x_share,0.1694915254237288,1,annual
2024,2024,2024,top_x_share,0.3220338983050847,3,annual
2024,2024,2024,top_x_share,0.6101694915254238,5,annual
2024,2024,2024,top_x_share,0.711864406779661,10,annual
2024,2024,2024,top_x_share,0.9152542372881356,20,annual
2025,2025,2025,n_papers,55,NA,annual
2025,2025,2025,n_authors,659,NA,annual
2025,2025,2025,top_x_share,0.23636363636363636,1,annual
2025,2025,2025,top_x_share,0.38181818181818183,3,annual
2025,2025,2025,top_x_share,0.5636363636363636,5,annual
2025,2025,2025,top_x_share,0.7272727272727273,10,annual
2025,2025,2025,top_x_share,0.8181818181818182,20,annual
2026,2026,2026,n_papers,25,NA,annual
2026,2026,2026,n_authors,325,NA,annual
2026,2026,2026,top_x_share,0.28,1,annual
2026,2026,2026,top_x_share,0.56,3,annual
2026,2026,2026,top_x_share,0.8,5,annual
2026,2026,2026,top_x_share,0.92,10,annual
2026,2026,2026,top_x_share,0.92,20,annual
2000-2004,2000,2004,n_papers,5,NA,five_year
2000-2004,2000,2004,n_authors,30,NA,five_year
2000-2004,2000,2004,top_x_share,0.6,1,five_year
2000-2004,2000,2004,top_x_share,1,3,five_year
2000-2004,2000,2004,top_x_share,1,5,five_year
2000-2004,2000,2004,top_x_share,1,10,five_year
2000-2004,2000,2004,top_x_share,1,20,five_year
2005-2009,2005,2009,n_papers,234,NA,five_year
2005-2009,2005,2009,n_authors,446,NA,five_year
2005-2009,2005,2009,top_x_share,0.2264957264957265,1,five_year
2005-2009,2005,2009,top_x_share,0.358974358974359,3,five_year
2005-2009,2005,2009,top_x_share,0.5128205128205128,5,five_year
2005-2009,2005,2009,top_x_share,0.6837606837606838,10,five_year
2005-2009,2005,2009,top_x_share,0.8547008547008547,20,five_year
2010-2014,2010,2014,n_papers,498,NA,five_year
2010-2014,2010,2014,n_authors,2432,NA,five_year
2010-2014,2010,2014,top_x_share,0.18473895582329317,1,five_year
2010-2014,2010,2014,top_x_share,0.3453815261044177,3,five_year
2010-2014,2010,2014,top_x_share,0.4538152610441767,5,five_year
2010-2014,2010,2014,top_x_share,0.6465863453815262,10,five_year
2010-2014,2010,2014,top_x_share,0.8473895582329317,20,five_year
2015-2019,2015,2019,n_papers,657,NA,five_year
2015-2019,2015,2019,n_authors,4303,NA,five_year
2015-2019,2015,2019,top_x_share,0.1537290715372907,1,five_year
2015-2019,2015,2019,top_x_share,0.395738203957382,3,five_year
2015-2019,2015,2019,top_x_share,0.4764079147640791,5,five_year
2015-2019,2015,2019,top_x_share,0.654490106544901,10,five_year
2015-2019,2015,2019,top_x_share,0.8280060882800608,20,five_year
2020-2024,2020,2024,n_papers,403,NA,five_year
2020-2024,2020,2024,n_authors,2834,NA,five_year
2020-2024,2020,2024,top_x_share,0.1662531017369727,1,five_year
2020-2024,2020,2024,top_x_share,0.3250620347394541,3,five_year
2020-2024,2020,2024,top_x_share,0.48883374689826303,5,five_year
2020-2024,2020,2024,top_x_share,0.7146401985111662,10,five_year
2020-2024,2020,2024,top_x_share,0.8287841191066998,20,five_year
2025-2029,2025,2029,n_papers,80,NA,five_year
2025-2029,2025,2029,n_authors,868,NA,five_year
2025-2029,2025,2029,top_x_share,0.25,1,five_year
2025-2029,2025,2029,top_x_share,0.4625,3,five_year
2025-2029,2025,2029,top_x_share,0.575,5,five_year
2025-2029,2025,2029,top_x_share,0.725,10,five_year
2025-2029,2025,2029,top_x_share,0.825,20,five_year
