author_raw,author_id,notes,merged_by,merged_date
Abecasis G,Abecasis GR,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Absher DM,Absher D,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Adams R,Adams RJ,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Adar S,Adar SD,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Adeyemo AA,Adeyemo A,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Agatston AS,Agatston A,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Aguilar-Salinas C,Aguilar-Salinas CA,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Ahmed F,Ahmed FS,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Ahmed HN,Ahmed HM,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Ahmed HS,Ahmed HM,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Al-Mallah M,Al-Mallah MH,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Alam D,Alam DS,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Alam DW,Alam DS,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Albert C,Albert CM,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Aldrich M,Aldrich MC,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Alexander K,Alexander KS,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Allen N,Allen NB,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Allen R,Allen RW,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Allen RJ,Allen RW,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Allison M,Allison MA,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Anderson CD,Anderson CA,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Anderson CAM,Anderson CA,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Anderson JJ,Anderson JS,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Anderson M,Anderson MR,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Angelantonio E,Angelantonio ED,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Angelini E,Angelini ED,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Ang W,Ang WQ,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Aragam K,Aragam KG,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Arai A,Arai AE,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Ardlie KG,Ardlie K,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Arends V,Arends VL,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Arking D,Arking DE,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Armstrong AC,Armstrong A,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Armstrong AD,Armstrong A,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Arnett D,Arnett DK,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Arnold A,Arnold AM,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Ashar F,Ashar FN,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Astor B,Astor BC,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
