pmid,title,abstract,pub_year,text,has_abstract
mesa_2002_multi_ethnic_study_of_atherosclerosis_ob,Multi-ethnic study of atherosclerosis: objectives and design,NA,2002,Multi-ethnic study of atherosclerosis: objectives and design,FALSE
mesa_2003_sources_of_variability_in_blood_pressure,Sources of variability in blood pressure measurement using the Dinamap PRO 100 automated oscillometric device,NA,2003,Sources of variability in blood pressure measurement using the Dinamap PRO 100 automated oscillometric device,FALSE
mesa_2004_using_mri_to_assess_aortic_wall_thicknes,"Using MRI to assess aortic wall thickness in the multiethnic study of atherosclerosis: distribution by race, sex, and age",NA,2004,"Using MRI to assess aortic wall thickness in the multiethnic study of atherosclerosis: distribution by race, sex, and age",FALSE
mesa_2004_racial_ethnic_differences_in_hypertensio,Racial/ethnic differences in hypertension and hypertension treatment and control in the multi-ethnic study of atherosclerosis (MESA),NA,2004,Racial/ethnic differences in hypertension and hypertension treatment and control in the multi-ethnic study of atherosclerosis (MESA),FALSE
mesa_2004_box_cox_transformation_of_left_censored_,Box-Cox transformation of left-censored data with application to the analysis of coronary artery and pharmacokinetic data,NA,2004,Box-Cox transformation of left-censored data with application to the analysis of coronary artery and pharmacokinetic data,FALSE
mesa_2005_calcified_coronary_artery_plaque_measure,Calcified coronary artery plaque measurement with cardiac CT in population-based studies: standardized protocol of Multi-Ethnic Study of Atherosclerosis (MESA) and Coronary Artery Risk Development in Young Adults (CARDIA) study,NA,2005,Calcified coronary artery plaque measurement with cardiac CT in population-based studies: standardized protocol of Multi-Ethnic Study of Atherosclerosis (MESA) and Coronary Artery Risk Development in Young Adults (CARDIA) study,FALSE
mesa_2005_ethnic_differences_in_coronary_calcifica,Ethnic differences in coronary calcification: the Multi-Ethnic Study of Atherosclerosis (MESA),NA,2005,Ethnic differences in coronary calcification: the Multi-Ethnic Study of Atherosclerosis (MESA),FALSE
mesa_2005_measuring_coronary_calcium_on_ct_images_,Measuring coronary calcium on CT images adjusted for attenuation differences,NA,2005,Measuring coronary calcium on CT images adjusted for attenuation differences,FALSE
mesa_2005_quantitative_assessment_of_regional_myoc,Quantitative assessment of regional myocardial function with MR-tagging in a multi-center study: interobserver and intraobserver agreement of fast strain analysis with Harmonic Phase (HARP) MRI,NA,2005,Quantitative assessment of regional myocardial function with MR-tagging in a multi-center study: interobserver and intraobserver agreement of fast strain analysis with Harmonic Phase (HARP) MRI,FALSE
mesa_2005_skin_tissue_cholesterol_assay_correlates,Skin tissue cholesterol assay correlates with presence of coronary calcium,NA,2005,Skin tissue cholesterol assay correlates with presence of coronary calcium,FALSE
mesa_2005_ankle_brachial_index_and_subclinical_car,Ankle-brachial index and subclinical cardiac and carotid disease: the multi-ethnic study of atherosclerosis,NA,2005,Ankle-brachial index and subclinical cardiac and carotid disease: the multi-ethnic study of atherosclerosis,FALSE
mesa_2005_urine_albumin_excretion_and_subclinical_,Urine albumin excretion and subclinical cardiovascular disease. The Multi-Ethnic Study of Atherosclerosis,NA,2005,Urine albumin excretion and subclinical cardiovascular disease. The Multi-Ethnic Study of Atherosclerosis,FALSE
mesa_2005_coronary_calcium_measurements_effect_of_,Coronary calcium measurements: effect of CT scanner type and calcium measure on rescan reproducibility--MESA study,NA,2005,Coronary calcium measurements: effect of CT scanner type and calcium measure on rescan reproducibility--MESA study,FALSE
mesa_2005_left_ventricular_concentric_remodeling_i,Left ventricular concentric remodeling is associated with decreased global and regional systolic function: the Multi-Ethnic Study of Atherosclerosis,NA,2005,Left ventricular concentric remodeling is associated with decreased global and regional systolic function: the Multi-Ethnic Study of Atherosclerosis,FALSE
mesa_2005_acculturation_and_socioeconomic_position,Acculturation and socioeconomic position as predictors of coronary calcification in a multiethnic sample,NA,2005,Acculturation and socioeconomic position as predictors of coronary calcification in a multiethnic sample,FALSE
mesa_2005_corin_gene_minor_allele_defined_by_2_mis,Corin gene minor allele defined by 2 missense mutations is common in blacks and associated with high blood pressure and hypertension,NA,2005,Corin gene minor allele defined by 2 missense mutations is common in blacks and associated with high blood pressure and hypertension,FALSE
mesa_2005_racial_ethnic_differences_in_subclinical,Racial/Ethnic differences in subclinical atherosclerosis among adults with diabetes: the multiethnic study of atherosclerosis,NA,2005,Racial/Ethnic differences in subclinical atherosclerosis among adults with diabetes: the multiethnic study of atherosclerosis,FALSE
mesa_2005_the_relationship_between_blood_pressure_,The relationship between blood pressure and C-reactive protein in the Multi-Ethnic Study of Atherosclerosis (MESA),NA,2005,The relationship between blood pressure and C-reactive protein in the Multi-Ethnic Study of Atherosclerosis (MESA),FALSE
mesa_2006_coronary_artery_atherosclerosis_is_relat,Coronary artery atherosclerosis is related to reduced regional left ventricular function in individuals without history of clinical cardiovascular disease: the Multiethnic Study of Atherosclerosis,NA,2006,Coronary artery atherosclerosis is related to reduced regional left ventricular function in individuals without history of clinical cardiovascular disease: the Multiethnic Study of Atherosclerosis,FALSE
mesa_2006_regional_diastolic_dysfunction_in_indivi,Regional diastolic dysfunction in individuals with left ventricular hypertrophy measured by tagged magnetic resonance imaging–The Multi-Ethnic Study of Atherosclerosis (MESA),NA,2006,Regional diastolic dysfunction in individuals with left ventricular hypertrophy measured by tagged magnetic resonance imaging–The Multi-Ethnic Study of Atherosclerosis (MESA),FALSE
mesa_2006_two_part_models_for_analysis_of_agatston,Two-part models for analysis of Agatston scores with possible proportionality constraints,NA,2006,Two-part models for analysis of Agatston scores with possible proportionality constraints,FALSE
mesa_2006_distribution_of_coronary_artery_calcium_,"Distribution of coronary artery calcium by race, gender, and age: results from the Multi-Ethnic Study of Atherosclerosis (MESA)",NA,2006,"Distribution of coronary artery calcium by race, gender, and age: results from the Multi-Ethnic Study of Atherosclerosis (MESA)",FALSE
mesa_2006_nut_and_seed_consumption_and_inflammator,Nut and seed consumption and inflammatory markers in the multi-ethnic study of atherosclerosis,NA,2006,Nut and seed consumption and inflammatory markers in the multi-ethnic study of atherosclerosis,FALSE
mesa_2006_multiple_augmentation_with_partial_missi,Multiple augmentation with partial missing regressors,NA,2006,Multiple augmentation with partial missing regressors,FALSE
mesa_2006_coronary_risk_factors_and_myocardial_per,Coronary risk factors and myocardial perfusion in asymptomatic adults: the Multi-Ethnic Study of Atherosclerosis (MESA),NA,2006,Coronary risk factors and myocardial perfusion in asymptomatic adults: the Multi-Ethnic Study of Atherosclerosis (MESA),FALSE
mesa_2006_dyslipidemia_prevalence_treatment_and_co,"Dyslipidemia prevalence, treatment, and control in the Multi-Ethnic Study of Atherosclerosis (MESA): gender, ethnicity, and coronary artery calcium",NA,2006,"Dyslipidemia prevalence, treatment, and control in the Multi-Ethnic Study of Atherosclerosis (MESA): gender, ethnicity, and coronary artery calcium",FALSE
mesa_2006_reproducibility_of_ct_measurements_of_ao,"Reproducibility of CT measurements of aortic valve calcification, mitral annulus calcification, and aortic wall calcification in the multi-ethnic study of atherosclerosis",NA,2006,"Reproducibility of CT measurements of aortic valve calcification, mitral annulus calcification, and aortic wall calcification in the multi-ethnic study of atherosclerosis",FALSE
mesa_2006_diabetic_retinopathy_in_a_multi_ethnic_c,Diabetic Retinopathy in a Multi-ethnic Cohort in the United States,NA,2006,Diabetic Retinopathy in a Multi-ethnic Cohort in the United States,FALSE
