paper_id,fetch_date,fetch_status,source
mesa_2002_multi_ethnic_study_of_atherosclerosis_ob,2026-06-24T17:48:12Z,success,mesa_docx
mesa_2003_sources_of_variability_in_blood_pressure,2026-06-24T17:48:12Z,success,mesa_docx
mesa_2004_using_mri_to_assess_aortic_wall_thicknes,2026-06-24T17:48:12Z,success,mesa_docx
mesa_2004_racial_ethnic_differences_in_hypertensio,2026-06-24T17:48:12Z,success,mesa_docx
mesa_2004_box_cox_transformation_of_left_censored_,2026-06-24T17:48:12Z,success,mesa_docx
mesa_2005_calcified_coronary_artery_plaque_measure,2026-06-24T17:48:12Z,success,mesa_docx
mesa_2005_ethnic_differences_in_coronary_calcifica,2026-06-24T17:48:12Z,success,mesa_docx
mesa_2005_measuring_coronary_calcium_on_ct_images_,2026-06-24T17:48:12Z,success,mesa_docx
mesa_2005_quantitative_assessment_of_regional_myoc,2026-06-24T17:48:12Z,success,mesa_docx
mesa_2005_skin_tissue_cholesterol_assay_correlates,2026-06-24T17:48:12Z,success,mesa_docx
mesa_2005_ankle_brachial_index_and_subclinical_car,2026-06-24T17:48:12Z,success,mesa_docx
mesa_2005_urine_albumin_excretion_and_subclinical_,2026-06-24T17:48:12Z,success,mesa_docx
mesa_2005_coronary_calcium_measurements_effect_of_,2026-06-24T17:48:12Z,success,mesa_docx
mesa_2005_left_ventricular_concentric_remodeling_i,2026-06-24T17:48:12Z,success,mesa_docx
mesa_2005_acculturation_and_socioeconomic_position,2026-06-24T17:48:12Z,success,mesa_docx
mesa_2005_corin_gene_minor_allele_defined_by_2_mis,2026-06-24T17:48:12Z,success,mesa_docx
mesa_2005_racial_ethnic_differences_in_subclinical,2026-06-24T17:48:12Z,success,mesa_docx
mesa_2005_the_relationship_between_blood_pressure_,2026-06-24T17:48:12Z,success,mesa_docx
mesa_2006_coronary_artery_atherosclerosis_is_relat,2026-06-24T17:48:12Z,success,mesa_docx
mesa_2006_regional_diastolic_dysfunction_in_indivi,2026-06-24T17:48:12Z,success,mesa_docx
mesa_2006_two_part_models_for_analysis_of_agatston,2026-06-24T17:48:12Z,success,mesa_docx
mesa_2006_distribution_of_coronary_artery_calcium_,2026-06-24T17:48:12Z,success,mesa_docx
mesa_2006_nut_and_seed_consumption_and_inflammator,2026-06-24T17:48:12Z,success,mesa_docx
