author_id,n_papers,paper_share
Almeida D M,191,0.08326068003487358
Ryff C D,155,0.06756756756756757
Lachman M E,96,0.041848299912816043
Sutin A R,61,0.02659110723626853
Terracciano A,60,0.026155187445510025
Seeman T E,58,0.025283347863993024
Stephan Y,57,0.024847428073234524
Charles S T,48,0.020924149956408022
Coe C L,47,0.02048823016564952
Krueger R F,45,0.01961639058413252
Lee S,43,0.018744551002615517
Mroczek D K,43,0.018744551002615517
Turiano N A,42,0.018308631211857017
Ong A D,39,0.017000871839581516
Weinstein M,38,0.016564952048823016
Friedman E M,37,0.016129032258064516
Luchetti M,37,0.016129032258064516
Williams D R,36,0.015693112467306015
Gruenewald T L,34,0.014821272885789015
Mogle J,32,0.013949433304272014
Boylan J M,31,0.013513513513513514
Glei D A,31,0.013513513513513514
Karlamangla A S,31,0.013513513513513514
Grzywacz J G,30,0.013077593722755012
Kitayama S,30,0.013077593722755012
Zainal N H,29,0.012641673931996512
Davidson R J,28,0.012205754141238012
Jokela M,28,0.012205754141238012
Love G D,28,0.012205754141238012
Schaefer S M,28,0.012205754141238012
Miyamoto Y,27,0.011769834350479512
Stawski R S,26,0.011333914559721011
Li J,25,0.010897994768962511
Piazza J R,25,0.010897994768962511
Carr D,24,0.010462074978204011
Graham E K,24,0.010462074978204011
Keyes C L M,24,0.010462074978204011
Lee C,24,0.010462074978204011
Joshanloo M,23,0.01002615518744551
Hartanto A,22,0.00959023539668701
Fitzgerald M,21,0.009154315605928508
Karasawa M,21,0.009154315605928508
Markus H R,20,0.008718395815170008
Park J,20,0.008718395815170008
Schafer M H,20,0.008718395815170008
Cuevas A G,19,0.008282476024411508
Goodwin R D,19,0.008282476024411508
Greenberg J S,19,0.008282476024411508
Kawakami N,19,0.008282476024411508
Newman M G,19,0.008282476024411508
Tsenkova V K,19,0.008282476024411508
Kivimaki M,18,0.007846556233653008
Hill P L,17,0.0074106364428945075
Kawachi I,17,0.0074106364428945075
Kubzansky L D,17,0.0074106364428945075
Liu Y,17,0.0074106364428945075
Marks N F,17,0.0074106364428945075
Sloan R P,17,0.0074106364428945075
Woods S B,17,0.0074106364428945075
Cole S W,16,0.006974716652136007
Mann F D,16,0.006974716652136007
Sin N L,16,0.006974716652136007
Song J,16,0.006974716652136007
South S C,16,0.006974716652136007
Chen Y,15,0.006538796861377506
Mailick M R,15,0.006538796861377506
Reekum C M,15,0.006538796861377506
Chapman B P,14,0.006102877070619006
Fuller-Rowell T E,14,0.006102877070619006
Hong J,14,0.006102877070619006
Kim S Y,14,0.006102877070619006
Roberson P N E,14,0.006102877070619006
Rush J,14,0.006102877070619006
Slatcher R B,14,0.006102877070619006
Willroth E C,14,0.006102877070619006
Agrigoroaei S,13,0.005666957279860506
Barrett A E,13,0.005666957279860506
Bhattacharyya K K,13,0.005666957279860506
