period,period_start,period_end,metric,value,top_x,cluster,domain
"Domain 1: well, self, health, mental",NA,NA,n_papers,96,NA,1,"Domain 1: well, self, health, mental"
"Domain 1: well, self, health, mental",NA,NA,n_authors,239,NA,1,"Domain 1: well, self, health, mental"
"Domain 1: well, self, health, mental",NA,NA,hhi,0.10503472222222283,NA,1,"Domain 1: well, self, health, mental"
"Domain 1: well, self, health, mental",NA,NA,top_x_share,0.25,1,1,"Domain 1: well, self, health, mental"
"Domain 1: well, self, health, mental",NA,NA,top_x_share,0.34375,3,1,"Domain 1: well, self, health, mental"
"Domain 1: well, self, health, mental",NA,NA,top_x_share,0.4375,5,1,"Domain 1: well, self, health, mental"
"Domain 1: well, self, health, mental",NA,NA,top_x_share,0.4375,10,1,"Domain 1: well, self, health, mental"
"Domain 2: sleep, quality, population, adults",NA,NA,n_papers,57,NA,2,"Domain 2: sleep, quality, population, adults"
"Domain 2: sleep, quality, population, adults",NA,NA,n_authors,158,NA,2,"Domain 2: sleep, quality, population, adults"
"Domain 2: sleep, quality, population, adults",NA,NA,hhi,0.12803939673745737,NA,2,"Domain 2: sleep, quality, population, adults"
"Domain 2: sleep, quality, population, adults",NA,NA,top_x_share,0.17543859649122806,1,2,"Domain 2: sleep, quality, population, adults"
"Domain 2: sleep, quality, population, adults",NA,NA,top_x_share,0.3333333333333333,3,2,"Domain 2: sleep, quality, population, adults"
"Domain 2: sleep, quality, population, adults",NA,NA,top_x_share,0.45614035087719296,5,2,"Domain 2: sleep, quality, population, adults"
"Domain 2: sleep, quality, population, adults",NA,NA,top_x_share,0.45614035087719296,10,2,"Domain 2: sleep, quality, population, adults"
"Domain 3: psychological, well, social, health",NA,NA,n_papers,114,NA,3,"Domain 3: psychological, well, social, health"
"Domain 3: psychological, well, social, health",NA,NA,n_authors,282,NA,3,"Domain 3: psychological, well, social, health"
"Domain 3: psychological, well, social, health",NA,NA,hhi,0.06409664512157562,NA,3,"Domain 3: psychological, well, social, health"
"Domain 3: psychological, well, social, health",NA,NA,top_x_share,0.14035087719298245,1,3,"Domain 3: psychological, well, social, health"
"Domain 3: psychological, well, social, health",NA,NA,top_x_share,0.2543859649122807,3,3,"Domain 3: psychological, well, social, health"
"Domain 3: psychological, well, social, health",NA,NA,top_x_share,0.2807017543859649,5,3,"Domain 3: psychological, well, social, health"
"Domain 3: psychological, well, social, health",NA,NA,top_x_share,0.3684210526315789,10,3,"Domain 3: psychological, well, social, health"
"Domain 4: health, social, daily, midlife",NA,NA,n_papers,1419,NA,4,"Domain 4: health, social, daily, midlife"
"Domain 4: health, social, daily, midlife",NA,NA,n_authors,2800,NA,4,"Domain 4: health, social, daily, midlife"
"Domain 4: health, social, daily, midlife",NA,NA,hhi,0.023278162419715066,NA,4,"Domain 4: health, social, daily, midlife"
"Domain 4: health, social, daily, midlife",NA,NA,top_x_share,0.0824524312896406,1,4,"Domain 4: health, social, daily, midlife"
"Domain 4: health, social, daily, midlife",NA,NA,top_x_share,0.15997181113460182,3,4,"Domain 4: health, social, daily, midlife"
"Domain 4: health, social, daily, midlife",NA,NA,top_x_share,0.17688513037350245,5,4,"Domain 4: health, social, daily, midlife"
"Domain 4: health, social, daily, midlife",NA,NA,top_x_share,0.244538407329105,10,4,"Domain 4: health, social, daily, midlife"
"Domain 5: life, satisfaction, purpose, later",NA,NA,n_papers,156,NA,5,"Domain 5: life, satisfaction, purpose, later"
"Domain 5: life, satisfaction, purpose, later",NA,NA,n_authors,407,NA,5,"Domain 5: life, satisfaction, purpose, later"
"Domain 5: life, satisfaction, purpose, later",NA,NA,hhi,0.06155489809336062,NA,5,"Domain 5: life, satisfaction, purpose, later"
"Domain 5: life, satisfaction, purpose, later",NA,NA,top_x_share,0.07051282051282051,1,5,"Domain 5: life, satisfaction, purpose, later"
"Domain 5: life, satisfaction, purpose, later",NA,NA,top_x_share,0.1346153846153846,3,5,"Domain 5: life, satisfaction, purpose, later"
