dataset,metric,value,top_x,year,computed_date
MIDUS,n_papers,2294,NA,NA,2026-06-24
MIDUS,n_authors,3521,NA,NA,2026-06-24
MIDUS,hhi,0.028604813436208756,NA,NA,2026-06-24
MIDUS,top_x_share,0.08326068003487358,1,NA,2026-06-24
MIDUS,top_x_share,0.1857018308631212,3,NA,2026-06-24
MIDUS,top_x_share,0.21316477768090672,5,NA,2026-06-24
MIDUS,top_x_share,0.2506538796861377,10,NA,2026-06-24
MIDUS,hhi,0.41000000000000014,NA,2001,2026-06-24
MIDUS,hhi,0.20444444444444446,NA,2002,2026-06-24
MIDUS,hhi,0.21484375,NA,2003,2026-06-24
MIDUS,hhi,0.25,NA,2004,2026-06-24
MIDUS,hhi,0.1519274376417234,NA,2005,2026-06-24
MIDUS,hhi,0.12925170068027209,NA,2006,2026-06-24
MIDUS,hhi,0.2602040816326532,NA,2007,2026-06-24
MIDUS,hhi,0.15277777777777796,NA,2008,2026-06-24
MIDUS,hhi,0.12950138504155106,NA,2009,2026-06-24
MIDUS,hhi,0.12856496152105015,NA,2010,2026-06-24
MIDUS,hhi,0.12381852551984901,NA,2011,2026-06-24
MIDUS,hhi,0.16805170821791296,NA,2012,2026-06-24
MIDUS,hhi,0.17102846648301226,NA,2013,2026-06-24
MIDUS,hhi,0.12406645328456054,NA,2014,2026-06-24
MIDUS,hhi,0.09839335180055422,NA,2015,2026-06-24
MIDUS,hhi,0.0817263544536274,NA,2016,2026-06-24
MIDUS,hhi,0.050488365412238036,NA,2017,2026-06-24
MIDUS,hhi,0.06163257852447014,NA,2018,2026-06-24
MIDUS,hhi,0.045288485764676235,NA,2019,2026-06-24
MIDUS,hhi,0.041883454734651576,NA,2020,2026-06-24
MIDUS,hhi,0.037370477322914715,NA,2021,2026-06-24
MIDUS,hhi,0.049784354550862345,NA,2022,2026-06-24
MIDUS,hhi,0.05005178923452215,NA,2023,2026-06-24
MIDUS,hhi,0.05116263707226882,NA,2024,2026-06-24
MIDUS,hhi,0.053411249086925024,NA,2025,2026-06-24
MIDUS,hhi,0.06454346444460168,NA,2026,2026-06-24
