pmid,title,abstract,pub_year,text,has_abstract
midus_doi_10_3390_bioengineering13030339,Stable longitudinal screening of latent physiological dysregulation from psychometric data using machine learning,NA,2026,Stable longitudinal screening of latent physiological dysregulation from psychometric data using machine learning,FALSE
midus_doi_10_1177_13591053251344741,Exploring the association between self-esteem and blood pressure: A cross-sectional and longitudinal investigation,NA,2026,Exploring the association between self-esteem and blood pressure: A cross-sectional and longitudinal investigation,FALSE
midus_doi_10_1111_bjhp_70063,Do adults with cardiovascular disease risk show meaningful reactivity to physical activity measurement? Coordinated analysis across six studies,NA,2026,Do adults with cardiovascular disease risk show meaningful reactivity to physical activity measurement? Coordinated analysis across six studies,FALSE
midus_doi_10_1016_j_psyneuen_2026_107795,"Religiosity, spiritual practices, and epigenetic aging: Insights from a population-based sample of middle-aged US adults",NA,2026,"Religiosity, spiritual practices, and epigenetic aging: Insights from a population-based sample of middle-aged US adults",FALSE
midus_doi_10_1080_13607863_2026_2664080,"E-selectin, but not CRP, partially mediates the association between metabolic indices and insulin resistance in older adults: A mediation analysis",NA,2026,"E-selectin, but not CRP, partially mediates the association between metabolic indices and insulin resistance in older adults: A mediation analysis",FALSE
midus_doi_10_1515_hmbci_2025_0055,Investigating the association between creatinine-adjusted urinary catecholamines and site-specific bone mineral density in older adults,NA,2026,Investigating the association between creatinine-adjusted urinary catecholamines and site-specific bone mineral density in older adults,FALSE
midus_doi_10_19102_icrm_2026_17056,Systemic inflammation is associated with resting premature atrial and ventricular contractions in American older adults,NA,2026,Systemic inflammation is associated with resting premature atrial and ventricular contractions in American older adults,FALSE
midus_doi_10_1093_geronb_gbaf255,Grandparent caregiving and epigenetic aging among midlife and older adults in the United States,NA,2026,Grandparent caregiving and epigenetic aging among midlife and older adults in the United States,FALSE
midus_doi_10_1057_s41270_024_00347_6,On the use of self-reports in marketing research: Insights about initial response biases from daily diary data,NA,2026,On the use of self-reports in marketing research: Insights about initial response biases from daily diary data,FALSE
midus_doi_10_1177_13591053261424714,"Meaning in life and depression in serious head injury: Examining potential differences in coherence, purpose, and mattering",NA,2026,"Meaning in life and depression in serious head injury: Examining potential differences in coherence, purpose, and mattering",FALSE
midus_doi_10_1093_geronb_gbag071,Do all components of psychological well-being predict cognitive function? Journals of Gerontology,NA,2026,Do all components of psychological well-being predict cognitive function? Journals of Gerontology,FALSE
midus_doi_10_1016_j_crbeha_2026_100206,Leisure activities are associated with physical and mental health,NA,2026,Leisure activities are associated with physical and mental health,FALSE
midus_doi_10_3390_healthcare14060725,Biopsychosocial and cultural determinants of functioning and healthcare outcomes in chronic non-cancer pain: An integrative review,NA,2026,Biopsychosocial and cultural determinants of functioning and healthcare outcomes in chronic non-cancer pain: An integrative review,FALSE
midus_doi_10_1186_s40001_026_04362_4,Association between circulating antioxidant concentrations and bone mineral density in an adult population,NA,2026,Association between circulating antioxidant concentrations and bone mineral density in an adult population,FALSE
midus_doi_10_1177_00221465251349818,"Spatial social polarization and cardiometabolic disease prevalence and incidence: What is the role of the neighborhood environment? Journal of Health and Social Behavior, 67(1), 47-64",NA,2026,"Spatial social polarization and cardiometabolic disease prevalence and incidence: What is the role of the neighborhood environment? Journal of Health and Social Behavior, 67(1), 47-64",FALSE
midus_doi_10_1037_hea0001590,Mechanisms linking childhood harsh fathering to adult sons' health,NA,2026,Mechanisms linking childhood harsh fathering to adult sons' health,FALSE
midus_doi_10_1037_hea0001538,Life satisfaction moderates the impact of daily stressors on well-being and health,NA,2026,Life satisfaction moderates the impact of daily stressors on well-being and health,FALSE
midus_doi_10_1037_pag0000912,Interrelations between daily stress processes and Big Five personality trait changes over 20 years,NA,2026,Interrelations between daily stress processes and Big Five personality trait changes over 20 years,FALSE
midus_doi_10_1007_s40615_026_03032_9,Life sustaining well-being practices and physiological health among Black men,NA,2026,Life sustaining well-being practices and physiological health among Black men,FALSE
midus_doi_10_1016_j_bbih_2026_101232,Discrepancies in loneliness and social isolation predict cognitive impairment through chronic disease burden,NA,2026,Discrepancies in loneliness and social isolation predict cognitive impairment through chronic disease burden,FALSE
midus_doi_10_1007_s11357_026_02183_1,Revisiting the social frailty index in aging adults: Relevance and implications for an emerging construct,NA,2026,Revisiting the social frailty index in aging adults: Relevance and implications for an emerging construct,FALSE
