paper_id,pub_year,title,doi,author_part,raw_citation
midus_doi_10_3390_bioengineering13030339,2026,Stable longitudinal screening of latent physiological dysregulation from psychometric data using machine learning,10.3390/bioengineering13030339,"Alecu, A. A. ","Alecu, A. A. (2026). Stable longitudinal screening of latent physiological dysregulation from psychometric data using machine learning. Bioengineering, 13(3), Article 339."
midus_doi_10_1177_13591053251344741,2026,Exploring the association between self-esteem and blood pressure: A cross-sectional and longitudinal investigation,10.1177/13591053251344741,"Allard, B. C., & Boehm, J. K. ","Allard, B. C., & Boehm, J. K. (2026). Exploring the association between self-esteem and blood pressure: A cross-sectional and longitudinal investigation. Journal of Health Psychology, 31(4), 1744-1752."
midus_doi_10_1111_bjhp_70063,2026,Do adults with cardiovascular disease risk show meaningful reactivity to physical activity measurement? Coordinated analysis across six studies,10.1111/bjhp.70063,"Arigo, D., Baga, K., Folk, A. L., Salvatore, G. M., Bercovitz, I., Singh, R., Konig, L. M., Butryn, M. L., & Mogle, J. A. ","Arigo, D., Baga, K., Folk, A. L., Salvatore, G. M., Bercovitz, I., Singh, R., Konig, L. M., Butryn, M. L., & Mogle, J. A. (2026). Do adults with cardiovascular disease risk show meaningful reactivity to physical activity measurement? Coordinated analysis across six studies. British Journal of Health Psychology, 31(2), Article e70063."
midus_doi_10_1016_j_psyneuen_2026_107795,2026,"Religiosity, spiritual practices, and epigenetic aging: Insights from a population-based sample of middle-aged US adults",10.1016/j.psyneuen.2026.107795,"Ashe, J. J., Bather, J. R., Crump, A. A., Sims, M., Faber, K. E., Williams, D. R., & Cuevas, A. G. ","Ashe, J. J., Bather, J. R., Crump, A. A., Sims, M., Faber, K. E., Williams, D. R., & Cuevas, A. G. (2026). Religiosity, spiritual practices, and epigenetic aging: Insights from a population-based sample of middle-aged US adults. Psychoneuroendocrinology, 187, Article 107795."
midus_doi_10_1080_13607863_2026_2664080,2026,"E-selectin, but not CRP, partially mediates the association between metabolic indices and insulin resistance in older adults: A mediation analysis",10.1080/13607863.2026.2664080,"Ashour, L., Albweitel, T., Rahmeh, J. A., Alfawadleh, M., El Sharabi, A., Shareah, R. A., Alomari, Z., Alhawwari, A., Alkalouti, M., Al-Nawaiseh, N. F., Ababneh, M. S., & Kaoukji, A. ","Ashour, L., Albweitel, T., Rahmeh, J. A., Alfawadleh, M., El Sharabi, A., Shareah, R. A., Alomari, Z., Alhawwari, A., Alkalouti, M., Al-Nawaiseh, N. F., Ababneh, M. S., & Kaoukji, A. (2026). E-selectin, but not CRP, partially mediates the association between metabolic indices and insulin resistance in older adults: A mediation analysis. Asian Biomedicine, 20(1), 60-69."
midus_doi_10_1515_hmbci_2025_0055,2026,Investigating the association between creatinine-adjusted urinary catecholamines and site-specific bone mineral density in older adults,10.1515/hmbci-2025-0055,"Ashour, L., Hammad, S., Shahwan, R., Musamih, R., Aziziye, O., Zaita, M., Fraihat, Q. A., Schumannalkhtib, A., Al Khreisha, M., Barakat, H., & Sawalmeh, M. ","Ashour, L., Hammad, S., Shahwan, R., Musamih, R., Aziziye, O., Zaita, M., Fraihat, Q. A., Schumannalkhtib, A., Al Khreisha, M., Barakat, H., & Sawalmeh, M. (2026). Investigating the association between creatinine-adjusted urinary catecholamines and site-specific bone mineral density in older adults. Hormone Molecular Biology and Clinical Investigation, 47(1), 9-16."
midus_doi_10_19102_icrm_2026_17056,2026,Systemic inflammation is associated with resting premature atrial and ventricular contractions in American older adults,10.19102/icrm.2026.17056,"Ashour, L., Obar, M., Yaser, A., Fraihat, Q. A., Abuqudaira, B., Ebeidat, N., Al-Ghwiery, L., Zaita, M., Subbah, E., Kaoukji, A., & Badran, L. ","Ashour, L., Obar, M., Yaser, A., Fraihat, Q. A., Abuqudaira, B., Ebeidat, N., Al-Ghwiery, L., Zaita, M., Subbah, E., Kaoukji, A., & Badran, L. (2026). Systemic inflammation is associated with resting premature atrial and ventricular contractions in American older adults. Journal of Innovations in Cardiac Rhythm Management, 17(5), 6731-6738."
midus_doi_10_1093_geronb_gbaf255,2026,Grandparent caregiving and epigenetic aging among midlife and older adults in the United States,10.1093/geronb/gbaf255,"Bhat, A. C., Trexberg, K. M., Apsley, A. T., Almeida, D. M., & Shalev, I. ","Bhat, A. C., Trexberg, K. M., Apsley, A. T., Almeida, D. M., & Shalev, I. (2026). Grandparent caregiving and epigenetic aging among midlife and older adults in the United States. Journals of Gerontology. Series B, Psychological Sciences and Social Sciences, 81(2), Article gbaf255."
midus_doi_10_1057_s41270_024_00347_6,2026,On the use of self-reports in marketing research: Insights about initial response biases from daily diary data,10.1057/s41270-024-00347-6,"Blozis, S. A., & Villarreal, R. ","Blozis, S. A., & Villarreal, R. (2026). On the use of self-reports in marketing research: Insights about initial response biases from daily diary data. Journal of Marketing Analytics, 14, 249-259."
midus_doi_10_1177_13591053261424714,2026,"Meaning in life and depression in serious head injury: Examining potential differences in coherence, purpose, and mattering",10.1177/13591053261424714,"Boring, B. L., & Gunstad, J. ","Boring, B. L., & Gunstad, J. (2026). Meaning in life and depression in serious head injury: Examining potential differences in coherence, purpose, and mattering. Journal of Health Psychology. Advance online publication."
midus_doi_10_1093_geronb_gbag071,2026,Do all components of psychological well-being predict cognitive function? Journals of Gerontology,10.1093/geronb/gbag071,"Britton, K. J., Pfund, G. N., & Willroth, E. C. ","Britton, K. J., Pfund, G. N., & Willroth, E. C. (2026). Do all components of psychological well-being predict cognitive function? Journals of Gerontology. Series B, Psychological Sciences and Social Sciences. Advance online publication."
midus_doi_10_1016_j_crbeha_2026_100206,2026,Leisure activities are associated with physical and mental health,10.1016/j.crbeha.2026.100206,"Brown, C. K., Glei, D. A., Lee, C., & Weinstein, M. ","Brown, C. K., Glei, D. A., Lee, C., & Weinstein, M. (2026). Leisure activities are associated with physical and mental health. Current Research in Behavioral Sciences, 10, Article 100206."
midus_doi_10_3390_healthcare14060725,2026,Biopsychosocial and cultural determinants of functioning and healthcare outcomes in chronic non-cancer pain: An integrative review,10.3390/healthcare14060725,"Caceres-Matos, R., Garrido-Bueno, M., Fernandez-Sarmiento, J. M., Porcel-Galvez, A. M., & Pabon-Carrasco, M. ","Caceres-Matos, R., Garrido-Bueno, M., Fernandez-Sarmiento, J. M., Porcel-Galvez, A. M., & Pabon-Carrasco, M. (2026). Biopsychosocial and cultural determinants of functioning and healthcare outcomes in chronic non-cancer pain: An integrative review. Healthcare, 14(6), Article 725."
midus_doi_10_1186_s40001_026_04362_4,2026,Association between circulating antioxidant concentrations and bone mineral density in an adult population,10.1186/s40001-026-04362-4,"Chen, K., Liu, C., Lin, C., Chen, H., Huang, X., & Zou, B. ","Chen, K., Liu, C., Lin, C., Chen, H., Huang, X., & Zou, B. (2026). Association between circulating antioxidant concentrations and bone mineral density in an adult population. European Journal of Medical Research. Advance online publication."
midus_doi_10_1177_00221465251349818,2026,"Spatial social polarization and cardiometabolic disease prevalence and incidence: What is the role of the neighborhood environment? Journal of Health and Social Behavior, 67(1), 47-64",10.1177/00221465251349818,"Cheung, E. S. L., Curtis, D. S., Grineski, S., Wei, Y. D., & Wen, M. ","Cheung, E. S. L., Curtis, D. S., Grineski, S., Wei, Y. D., & Wen, M. (2026). Spatial social polarization and cardiometabolic disease prevalence and incidence: What is the role of the neighborhood environment? Journal of Health and Social Behavior, 67(1), 47-64."
midus_doi_10_1037_hea0001590,2026,Mechanisms linking childhood harsh fathering to adult sons' health,10.1037/hea0001590,"Choi, J., & Kim, H. K. ","Choi, J., & Kim, H. K. (2026). Mechanisms linking childhood harsh fathering to adult sons' health. Health Psychology, 45(6), 702-712."
midus_doi_10_1037_hea0001538,2026,Life satisfaction moderates the impact of daily stressors on well-being and health,10.1037/hea0001538,"Chopik, W. J., Rosella, L., Helliwell, J., Shiba, K., & Kim, E. S. ","Chopik, W. J., Rosella, L., Helliwell, J., Shiba, K., & Kim, E. S. (2026). Life satisfaction moderates the impact of daily stressors on well-being and health. Health Psychology, 45(2), 178-187."
midus_doi_10_1037_pag0000912,2026,Interrelations between daily stress processes and Big Five personality trait changes over 20 years,10.1037/pag0000912,"Chopik, W. J., Rush, J., & Cerino, E. S. ","Chopik, W. J., Rush, J., & Cerino, E. S. (2026). Interrelations between daily stress processes and Big Five personality trait changes over 20 years. Psychology and Aging, 41(2), 146-160."
midus_doi_10_1007_s40615_026_03032_9,2026,Life sustaining well-being practices and physiological health among Black men,10.1007/s40615-026-03032-9,"Cintron, D. W., Golden, M. N., Boylan, J. M., Boehm, J. K., Yoneda, T., Wang, H., Hines, E. M., & Moore, J. L. ","Cintron, D. W., Golden, M. N., Boylan, J. M., Boehm, J. K., Yoneda, T., Wang, H., Hines, E. M., & Moore, J. L. (2026). Life sustaining well-being practices and physiological health among Black men. Journal of Racial and Ethnic Health Disparities. Advance online publication."
midus_doi_10_1016_j_bbih_2026_101232,2026,Discrepancies in loneliness and social isolation predict cognitive impairment through chronic disease burden,10.1016/j.bbih.2026.101232,"Cintron, D. W., Yoneda, T., Wang, H., Graham, E. K., & Ong, A. D. ","Cintron, D. W., Yoneda, T., Wang, H., Graham, E. K., & Ong, A. D. (2026). Discrepancies in loneliness and social isolation predict cognitive impairment through chronic disease burden. Brain, Behavior, & Immunity - Health, 54, Article 101232."
