dataset,metric,value,top_x,year,computed_date
NHATS,n_papers,1162,NA,NA,2026-07-06
NHATS,n_authors,2006,NA,NA,2026-07-06
NHATS,hhi,0.038759661216787325,NA,NA,2026-07-06
NHATS,top_x_share,0.06282271944922548,1,NA,2026-07-06
NHATS,top_x_share,0.1523235800344234,3,NA,2026-07-06
NHATS,top_x_share,0.1962134251290878,5,NA,2026-07-06
NHATS,top_x_share,0.2573149741824441,10,NA,2026-07-06
NHATS,hhi,0.3633217993079583,NA,2011,2026-07-06
NHATS,top_x_share,0.23529411764705882,1,2011,2026-07-06
NHATS,top_x_share,0.5882352941176471,3,2011,2026-07-06
NHATS,top_x_share,0.5882352941176471,5,2011,2026-07-06
NHATS,top_x_share,1,10,2011,2026-07-06
NHATS,hhi,0.03799614054950377,NA,2025,2026-07-06
NHATS,top_x_share,0.061224489795918366,1,2025,2026-07-06
NHATS,top_x_share,0.14640638864241348,3,2025,2026-07-06
NHATS,top_x_share,0.1898846495119787,5,2025,2026-07-06
NHATS,top_x_share,0.25199645075421473,10,2025,2026-07-06
