period,period_start,period_end,metric,value,top_x,period_type
2011,2011,2011,n_papers,17,NA,annual
2011,2011,2011,n_authors,66,NA,annual
2011,2011,2011,hhi,0.3633217993079583,NA,annual
2011,2011,2011,top_x_share,0.23529411764705882,1,annual
2011,2011,2011,top_x_share,0.5882352941176471,3,annual
2011,2011,2011,top_x_share,0.5882352941176471,5,annual
2011,2011,2011,top_x_share,1,10,annual
2012,2012,2012,n_papers,5,NA,annual
2012,2012,2012,n_authors,23,NA,annual
2012,2012,2012,hhi,1.4000000000000008,NA,annual
2012,2012,2012,top_x_share,0.8,1,annual
2012,2012,2012,top_x_share,0.8,3,annual
2012,2012,2012,top_x_share,1,5,annual
2012,2012,2012,top_x_share,1,10,annual
2025,2025,2025,n_papers,1127,NA,annual
2025,2025,2025,n_authors,1978,NA,annual
2025,2025,2025,hhi,0.03799614054950397,NA,annual
2025,2025,2025,top_x_share,0.061224489795918366,1,annual
2025,2025,2025,top_x_share,0.14640638864241348,3,annual
2025,2025,2025,top_x_share,0.1898846495119787,5,annual
2025,2025,2025,top_x_share,0.25199645075421473,10,annual
2010-2014,2010,2014,n_papers,23,NA,five_year
2010-2014,2010,2014,n_authors,84,NA,five_year
2010-2014,2010,2014,hhi,0.30056710775047263,NA,five_year
2010-2014,2010,2014,top_x_share,0.34782608695652173,1,five_year
2010-2014,2010,2014,top_x_share,0.6521739130434783,3,five_year
2010-2014,2010,2014,top_x_share,0.6521739130434783,5,five_year
2010-2014,2010,2014,top_x_share,0.6521739130434783,10,five_year
2020-2024,2020,2024,n_papers,8,NA,five_year
2020-2024,2020,2024,n_authors,25,NA,five_year
2020-2024,2020,2024,hhi,0.484375,NA,five_year
2020-2024,2020,2024,top_x_share,0.25,1,five_year
2020-2024,2020,2024,top_x_share,1,3,five_year
2020-2024,2020,2024,top_x_share,1,5,five_year
2020-2024,2020,2024,top_x_share,1,10,five_year
2025-2029,2025,2029,n_papers,1127,NA,five_year
2025-2029,2025,2029,n_authors,1978,NA,five_year
2025-2029,2025,2029,hhi,0.03799614054950397,NA,five_year
2025-2029,2025,2029,top_x_share,0.061224489795918366,1,five_year
2025-2029,2025,2029,top_x_share,0.14640638864241348,3,five_year
2025-2029,2025,2029,top_x_share,0.1898846495119787,5,five_year
2025-2029,2025,2029,top_x_share,0.25199645075421473,10,five_year
