author_raw,n_papers,last_name,initials
Burgdorf JG,13,Burgdorf,JG
Burgdorf J,6,Burgdorf,J
Choi NG,22,Choi,NG
Choi BY,5,Choi,BY
Covinsky KE,17,Covinsky,KE
Covinsky K,6,Covinsky,K
Huang J,12,Huang,J
Huang AR,10,Huang,AR
Kasper JD,44,Kasper,JD
Kasper J,5,Kasper,J
Kim DH,14,Kim,DH
Kim K,11,Kim,K
Kim J,9,Kim,J
Kim B,5,Kim,B
Li Y,16,Li,Y
Li Q,7,Li,Q
Li J,6,Li,J
Lin FR,10,Lin,FR
Lin CC,7,Lin,CC
Lin IF,6,Lin,IF
Lin T,5,Lin,T
Liu M,22,Liu,M
Liu B,9,Liu,B
Liu H,7,Liu,H
Liu Y,7,Liu,Y
Liu S,6,Liu,S
Ornstein KA,49,Ornstein,KA
Ornstein K,5,Ornstein,K
Patel KV,11,Patel,KV
Patel K,7,Patel,K
Reed NS,26,Reed,NS
Reed N,5,Reed,N
Wang X,15,Wang,X
Wang F,12,Wang,F
Wang Y,12,Wang,Y
Wang W,6,Wang,W
Wang H,5,Wang,H
Wang J,5,Wang,J
Wang S,5,Wang,S
Zhang W,10,Zhang,W
Zhang Y,10,Zhang,Y
Zhang H,8,Zhang,H
Zhang J,7,Zhang,J
Zhou Y,17,Zhou,Y
Zhou W,10,Zhou,W
