author_raw,author_id,notes,merged_by,merged_date
Agnoli A,Agnoli AL,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Agree E,Agree EM,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Aldridge M,Aldridge MD,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Allore H,Allore HG,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Anderson L,Anderson LR,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Angel J,Angel JL,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Ankuda C,Ankuda CK,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Arbaje A,Arbaje AI,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Bangerter L,Bangerter LR,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Batchelor WB,Batchelor W,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Beam C,Beam CR,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Bell JG,Bell JF,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Bessen SY,Bessen S,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Birditt K,Birditt KS,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Boyd C,Boyd CM,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Bratches RW,Bratches RWR,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Brown DS,Brown DL,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Burgdorf J,Burgdorf JG,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Carlson M,Carlson MC,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Chang YT,Chang YP,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Chen SP,Chen S,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Chen W,Chen WC,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Chen XS,Chen X,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Choi HJ,Choi H,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Choi N,Choi NG,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Choi SW,Choi SE,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Cho YI,Cho Y,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Chung G,Chung GS,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Chung S,Chung SE,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Clarke K,Clarke KA,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Clarke P,Clarke PJ,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Clouston SA,Clouston SAP,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Clouston S,Clouston SAP,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Cohen AJ,Cohen AB,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Cohen SM,Cohen SA,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
