pmid,title,abstract,pub_year,text,has_abstract
nhats_seq_1,Supportive Environmental Features at Home as Proactive/Reactive Associates of Disability and Mortality Status in Older Adults,NA,2025,Supportive Environmental Features at Home as Proactive/Reactive Associates of Disability and Mortality Status in Older Adults,FALSE
nhats_seq_2,"Older Adults With Cardiovascular Disease and Their Care Partners: An Analysis of Care Needs, Care Activities, and Care Partner Stress and Mental Health.",NA,2025,"Older Adults With Cardiovascular Disease and Their Care Partners: An Analysis of Care Needs, Care Activities, and Care Partner Stress and Mental Health.",FALSE
nhats_seq_3,Fall risk prediction in older adults: a generalized linear mixed-effect model analysis based on physical performance measures,NA,2025,Fall risk prediction in older adults: a generalized linear mixed-effect model analysis based on physical performance measures,FALSE
nhats_seq_4,"Associations Between Visual Impairment and Homebound Status, Home Hazards, and Support Service Utilization: The National Health and Aging Trends Study",NA,2025,"Associations Between Visual Impairment and Homebound Status, Home Hazards, and Support Service Utilization: The National Health and Aging Trends Study",FALSE
nhats_seq_5,Incongruent caregiver-care recipient reports by care task and relationship type,NA,2025,Incongruent caregiver-care recipient reports by care task and relationship type,FALSE
nhats_seq_6,The Association Between Homebound Status and Social Isolation in the United States: A Longitudinal Study with 9 Years of Follow-Up,NA,2025,The Association Between Homebound Status and Social Isolation in the United States: A Longitudinal Study with 9 Years of Follow-Up,FALSE
nhats_seq_7,Shared Experience of Physical Vitality and Social Participation Among Caregiving Dyads: Comparing Dyads With and Without Dementia,NA,2025,Shared Experience of Physical Vitality and Social Participation Among Caregiving Dyads: Comparing Dyads With and Without Dementia,FALSE
nhats_seq_8,Associations of Homebound State in Older Adults With Neighborhood Social Cohesion,NA,2025,Associations of Homebound State in Older Adults With Neighborhood Social Cohesion,FALSE
nhats_seq_9,"Associations of Depression/Anxiety with Technology Use, Discontinued Use, and Nonuse in Older Adults",NA,2025,"Associations of Depression/Anxiety with Technology Use, Discontinued Use, and Nonuse in Older Adults",FALSE
nhats_seq_10,"Cross-Sectional and Longitudinal Associations Among Loneliness, Depression/Anxiety, and the Subjective and Chronological Age Difference in Older Adults",NA,2025,"Cross-Sectional and Longitudinal Associations Among Loneliness, Depression/Anxiety, and the Subjective and Chronological Age Difference in Older Adults",FALSE
