author_id,n_papers,paper_share
Willett WC,851,0.24666666666666667
Hu FB,572,0.16579710144927537
Giovannucci EL,475,0.13768115942028986
Hankinson SE,465,0.13478260869565217
Colditz GA,415,0.12028985507246377
Rosner B,412,0.11942028985507247
Manson JE,411,0.1191304347826087
Stampfer MJ,319,0.09246376811594204
Rimm EB,318,0.09217391304347826
Chan AT,301,0.08724637681159421
Eliassen AH,262,0.07594202898550724
Hunter DJ,257,0.07449275362318841
Fuchs CS,242,0.07014492753623189
Sun Q,216,0.06260869565217392
Tworoger SS,200,0.057971014492753624
Curhan GC,197,0.05710144927536232
Tamimi RM,191,0.05536231884057971
Rexrode KM,179,0.051884057971014495
Song M,176,0.051014492753623186
Chavarro JE,168,0.04869565217391304
Ogino S,168,0.04869565217391304
Grodstein F,166,0.04811594202898551
Speizer FE,166,0.04811594202898551
Wu K,165,0.04782608695652174
Spiegelman D,159,0.04608695652173913
Ascherio A,153,0.04434782608695652
Rich-Edwards JW,151,0.043768115942028986
Laden F,133,0.03855072463768116
Zhang X,132,0.03826086956521739
Cho E,128,0.03710144927536232
De Vivo I,128,0.03710144927536232
Wang M,124,0.035942028985507246
Missmer SA,122,0.03536231884057971
Schernhammer ES,119,0.034492753623188405
Li Y,117,0.03391304347826087
Kraft P,110,0.03188405797101449
Han J,109,0.03159420289855072
Hart JE,108,0.03130434782608696
Kang JH,106,0.03072463768115942
Qureshi AA,106,0.03072463768115942
Meyerhardt JA,105,0.030434782608695653
Kubzansky LD,101,0.029275362318840578
Karlson EW,87,0.025217391304347827
Fung TT,80,0.02318840579710145
Michels KB,80,0.02318840579710145
Feskanich D,76,0.022028985507246378
Costenbader KH,75,0.021739130434782608
Zhang C,75,0.021739130434782608
Okereke OI,74,0.021449275362318842
Holmes MD,73,0.021159420289855072
Huang T,73,0.021159420289855072
Qi L,72,0.020869565217391306
Roberts AL,71,0.020579710144927536
Kawachi I,70,0.020289855072463767
Li WQ,68,0.01971014492753623
Tobias DK,68,0.01971014492753623
Koenen KC,67,0.019420289855072465
Cao Y,66,0.019130434782608695
Chen WY,62,0.017971014492753623
Townsend MK,61,0.017681159420289853
Li T,57,0.01652173913043478
Nishihara R,57,0.01652173913043478
Smith-Warner SA,57,0.01652173913043478
Tabung FK,57,0.01652173913043478
Camargo CA,56,0.016231884057971015
James P,56,0.016231884057971015
Terry KL,54,0.01565217391304348
Bertone-Johnson ER,53,0.01536231884057971
Bhupathiraju SN,53,0.01536231884057971
Mukamal KJ,52,0.015072463768115942
Pan A,52,0.015072463768115942
Lee JE,51,0.014782608695652174
Hu Y,49,0.014202898550724638
Schwarzschild MA,49,0.014202898550724638
Zeleznik OA,49,0.014202898550724638
Collins LC,48,0.01391304347826087
Forman JP,48,0.01391304347826087
Hennekens CH,48,0.01391304347826087
Ng K,48,0.01391304347826087
Gao X,47,0.013623188405797102
Khalili H,47,0.013623188405797102
Sampson L,47,0.013623188405797102
van Dam RM,46,0.013333333333333334
Nowak JA,45,0.013043478260869565
Qian ZR,45,0.013043478260869565
Bertrand KA,44,0.012753623188405797
Clish CB,44,0.012753623188405797
Chiuve SE,43,0.012463768115942029
