period,period_start,period_end,metric,value,top_x,cluster,domain
"Domain 2: intake, chd, dietary, consumption",NA,NA,n_papers,902,NA,2,"Domain 2: intake, chd, dietary, consumption"
"Domain 2: intake, chd, dietary, consumption",NA,NA,n_authors,1389,NA,2,"Domain 2: intake, chd, dietary, consumption"
"Domain 2: intake, chd, dietary, consumption",NA,NA,hhi,0.6164903319059625,NA,2,"Domain 2: intake, chd, dietary, consumption"
"Domain 2: intake, chd, dietary, consumption",NA,NA,top_x_share,0.442350332594235,1,2,"Domain 2: intake, chd, dietary, consumption"
"Domain 2: intake, chd, dietary, consumption",NA,NA,top_x_share,0.6740576496674058,3,2,"Domain 2: intake, chd, dietary, consumption"
"Domain 2: intake, chd, dietary, consumption",NA,NA,top_x_share,0.70509977827051,5,2,"Domain 2: intake, chd, dietary, consumption"
"Domain 2: intake, chd, dietary, consumption",NA,NA,top_x_share,0.8037694013303769,10,2,"Domain 2: intake, chd, dietary, consumption"
"Domain 3: shift, night, work, sleep",NA,NA,n_papers,46,NA,3,"Domain 3: shift, night, work, sleep"
"Domain 3: shift, night, work, sleep",NA,NA,n_authors,143,NA,3,"Domain 3: shift, night, work, sleep"
"Domain 3: shift, night, work, sleep",NA,NA,hhi,1.2315689981096476,NA,3,"Domain 3: shift, night, work, sleep"
"Domain 3: shift, night, work, sleep",NA,NA,top_x_share,0.8695652173913043,1,3,"Domain 3: shift, night, work, sleep"
"Domain 3: shift, night, work, sleep",NA,NA,top_x_share,0.8695652173913043,3,3,"Domain 3: shift, night, work, sleep"
"Domain 3: shift, night, work, sleep",NA,NA,top_x_share,0.8913043478260869,5,3,"Domain 3: shift, night, work, sleep"
"Domain 3: shift, night, work, sleep",NA,NA,top_x_share,0.8913043478260869,10,3,"Domain 3: shift, night, work, sleep"
"Domain 4: sexual, childhood, physical, likely",NA,NA,n_papers,48,NA,4,"Domain 4: sexual, childhood, physical, likely"
"Domain 4: sexual, childhood, physical, likely",NA,NA,n_authors,142,NA,4,"Domain 4: sexual, childhood, physical, likely"
"Domain 4: sexual, childhood, physical, likely",NA,NA,hhi,0.9926215277777799,NA,4,"Domain 4: sexual, childhood, physical, likely"
"Domain 4: sexual, childhood, physical, likely",NA,NA,top_x_share,0.5208333333333334,1,4,"Domain 4: sexual, childhood, physical, likely"
"Domain 4: sexual, childhood, physical, likely",NA,NA,top_x_share,0.8958333333333334,3,4,"Domain 4: sexual, childhood, physical, likely"
"Domain 4: sexual, childhood, physical, likely",NA,NA,top_x_share,0.8958333333333334,5,4,"Domain 4: sexual, childhood, physical, likely"
"Domain 4: sexual, childhood, physical, likely",NA,NA,top_x_share,0.8958333333333334,10,4,"Domain 4: sexual, childhood, physical, likely"
"Domain 5: breast, cancer, premenopausal, density",NA,NA,n_papers,429,NA,5,"Domain 5: breast, cancer, premenopausal, density"
"Domain 5: breast, cancer, premenopausal, density",NA,NA,n_authors,693,NA,5,"Domain 5: breast, cancer, premenopausal, density"
"Domain 5: breast, cancer, premenopausal, density",NA,NA,hhi,1.01022598225395,NA,5,"Domain 5: breast, cancer, premenopausal, density"
"Domain 5: breast, cancer, premenopausal, density",NA,NA,top_x_share,0.44755244755244755,1,5,"Domain 5: breast, cancer, premenopausal, density"
"Domain 5: breast, cancer, premenopausal, density",NA,NA,top_x_share,0.7552447552447552,3,5,"Domain 5: breast, cancer, premenopausal, density"
"Domain 5: breast, cancer, premenopausal, density",NA,NA,top_x_share,0.9044289044289044,5,5,"Domain 5: breast, cancer, premenopausal, density"
"Domain 5: breast, cancer, premenopausal, density",NA,NA,top_x_share,0.9370629370629371,10,5,"Domain 5: breast, cancer, premenopausal, density"
