period,period_start,period_end,metric,value,top_x,period_type
1990,1990,1990,n_papers,5,NA,annual
1990,1990,1990,n_authors,13,NA,annual
1990,1990,1990,hhi,3.8400000000000007,NA,annual
1990,1990,1990,top_x_share,1,1,annual
1990,1990,1990,top_x_share,1,3,annual
1990,1990,1990,top_x_share,1,5,annual
1990,1990,1990,top_x_share,1,10,annual
1993,1993,1993,n_papers,12,NA,annual
1993,1993,1993,n_authors,26,NA,annual
1993,1993,1993,hhi,2.29166666666667,NA,annual
1993,1993,1993,top_x_share,0.75,1,annual
1993,1993,1993,top_x_share,0.8333333333333334,3,annual
1993,1993,1993,top_x_share,0.8333333333333334,5,annual
1993,1993,1993,top_x_share,1,10,annual
1994,1994,1994,n_papers,10,NA,annual
1994,1994,1994,n_authors,25,NA,annual
1994,1994,1994,hhi,1.7200000000000002,NA,annual
1994,1994,1994,top_x_share,0.7,1,annual
1994,1994,1994,top_x_share,0.9,3,annual
1994,1994,1994,top_x_share,0.9,5,annual
1994,1994,1994,top_x_share,1,10,annual
1995,1995,1995,n_papers,20,NA,annual
1995,1995,1995,n_authors,35,NA,annual
1995,1995,1995,hhi,2.1699999999999977,NA,annual
1995,1995,1995,top_x_share,0.85,1,annual
1995,1995,1995,top_x_share,0.9,3,annual
1995,1995,1995,top_x_share,0.9,5,annual
1995,1995,1995,top_x_share,0.9,10,annual
1996,1996,1996,n_papers,15,NA,annual
1996,1996,1996,n_authors,32,NA,annual
1996,1996,1996,hhi,1.2711111111111117,NA,annual
1996,1996,1996,top_x_share,0.6666666666666666,1,annual
1996,1996,1996,top_x_share,0.8,3,annual
1996,1996,1996,top_x_share,0.8,5,annual
1996,1996,1996,top_x_share,1,10,annual
1997,1997,1997,n_papers,21,NA,annual
1997,1997,1997,n_authors,50,NA,annual
1997,1997,1997,hhi,2.922902494331064,NA,annual
1997,1997,1997,top_x_share,0.8571428571428571,1,annual
1997,1997,1997,top_x_share,0.9523809523809523,3,annual
1997,1997,1997,top_x_share,0.9523809523809523,5,annual
1997,1997,1997,top_x_share,1,10,annual
1998,1998,1998,n_papers,26,NA,annual
1998,1998,1998,n_authors,55,NA,annual
1998,1998,1998,hhi,2.1198224852071004,NA,annual
1998,1998,1998,top_x_share,0.7692307692307693,1,annual
1998,1998,1998,top_x_share,0.9230769230769231,3,annual
1998,1998,1998,top_x_share,0.9230769230769231,5,annual
1998,1998,1998,top_x_share,0.9230769230769231,10,annual
1999,1999,1999,n_papers,45,NA,annual
1999,1999,1999,n_authors,92,NA,annual
1999,1999,1999,hhi,1.9061728395061677,NA,annual
1999,1999,1999,top_x_share,0.6888888888888889,1,annual
1999,1999,1999,top_x_share,0.8666666666666667,3,annual
1999,1999,1999,top_x_share,0.8888888888888888,5,annual
1999,1999,1999,top_x_share,0.9111111111111111,10,annual
2000,2000,2000,n_papers,35,NA,annual
2000,2000,2000,n_authors,78,NA,annual
2000,2000,2000,hhi,1.4302040816326547,NA,annual
2000,2000,2000,top_x_share,0.6571428571428571,1,annual
2000,2000,2000,top_x_share,0.8285714285714286,3,annual
2000,2000,2000,top_x_share,0.8571428571428571,5,annual
2000,2000,2000,top_x_share,0.9142857142857143,10,annual
2001,2001,2001,n_papers,49,NA,annual
2001,2001,2001,n_authors,102,NA,annual
2001,2001,2001,hhi,1.079966680549772,NA,annual
2001,2001,2001,top_x_share,0.5102040816326531,1,annual
2001,2001,2001,top_x_share,0.6938775510204082,3,annual
2001,2001,2001,top_x_share,0.7755102040816326,5,annual
2001,2001,2001,top_x_share,0.8571428571428571,10,annual
2002,2002,2002,n_papers,48,NA,annual
2002,2002,2002,n_authors,114,NA,annual
2002,2002,2002,hhi,1.3203124999999938,NA,annual
2002,2002,2002,top_x_share,0.8333333333333334,1,annual
2002,2002,2002,top_x_share,0.8541666666666666,3,annual
2002,2002,2002,top_x_share,0.8541666666666666,5,annual
2002,2002,2002,top_x_share,0.9166666666666666,10,annual
2003,2003,2003,n_papers,54,NA,annual
2003,2003,2003,n_authors,118,NA,annual
2003,2003,2003,hhi,0.8419067215363499,NA,annual
2003,2003,2003,top_x_share,0.4444444444444444,1,annual
2003,2003,2003,top_x_share,0.7222222222222222,3,annual
2003,2003,2003,top_x_share,0.8148148148148148,5,annual
2003,2003,2003,top_x_share,0.9074074074074074,10,annual
2004,2004,2004,n_papers,92,NA,annual
2004,2004,2004,n_authors,183,NA,annual
2004,2004,2004,hhi,0.8223062381852488,NA,annual
2004,2004,2004,top_x_share,0.42391304347826086,1,annual
2004,2004,2004,top_x_share,0.7608695652173914,3,annual
2004,2004,2004,top_x_share,0.8586956521739131,5,annual
2004,2004,2004,top_x_share,0.9130434782608695,10,annual
2005,2005,2005,n_papers,89,NA,annual
2005,2005,2005,n_authors,171,NA,annual
2005,2005,2005,hhi,0.6542103269789123,NA,annual
2005,2005,2005,top_x_share,0.3707865168539326,1,annual
2005,2005,2005,top_x_share,0.5730337078651685,3,annual
2005,2005,2005,top_x_share,0.7415730337078652,5,annual
2005,2005,2005,top_x_share,0.8651685393258427,10,annual
2006,2006,2006,n_papers,105,NA,annual
2006,2006,2006,n_authors,222,NA,annual
2006,2006,2006,hhi,0.5029478458049887,NA,annual
2006,2006,2006,top_x_share,0.34285714285714286,1,annual
2006,2006,2006,top_x_share,0.6571428571428571,3,annual
2006,2006,2006,top_x_share,0.780952380952381,5,annual
2006,2006,2006,top_x_share,0.8476190476190476,10,annual
2007,2007,2007,n_papers,89,NA,annual
2007,2007,2007,n_authors,216,NA,annual
2007,2007,2007,hhi,0.4259563186466391,NA,annual
2007,2007,2007,top_x_share,0.3146067415730337,1,annual
2007,2007,2007,top_x_share,0.5617977528089888,3,annual
2007,2007,2007,top_x_share,0.6404494382022472,5,annual
2007,2007,2007,top_x_share,0.8539325842696629,10,annual
2008,2008,2008,n_papers,95,NA,annual
2008,2008,2008,n_authors,269,NA,annual
2008,2008,2008,hhi,0.2617174515235472,NA,annual
2008,2008,2008,top_x_share,0.18947368421052632,1,annual
2008,2008,2008,top_x_share,0.42105263157894735,3,annual
2008,2008,2008,top_x_share,0.5789473684210527,5,annual
2008,2008,2008,top_x_share,0.7368421052631579,10,annual
2009,2009,2009,n_papers,123,NA,annual
2009,2009,2009,n_authors,318,NA,annual
2009,2009,2009,hhi,0.28931191750942437,NA,annual
