author_raw,n_papers,last_name,initials
Austin SB,39,Austin,SB
Austin A,5,Austin,A
Austin AM,5,Austin,AM
Baba Y,10,Baba,Y
Baba H,6,Baba,H
Bao Y,24,Bao,Y
Bao W,19,Bao,W
Brown M,7,Brown,M
Brown SB,5,Brown,SB
Buring JE,17,Buring,JE
Buring J,13,Buring,J
Chanock SJ,11,Chanock,SJ
Chanock S,6,Chanock,S
Chavarro JE,153,Chavarro,JE
Chavarro J,15,Chavarro,J
Chen WY,62,Chen,WY
Chen H,22,Chen,H
Chen Y,15,Chen,Y
Chen J,12,Chen,J
Chen Q,12,Chen,Q
Chen Z,9,Chen,Z
Chen C,8,Chen,C
Chen L,6,Chen,L
Choi HK,25,Choi,HK
Choi H,5,Choi,H
Choi KW,5,Choi,KW
Clish CB,31,Clish,CB
Clish C,13,Clish,C
Colditz GA,394,Colditz,GA
Colditz G,21,Colditz,G
Curhan GC,170,Curhan,GC
Curhan SG,29,Curhan,SG
Curhan G,27,Curhan,G
Curhan S,5,Curhan,S
Devore EE,27,Devore,EE
Devore E,7,Devore,E
Eavey RD,9,Eavey,RD
Eavey R,7,Eavey,R
Eliassen AH,262,Eliassen,AH
Eliassen H,8,Eliassen,H
Flint AJ,10,Flint,AJ
Flint A,5,Flint,A
Forman JP,46,Forman,JP
Forman MR,16,Forman,MR
Fuchs CS,226,Fuchs,CS
Fuchs C,16,Fuchs,C
Giovannucci EL,294,Giovannucci,EL
Giovannucci E,181,Giovannucci,E
Gu M,13,Gu,M
Gu X,9,Gu,X
Gu F,6,Gu,F
Hankinson SE,459,Hankinson,SE
Hankinson S,6,Hankinson,S
He X,11,He,X
He M,7,He,M
He Y,7,He,Y
He C,5,He,C
Hennekens CH,43,Hennekens,CH
Hennekens C,5,Hennekens,C
Hu FB,560,Hu,FB
Hu Y,48,Hu,Y
Hu F,12,Hu,F
Hu J,11,Hu,J
Hu R,10,Hu,R
Hu CR,9,Hu,CR
Hu Z,7,Hu,Z
Huang T,73,Huang,T
Huang J,6,Huang,J
Huang AK,5,Huang,AK
Huang ES,5,Huang,ES
Huang H,5,Huang,H
Hunter DJ,240,Hunter,DJ
Hunter D,17,Hunter,D
Jiang R,6,Jiang,R
Jiang X,5,Jiang,X
Johnson SR,8,Johnson,SR
Johnson CY,6,Johnson,CY
Joshi AD,21,Joshi,AD
Joshi A,7,Joshi,A
Jung H,21,Jung,H
Jung S,10,Jung,S
Kim O,28,Kim,O
Kim SA,18,Kim,SA
Kim J,14,Kim,J
Kim S,13,Kim,S
Kim B,12,Kim,B
Kim H,9,Kim,H
Kim Y,9,Kim,Y
Kim IY,8,Kim,IY
Kim ES,6,Kim,ES
Kim MS,5,Kim,MS
Koenen KC,58,Koenen,KC
Koenen K,9,Koenen,K
Lee DH,39,Lee,DH
Lee JE,32,Lee,JE
Lee IM,30,Lee,IM
Lee JS,14,Lee,JS
Lee H,7,Lee,H
Lee S,7,Lee,S
Lee HY,5,Lee,HY
Li Y,122,Li,Y
Li WQ,47,Li,WQ
Li T,39,Li,T
Li X,30,Li,X
Li J,27,Li,J
Li S,25,Li,S
Li W,23,Li,W
Li TY,18,Li,TY
Li C,8,Li,C
Li M,8,Li,M
Li H,6,Li,H
Li B,5,Li,B
Li L,5,Li,L
Liang L,42,Liang,L
Liang MH,14,Liang,MH
Liang G,9,Liang,G
Lin BM,13,Lin,BM
Lin J,10,Lin,J
Lin JH,5,Lin,JH
Liu Y,34,Liu,Y
Liu S,26,Liu,S
Liu L,25,Liu,L
Liu G,24,Liu,G
Liu X,18,Liu,X
Liu B,15,Liu,B
Liu J,12,Liu,J
Liu H,10,Liu,H
Liu PH,10,Liu,PH
Liu A,7,Liu,A
Liu JJ,5,Liu,JJ
Liu Z,5,Liu,Z
Luo X,6,Luo,X
Luo S,5,Luo,S
Ma J,43,Ma,J
Ma W,39,Ma,W
Ma Y,20,Ma,Y
Ma L,5,Ma,L
Malik VS,22,Malik,VS
Malik V,6,Malik,V
Mantzoros CS,19,Mantzoros,CS
Mantzoros C,5,Mantzoros,C
Mehta RS,16,Mehta,RS
Mehta UV,6,Mehta,UV
Mu F,6,Mu,F
Mu Y,5,Mu,Y
Nishimi K,9,Nishimi,K
Nishimi KM,6,Nishimi,KM
O'Reilly EJ,19,O'Reilly,EJ
O'Reilly ÉJ,18,O'Reilly,ÉJ
Okereke OI,69,Okereke,OI
Okereke O,5,Okereke,O
Park HY,8,Park,HY
Park MK,7,Park,MK
Park Y,7,Park,Y
Pollak MN,28,Pollak,MN
Pollak M,9,Pollak,M
Purdue-Smithe AC,20,Purdue-Smithe,AC
Purdue-Smithe A,5,Purdue-Smithe,A
Qi L,72,Qi,L
Qi Q,20,Qi,Q
Qian ZR,44,Qian,ZR
Qian J,8,Qian,J
Qian F,7,Qian,F
Qureshi AA,98,Qureshi,AA
Qureshi A,8,Qureshi,A
Rexrode KM,160,Rexrode,KM
Rexrode K,19,Rexrode,K
Rich-Edwards JW,121,Rich-Edwards,JW
Rich-Edwards J,30,Rich-Edwards,J
Rimm EB,294,Rimm,EB
Rimm E,24,Rimm,E
Rosner B,222,Rosner,B
Rosner BA,190,Rosner,BA
Sampson L,40,Sampson,L
Sampson LA,6,Sampson,LA
Schernhammer ES,92,Schernhammer,ES
Schernhammer E,27,Schernhammer,E
Schwarzschild MA,42,Schwarzschild,MA
Schwarzschild M,7,Schwarzschild,M
Simon TG,17,Simon,TG
Simon KC,8,Simon,KC
Solomon CG,17,Solomon,CG
Solomon DH,8,Solomon,DH
Song M,176,Song,M
Song F,6,Song,F
Song Y,6,Song,Y
Song S,5,Song,S
Stampfer MJ,301,Stampfer,MJ
Stampfer M,18,Stampfer,M
Sun Q,216,Sun,Q
Sun D,8,Sun,D
Tamimi RM,186,Tamimi,RM
Tamimi R,5,Tamimi,R
Taylor EN,37,Taylor,EN
Taylor A,16,Taylor,A
Wang M,124,Wang,M
Wang S,39,Wang,S
Wang K,28,Wang,K
Wang T,23,Wang,T
Wang YX,21,Wang,YX
Wang DD,20,Wang,DD
Wang L,19,Wang,L
Wang Y,18,Wang,Y
Wang F,16,Wang,F
Wang X,16,Wang,X
Wang J,14,Wang,J
Wang W,12,Wang,W
Wang P,8,Wang,P
Wang H,6,Wang,H
Wang QL,5,Wang,QL
Wei EK,14,Wei,EK
Wei Q,9,Wei,Q
Wei MY,6,Wei,MY
Willett WC,815,Willett,WC
Willett W,34,Willett,W
Wilt GE,6,Wilt,GE
Wilt G,5,Wilt,G
Wu K,165,Wu,K
Wu S,30,Wu,S
Wu T,13,Wu,T
Wu Y,9,Wu,Y
Wu J,7,Wu,J
Wu C,5,Wu,C
Yang J,18,Yang,J
Yang W,18,Yang,W
Yang K,9,Yang,K
Yang M,6,Yang,M
Yang S,6,Yang,S
Yuan C,36,Yuan,C
Yuan J,8,Yuan,J
Zeleznik OA,41,Zeleznik,OA
Zeleznik O,8,Zeleznik,O
Zhang X,135,Zhang,X
Zhang C,75,Zhang,C
Zhang Y,33,Zhang,Y
Zhang SM,28,Zhang,SM
Zhang S,11,Zhang,S
Zhang L,8,Zhang,L
Zhang FF,7,Zhang,FF
Zhang M,7,Zhang,M
Zhang W,7,Zhang,W
Zhu Y,13,Zhu,Y
Zhu L,5,Zhu,L
Zong G,21,Zong,G
Zong X,5,Zong,X
