author_raw,author_id,notes,merged_by,merged_date
Agnew-Blais JC,Agnew-Blais J,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Alexander E,Alexander EK,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Altshuler D,Altshuler DM,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Ananthakrishnan A,Ananthakrishnan AN,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Austin A,Austin AM,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Aweh G,Aweh GN,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Baer H,Baer HJ,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Bae SH,Bae SC,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Bass A,Bass AJ,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Beasley J,Beasley JM,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Beccia A,Beccia AL,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Belanger C,Belanger CF,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Benz C,Benz CC,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Berendsen AM,Berendsen AAM,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Berendsen AA,Berendsen AAM,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Berg C,Berg CD,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Berkman L,Berkman LF,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Bertone-Johnson E,Bertone-Johnson ER,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Bertrand K,Bertrand KA,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Beulens JW,Beulens JWJ,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Bever A,Bever AM,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Bhupathiraju S,Bhupathiraju SN,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Birmann B,Birmann BM,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Blacker DL,Blacker D,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Boiano J,Boiano JM,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Bret-Mounet V,Bret-Mounet VC,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Breteler M,Breteler MM,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Brufsky A,Brufsky AM,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Bui L,Bui LP,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Buring J,Buring JE,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Burke K,Burke KE,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Bushnell C,Bushnell CD,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Bynum JP,Bynum JPW,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Bynum J,Bynum JPW,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Cahill L,Cahill LE,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Calzo J,Calzo JP,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Cannuscio C,Cannuscio CC,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Caporaso N,Caporaso NE,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Carey V,Carey VJ,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Carmichael DQ,Carmichael D,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
Cespedes E,Cespedes EM,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-07-06
