pmid,title,pub_year,cluster,domain,has_abstract
42395933,"Estimated preventable fraction of chronic disease attributed to long-term physical activity and diet quality, independent of body weight: a prospective cohort study of three US cohorts.",2026,6,"Domain 6: use, diabetes, weight, bmi",TRUE
42380652,"History of infertility, risk of type 2 diabetes and HbA1c levels in the Nurses' Health Study II.",2026,6,"Domain 6: use, diabetes, weight, bmi",TRUE
42380484,Planetary Health Diet Index and breast cancer risk.,2026,5,"Domain 5: breast, cancer, premenopausal, density",TRUE
42363613,Maternal Cesarean Section and Offspring ASD or ADHD Risk: A Nurses' Health Study II Analysis.,2026,6,"Domain 6: use, diabetes, weight, bmi",TRUE
42344277,Metabolomic signatures of dietary carbohydrates and differential association with type 2 diabetes.,2026,2,"Domain 2: intake, chd, dietary, consumption",TRUE
42340350,A multi-state survival model to identify risk factors for lethal ovarian cancer.,2026,6,"Domain 6: use, diabetes, weight, bmi",TRUE
42333656,Obesity Polygenic Risk and Healthy Lifestyle Interactions on Weight Trajectories in Women and Men.,2026,6,"Domain 6: use, diabetes, weight, bmi",TRUE
42332773,"Circulating imidazole propionate and coronary heart disease risk: interplay between histidine intake, fiber, and gut microbiome.",2026,2,"Domain 2: intake, chd, dietary, consumption",TRUE
42329652,Long-Term Resistance Training and Risk of Type 2 Diabetes.,2026,6,"Domain 6: use, diabetes, weight, bmi",TRUE
42323165,"Cardiovascular disease risk under low-fat, Mediterranean, and American Heart Association diets: a target trial emulation in United States adults.",2026,2,"Domain 2: intake, chd, dietary, consumption",TRUE
42307492,"Resistance Training, Aerobic Activity, Television Viewing, and Risk of Major Cardiovascular Events in U.S. Women.",2026,2,"Domain 2: intake, chd, dietary, consumption",TRUE
42284004,"Religious Coping, Stress, and Mental and Physical Health: A Pooled Analysis Across Diverse US Cohorts in Studies on Stress, Spirituality, and Health (SSSH).",2026,6,"Domain 6: use, diabetes, weight, bmi",TRUE
42277287,Associations of alcohol use with expression of stromal markers in benign breast biopsy samples.,2026,5,"Domain 5: breast, cancer, premenopausal, density",TRUE
42267700,Comorbidities and lifestyle changes as predictors of the multiple sclerosis prodrome: A prospective cohort study.,2026,6,"Domain 6: use, diabetes, weight, bmi",TRUE
42266734,Reliability of stromal markers multiplex immunofluorescent staining: pathologist assessment compared to quantitative image analysis.,2026,5,"Domain 5: breast, cancer, premenopausal, density",TRUE
42237654,Healthy Dietary Patterns and Risk of Parkinson's Disease.,2026,2,"Domain 2: intake, chd, dietary, consumption",TRUE
42230125,Long-term resistance training with all-cause and cause-specific mortality: assessing dose-response and joint associations with aerobic physical activity.,2026,6,"Domain 6: use, diabetes, weight, bmi",TRUE
42224199,Improvements in Cogstate Test Performance Depend on Number and Frequency of Prior Tests: Evidence from a Randomized Follow-Up Design.,2026,7,"Domain 7: cognitive, decline, function, global",TRUE
42204640,"Associations of oral contraceptives with expression of CD44, CD24, and ALDH1A1 stem cell markers in women with benign breast biopsies.",2026,5,"Domain 5: breast, cancer, premenopausal, density",TRUE
42204574,Shotgun Metagenomic Profiling of the Gut Virome in Prodromal and Confirmed Parkinson's Disease.,2026,6,"Domain 6: use, diabetes, weight, bmi",TRUE
42185922,"Epigenetic ageing during the COVID-19 pandemic: global age acceleration, independent of SARS-CoV-2 infection.",2026,6,"Domain 6: use, diabetes, weight, bmi",TRUE
42182979,Combined occurrence of cardiovascular and bone events in individuals with kidney stone disease.,2026,6,"Domain 6: use, diabetes, weight, bmi",TRUE
42160657,Long-Term Exposure to Multiple Environmental Factors and Late-Life Cognitive Decline.,2026,7,"Domain 7: cognitive, decline, function, global",TRUE
42160056,Optimal Dietary Patterns for Lower Weight Gain and Risk of Obesity Surrounding Menopause.,2026,2,"Domain 2: intake, chd, dietary, consumption",TRUE
42146637,Machine learning cross-platform proteomic imputation enables protein quality scoring and replication of epidemiological associations.,2026,6,"Domain 6: use, diabetes, weight, bmi",TRUE
42142702,Circadian rhythms as orchestrators of breast cancer metastasis: From molecular mechanisms to chronotherapeutic interventions.,2026,5,"Domain 5: breast, cancer, premenopausal, density",TRUE
42132476,Association between depression and risk of colorectal cancer and polyps: A prospective cohort study from Nurses' Health Study II.,2026,8,"Domain 8: colorectal, crc, cancer, colon",TRUE
42129592,Poor Diet and Oral Cavity Cancer Risk in Smoking and Non-Smoking Men and Women: An Analysis of Three US Cohorts.,2026,2,"Domain 2: intake, chd, dietary, consumption",TRUE
42123921,Exploratory Genome-Wide Association Study of Grapefruit Intake and Its Potential Link to Obesity Risk in US Cohorts.,2026,6,"Domain 6: use, diabetes, weight, bmi",TRUE
42108338,The relation between household dogs and cats during childhood/adolescence with social role outcomes and loneliness among youth with attention-deficit/hyperactivity disorder.,2026,6,"Domain 6: use, diabetes, weight, bmi",TRUE
42081783,Metabolomic Profiles of Inflammation Associated With Incident Ischemic Stroke Risk in Women.,2026,6,"Domain 6: use, diabetes, weight, bmi",TRUE
42074990,Phosphorus Intake and Cancer Risk: A Theoretical-Conceptual Model and Hypothesis for Population-Study Replication.,2026,6,"Domain 6: use, diabetes, weight, bmi",TRUE
42069223,Optimal measures of carbohydrate quality to lower the risk of type 2 diabetes: findings from 3 prospective cohort studies.,2026,2,"Domain 2: intake, chd, dietary, consumption",TRUE
42055208,Cigarette smoking and long-term incidence of colorectal cancer subclassified by tumor-infiltrating myeloid cells: A prospective cohort study.,2026,8,"Domain 8: colorectal, crc, cancer, colon",TRUE
42034820,Associations between women's childhood maltreatment and thyroid function before and during pregnancy.,2026,6,"Domain 6: use, diabetes, weight, bmi",TRUE
42000105,The association between PM2.5 components and cognitive decline: the impact of measurement error correction.,2026,7,"Domain 7: cognitive, decline, function, global",TRUE
41979543,Prospective study of reproductive span and menopausal hormone therapy and cognitive decline over 8 years in the Nurses' Health Study.,2026,7,"Domain 7: cognitive, decline, function, global",TRUE
41973837,"Letter by Zhuang et al Regarding Article, ""Experiences of Stalking and Obtaining a Restraining Order Are Associated With Onset of Cardiovascular Events in Women: A Prospective Analysis in the Nurses' Health Study II"".",2026,6,"Domain 6: use, diabetes, weight, bmi",FALSE
41973834,"Response by Murchland et al to Letter Regarding Article, ""Experiences of Stalking and Obtaining a Restraining Order Are Associated With Onset of Cardiovascular Events in Women: A Prospective Analysis in the Nurses' Health Study II"".",2026,6,"Domain 6: use, diabetes, weight, bmi",FALSE
41968421,Plasma Inflammatory Biomarkers and Risk of Incident Tinnitus: A Longitudinal Study.,2026,6,"Domain 6: use, diabetes, weight, bmi",TRUE
41950162,Cumulative excess weight exposure over time and cardiovascular risk: A prospective cohort study.,2026,6,"Domain 6: use, diabetes, weight, bmi",TRUE
41948875,"History of Infertility and Plasma Markers of Inflammation, Cholesterol, and Adipokines Among Participants in the Nurses' Health Study II.",2026,6,"Domain 6: use, diabetes, weight, bmi",TRUE
41942608,Performance of an image-only deep learning breast cancer risk model with the addition of a polygenic risk score.,2026,5,"Domain 5: breast, cancer, premenopausal, density",TRUE
41929318,Pre-diagnostic plasma endogenous steroids and the risk of exfoliation glaucoma.,2026,6,"Domain 6: use, diabetes, weight, bmi",TRUE
41891036,Genome-wide association meta-analyses over one million individuals identify 54 loci associated with urinary incontinence and its subtypes.,2026,6,"Domain 6: use, diabetes, weight, bmi",TRUE
41887031,Disrupting the path to cardiovascular disease: Stress-related coping and onset of hypertension and obesity.,2026,6,"Domain 6: use, diabetes, weight, bmi",TRUE
41880148,Long-term adherence and changes in the Mediterranean and MIND diets in relation to dementia risk and cognitive function.,2026,7,"Domain 7: cognitive, decline, function, global",TRUE
41859799,Lifetime Adverse Pregnancy Outcome History and Cardiovascular Risk.,2026,6,"Domain 6: use, diabetes, weight, bmi",TRUE
41849084,"Diet, physical activity, all-cause and cause-specific mortality: repeated measures considerations.",2026,6,"Domain 6: use, diabetes, weight, bmi",TRUE
41842897,Adherence to Healthy Lifestyle and Risk of Cardiometabolic Diseases in Individuals With Hypertension.,2026,6,"Domain 6: use, diabetes, weight, bmi",TRUE
41830438,"Caregiving responsibilities, living alone, and mental health among older women during a time of collective stress.",2026,6,"Domain 6: use, diabetes, weight, bmi",TRUE
41806293,Perinatal exposure to gaseous pollutants and autism spectrum disorder in children: A nested case-control study in the nurses' health study ii cohort.,2026,6,"Domain 6: use, diabetes, weight, bmi",TRUE
41794180,Artificially sweetened beverages and weight change: findings from 3 prospective cohort studies of United States adults.,2026,6,"Domain 6: use, diabetes, weight, bmi",TRUE
41765910,Post-traumatic stress disorder and adverse pregnancy outcomes: sexual orientation disparities in a prospective cohort study.,2026,4,"Domain 4: sexual, childhood, physical, likely",TRUE
41762524,Plasma metabolomic profiles and risk of hip fracture among US individuals: a nested case-control and prospective cohort study.,2026,6,"Domain 6: use, diabetes, weight, bmi",TRUE
41760923,"Association between greenspace exposure before, during, and after pregnancy and autism spectrum disorder in offspring.",2026,6,"Domain 6: use, diabetes, weight, bmi",TRUE
41758480,A plasma metabolomic fingerprint of moderate or severe hearing loss.,2026,6,"Domain 6: use, diabetes, weight, bmi",TRUE
41747655,"Long-term temperature exposure and depression incidence in the Nurses' Health Study II, a U.S.-based prospective cohort.",2026,6,"Domain 6: use, diabetes, weight, bmi",TRUE
41746628,Experiences of Everyday Discrimination by Sexual Orientation in a Large National Cohort of Female Nurses.,2026,4,"Domain 4: sexual, childhood, physical, likely",TRUE
41729538,Dietary Patterns and Indicators of Cognitive Function.,2026,7,"Domain 7: cognitive, decline, function, global",TRUE
41702379,Type 2 diabetes and risk of non-Hodgkin lymphoma and multiple myeloma: a pooled analysis.,2026,6,"Domain 6: use, diabetes, weight, bmi",TRUE
41701497,Leisure-Time Physical Activity and Cancer Mortality Among Cancer Survivors.,2026,6,"Domain 6: use, diabetes, weight, bmi",TRUE
