pmid,source
42395933,esearch
42380652,esearch
42380484,esearch
42363613,esearch
42344277,esearch
42340350,esearch
42333656,esearch
42332773,esearch
42329652,esearch
42323165,esearch
42307492,esearch
42284004,esearch
42277287,esearch
42267700,esearch
42266734,esearch
42237654,esearch
42230125,esearch
42224199,esearch
42204640,esearch
42204574,esearch
42185922,esearch
42182979,esearch
42160657,esearch
42160056,esearch
42146637,esearch
42142702,esearch
42132476,esearch
42129592,esearch
42123921,esearch
42108338,esearch
42081783,esearch
42074990,esearch
42069223,esearch
42055208,esearch
42034820,esearch
42000105,esearch
41979543,esearch
41973837,esearch
41973834,esearch
41968421,esearch
41950162,esearch
41948875,esearch
41942608,esearch
41929318,esearch
41891036,esearch
41887031,esearch
41880148,esearch
41859799,esearch
41849084,esearch
41842897,esearch
41830438,esearch
41806293,esearch
41794180,esearch
41765910,esearch
41762524,esearch
41760923,esearch
41758480,esearch
41747655,esearch
41746628,esearch
41729538,esearch
41702379,esearch
41701497,esearch
41678106,esearch
41670561,esearch
41666406,esearch
41665229,esearch
41661604,esearch
41646668,esearch
41637030,esearch
41610821,esearch
41605642,esearch
41589856,esearch
41574252,esearch
41572608,esearch
41567830,esearch
41506919,esearch
41469193,esearch
41446216,esearch
41443985,esearch
41436470,esearch
41429046,esearch
41416871,esearch
41404663,esearch
41332860,esearch
41308428,esearch
41237323,esearch
41231486,esearch
41220415,esearch
41215703,esearch
41201804,esearch
41165700,esearch
41135353,esearch
41123789,esearch
41100879,esearch
41100878,esearch
41079274,esearch
41069511,esearch
41050357,esearch
41034228,esearch
41031713,esearch
41026687,esearch
41015192,esearch
40968174,esearch
40966677,esearch
40920854,esearch
40910050,esearch
40908295,esearch
40902069,esearch
40901279,esearch
40894153,esearch
40824862,esearch
40819852,esearch
40799161,esearch
40785542,esearch
40769531,esearch
40762324,esearch
40753283,esearch
40736699,esearch
40720872,esearch
40694868,esearch
40694790,esearch
40680791,esearch
40680786,esearch
40671038,esearch
40650797,esearch
40647231,esearch
40633542,esearch
40621718,esearch
40619433,esearch
40615053,esearch
40614084,esearch
40609469,esearch
40602608,esearch
40602475,esearch
40597404,esearch
40592564,esearch
40578660,esearch
40539548,esearch
40520480,esearch
40519220,esearch
40471938,esearch
40470479,esearch
40459173,esearch
40454656,esearch
40445187,esearch
40443025,esearch
40434915,esearch
40377936,esearch
40341551,esearch
40336460,esearch
40334142,esearch
40327342,esearch
40318131,esearch
40316730,esearch
40314697,esearch
40244583,esearch
40237568,esearch
40224887,esearch
40215752,esearch
40211014,esearch
40210297,esearch
40209395,esearch
40205408,esearch
40197284,esearch
40184018,esearch
40180122,esearch
40163801,esearch
40163383,esearch
40161462,esearch
40159249,esearch
40128438,esearch
40128348,esearch
40127732,esearch
40104907,esearch
40083290,esearch
40079983,esearch
40073790,esearch
40048719,esearch
40042841,esearch
40037780,esearch
40036183,esearch
40034795,esearch
40025964,esearch
39978469,esearch
39976288,esearch
39970680,esearch
39965054,esearch
39961579,esearch
39924258,esearch
39921578,esearch
39912382,esearch
39900248,esearch
39866115,esearch
39863036,esearch
39828230,esearch
39823032,esearch
39813632,esearch
39808307,esearch
39798669,esearch
39774686,esearch
39764121,esearch
39739327,esearch
39717279,esearch
39705030,esearch
39703897,esearch
39673390,esearch
39671860,esearch
39659919,esearch
39658814,esearch
39631999,esearch
39631943,esearch
39627728,esearch
39602147,esearch
39579097,esearch
39567014,esearch
39565912,esearch
39551355,esearch
39544356,esearch
39517154,esearch
39505681,esearch
39503925,esearch
39468739,esearch
39450870,esearch
39420200,esearch
39418201,esearch
39399736,esearch
39399025,esearch
39392682,esearch
39364876,esearch
39361956,esearch
39349293,esearch
39313193,esearch
39286398,esearch
39277115,esearch
39270649,esearch
39265401,esearch
39243782,esearch
39243382,esearch
39240352,esearch
39230875,esearch
39226412,esearch
39209332,esearch
39201996,esearch
39191351,esearch
39190182,esearch
39148851,esearch
39138535,esearch
39128550,esearch
39117122,esearch
39110458,esearch
39088221,esearch
39088217,esearch
39083359,esearch
39076001,esearch
39066935,esearch
39040659,esearch
39016600,esearch
39012708,esearch
38992128,esearch
38983881,esearch
38973733,esearch
38971469,esearch
38960579,esearch
38959002,esearch
38949425,esearch
38937143,esearch
38896053,esearch
38878776,esearch
38865681,esearch
38865256,esearch
38861327,esearch
38861256,esearch
38849477,esearch
38845194,esearch
38834559,esearch
38830011,esearch
38802063,esearch
38801880,esearch
38796657,esearch
38777663,esearch
38771576,esearch
38750726,esearch
38733613,esearch
38726910,esearch
38719536,esearch
38713693,esearch
38710189,esearch
38709531,esearch
38708875,esearch
38703248,esearch
38697860,esearch
38692470,esearch
38688524,esearch
38677085,esearch
38674900,esearch
38662342,esearch
38659326,esearch
38658414,esearch
38656285,esearch
38652503,esearch
38646481,esearch
38592542,esearch
38583942,esearch
38577336,esearch
38574386,esearch
38573019,esearch
38572081,esearch
38540520,esearch
38521279,esearch
38520039,esearch
