author_id,n_papers,paper_share
Hollenbeck AR,195,0.42483660130718953
Park Y,141,0.30718954248366015
Schatzkin A,132,0.2875816993464052
Freedman ND,76,0.1655773420479303
Leitzmann MF,75,0.16339869281045752
Subar AF,65,0.14161220043572983
Sinha R,64,0.1394335511982571
Liao LM,62,0.13507625272331156
Matthews CE,55,0.11982570806100218
Abnet CC,44,0.09586056644880174
Graubard BI,43,0.09368191721132897
Kipnis V,39,0.08496732026143791
Brinton LA,37,0.08061002178649238
Moore SC,37,0.08061002178649238
Gierach GL,32,0.06971677559912855
Cross AJ,31,0.06753812636165578
Thompson FE,29,0.06318082788671024
Pfeiffer RM,27,0.058823529411764705
Stolzenberg-Solomon RZ,24,0.05228758169934641
Mouw T,23,0.05010893246187364
Xiao Q,23,0.05010893246187364
Trabert B,20,0.04357298474945534
Albanes D,19,0.04139433551198257
Ward MH,19,0.04139433551198257
Arem H,18,0.0392156862745098
Hartge P,18,0.0392156862745098
Midthune D,18,0.0392156862745098
Reedy J,18,0.0392156862745098
Silverman DT,18,0.0392156862745098
Lacey JV,17,0.037037037037037035
McGlynn KA,17,0.037037037037037035
Blair A,14,0.030501089324618737
Kitahara CM,14,0.030501089324618737
Wentzensen N,14,0.030501089324618737
Cook MB,13,0.02832244008714597
Jones RR,13,0.02832244008714597
Loftfield E,13,0.02832244008714597
Petrick JL,13,0.02832244008714597
Kahle LL,12,0.026143790849673203
Saint-Maurice PF,12,0.026143790849673203
Chen H,11,0.023965141612200435
Mayne ST,11,0.023965141612200435
Potischman N,11,0.023965141612200435
Purdue MP,11,0.023965141612200435
Yang HP,11,0.023965141612200435
Adams KF,10,0.02178649237472767
Ballard-Barbash R,10,0.02178649237472767
Doubeni CA,10,0.02178649237472767
Giovannucci E,10,0.02178649237472767
Huang X,10,0.02178649237472767
Inoue-Choi M,10,0.02178649237472767
Palmer JR,10,0.02178649237472767
Rohan TE,10,0.02178649237472767
Jiao L,9,0.0196078431372549
Keadle SK,9,0.0196078431372549
La Vecchia C,9,0.0196078431372549
Major JM,9,0.0196078431372549
Mitrou PN,9,0.0196078431372549
Negri E,9,0.0196078431372549
Sampson JN,9,0.0196078431372549
Boffetta P,8,0.017429193899782137
Carroll RJ,8,0.017429193899782137
Dawsey SM,8,0.017429193899782137
Flood A,8,0.017429193899782137
Freedman LS,8,0.017429193899782137
Harris TB,8,0.017429193899782137
Krebs-Smith SM,8,0.017429193899782137
Michels KA,8,0.017429193899782137
Schairer C,8,0.017429193899782137
Wang SS,8,0.017429193899782137
Weinstein SJ,8,0.017429193899782137
Zhang X,8,0.017429193899782137
Ahn J,7,0.015250544662309368
Camargo MC,7,0.015250544662309368
Campbell PT,7,0.015250544662309368
Caporaso NE,7,0.015250544662309368
Fisher JA,7,0.015250544662309368
Hofmann JN,7,0.015250544662309368
Kabat GC,7,0.015250544662309368
Kolonel LN,7,0.015250544662309368
Malekzadeh R,7,0.015250544662309368
Rabkin CS,7,0.015250544662309368
Sherman ME,7,0.015250544662309368
Shu XO,7,0.015250544662309368
Troiano RP,7,0.015250544662309368
Tsugane S,7,0.015250544662309368
Wright ME,7,0.015250544662309368
Bonzi R,6,0.013071895424836602
Chang SC,6,0.013071895424836602
Chow WH,6,0.013071895424836602
Curado MP,6,0.013071895424836602
Daugherty SE,6,0.013071895424836602
Etemadi A,6,0.013071895424836602
Gapstur SM,6,0.013071895424836602
George SM,6,0.013071895424836602
Gunter MJ,6,0.013071895424836602
Hayes RB,6,0.013071895424836602
Hidaka A,6,0.013071895424836602
Huang WY,6,0.013071895424836602
James P,6,0.013071895424836602
Katki HA,6,0.013071895424836602
Kelly SP,6,0.013071895424836602
Linet MS,6,0.013071895424836602
Lunet N,6,0.013071895424836602
Ma X,6,0.013071895424836602
Pelucchi C,6,0.013071895424836602
Robien K,6,0.013071895424836602
Sesso HD,6,0.013071895424836602
Sigurdson AJ,6,0.013071895424836602
Thiébaut AC,6,0.013071895424836602
Vioque J,6,0.013071895424836602
Zeleniuch-Jacquotte A,6,0.013071895424836602
Zhang ZF,6,0.013071895424836602
Aschebrook-Kilfoy B,5,0.010893246187363835
Ascherio A,5,0.010893246187363835
Chan AT,5,0.010893246187363835
Colditz GA,5,0.010893246187363835
Daniel CR,5,0.010893246187363835
De Vivo I,5,0.010893246187363835
Du M,5,0.010893246187363835
Felix AS,5,0.010893246187363835
Gail MH,5,0.010893246187363835
Goodman MT,5,0.010893246187363835
Huang J,5,0.010893246187363835
Huang T,5,0.010893246187363835
Irwin ML,5,0.010893246187363835
Koshiol J,5,0.010893246187363835
Koster A,5,0.010893246187363835
Laiyemo AO,5,0.010893246187363835
Lian M,5,0.010893246187363835
Liu J,5,0.010893246187363835
López-Carrillo L,5,0.010893246187363835
Michaud DS,5,0.010893246187363835
Morton LM,5,0.010893246187363835
O'Connell K,5,0.010893246187363835
Patel AV,5,0.010893246187363835
Petruzella S,5,0.010893246187363835
Powell-Wiley TM,5,0.010893246187363835
Risch H,5,0.010893246187363835
Sahasrabuddhe VV,5,0.010893246187363835
Schonfeld SJ,5,0.010893246187363835
Setiawan VW,5,0.010893246187363835
Shah SC,5,0.010893246187363835
Wang R,5,0.010893246187363835
Wirfält E,5,0.010893246187363835
Wu K,5,0.010893246187363835
Xu Q,5,0.010893246187363835
Yeh CS,5,0.010893246187363835
Zaridze D,5,0.010893246187363835
Zhang D,5,0.010893246187363835
Zhang Y,5,0.010893246187363835
Akinyemiju T,4,0.008714596949891068
Alavanja MC,4,0.008714596949891068
Behrens G,4,0.008714596949891068
Berrigan D,4,0.008714596949891068
Berrington de González A,4,0.008714596949891068
Bertrand KA,4,0.008714596949891068
Bowles HR,4,0.008714596949891068
Buring JE,4,0.008714596949891068
Chaturvedi AK,4,0.008714596949891068
Chen J,4,0.008714596949891068
Chen Y,4,0.008714596949891068
Dallal CM,4,0.008714596949891068
Danforth KN,4,0.008714596949891068
Dodd KW,4,0.008714596949891068
Ferraroni M,4,0.008714596949891068
Ferrucci LM,4,0.008714596949891068
Friedenreich CM,4,0.008714596949891068
Garcia de la Hera M,4,0.008714596949891068
Gaziano JM,4,0.008714596949891068
Guo X,4,0.008714596949891068
Hamada GS,4,0.008714596949891068
Hashemian M,4,0.008714596949891068
Hernández-Ramírez RU,4,0.008714596949891068
Hurwitz P,4,0.008714596949891068
Johnson KC,4,0.008714596949891068
Kim ES,4,0.008714596949891068
King LY,4,0.008714596949891068
Lagiou P,4,0.008714596949891068
Lam TK,4,0.008714596949891068
Lan T,4,0.008714596949891068
Lee JA,4,0.008714596949891068
Lim CC,4,0.008714596949891068
Lim U,4,0.008714596949891068
Maximovitch D,4,0.008714596949891068
McCullough ML,4,0.008714596949891068
Morais S,4,0.008714596949891068
Murphy G,4,0.008714596949891068
Nyante SJ,4,0.008714596949891068
O'Doherty MG,4,0.008714596949891068
Palli D,4,0.008714596949891068
Pee D,4,0.008714596949891068
Pelser C,4,0.008714596949891068
Peters TM,4,0.008714596949891068
Renehan AG,4,0.008714596949891068
Richesson DA,4,0.008714596949891068
Ruder EH,4,0.008714596949891068
Schoeller DA,4,0.008714596949891068
Schootman M,4,0.008714596949891068
Schouten LJ,4,0.008714596949891068
Shams-White MM,4,0.008714596949891068
Shao Y,4,0.008714596949891068
Shiels MS,4,0.008714596949891068
Sutcliffe S,4,0.008714596949891068
Thurston GD,4,0.008714596949891068
Trichopoulou A,4,0.008714596949891068
Visvanathan K,4,0.008714596949891068
Wactawski-Wende J,4,0.008714596949891068
Wang M,4,0.008714596949891068
Webb PM,4,0.008714596949891068
Wilkens LR,4,0.008714596949891068
Willis EA,4,0.008714596949891068
Wu JW,4,0.008714596949891068
Yu GP,4,0.008714596949891068
Zheng W,4,0.008714596949891068
van den Brandt PA,4,0.008714596949891068
Beane Freeman LE,3,0.006535947712418301
Berrington de Gonzalez A,3,0.006535947712418301
Blot WJ,3,0.006535947712418301
Boggs DA,3,0.006535947712418301
Bosire C,3,0.006535947712418301
Brown CC,3,0.006535947712418301
Cho E,3,0.006535947712418301
Cho S,3,0.006535947712418301
Chong DQ,3,0.006535947712418301
Clarke MA,3,0.006535947712418301
Collatuzzo G,3,0.006535947712418301
Cook LS,3,0.006535947712418301
Dai Q,3,0.006535947712418301
Dalmartello M,3,0.006535947712418301
Darefsky AS,3,0.006535947712418301
DiPietro L,3,0.006535947712418301
Dubrow R,3,0.006535947712418301
Eisenberg ML,3,0.006535947712418301
Falcone GJ,3,0.006535947712418301
Falk RT,3,0.006535947712418301
Fitzgerald KC,3,0.006535947712418301
Fondell E,3,0.006535947712418301
Freedman DM,3,0.006535947712418301
Gaudet MM,3,0.006535947712418301
Goldstein AM,3,0.006535947712418301
Gorzelitz J,3,0.006535947712418301
Grodstein F,3,0.006535947712418301
Hsing AW,3,0.006535947712418301
Hu J,3,0.006535947712418301
Hua X,3,0.006535947712418301
Jia P,3,0.006535947712418301
Kamel F,3,0.006535947712418301
Key TJ,3,0.006535947712418301
Kilfoy BA,3,0.006535947712418301
Kirkpatrick SI,3,0.006535947712418301
Koebnick C,3,0.006535947712418301
Kurtz RC,3,0.006535947712418301
Lagiou A,3,0.006535947712418301
Lai GY,3,0.006535947712418301
Lan Q,3,0.006535947712418301
Lawson KA,3,0.006535947712418301
Lee IM,3,0.006535947712418301
Li WQ,3,0.006535947712418301
Li Y,3,0.006535947712418301
Liese AD,3,0.006535947712418301
Lin SW,3,0.006535947712418301
Lipworth L,3,0.006535947712418301
Liu R,3,0.006535947712418301
Liu W,3,0.006535947712418301
Lu L,3,0.006535947712418301
López-Cervantes M,3,0.006535947712418301
Marshall SC,3,0.006535947712418301
McClain KM,3,0.006535947712418301
Medgyesi DN,3,0.006535947712418301
Merritt MA,3,0.006535947712418301
Mullooly M,3,0.006535947712418301
Murphy MA,3,0.006535947712418301
Musich S,3,0.006535947712418301
Neuhouser ML,3,0.006535947712418301
O'Reilly ÉJ,3,0.006535947712418301
Pakseresht M,3,0.006535947712418301
Peek RM,3,0.006535947712418301
Pourfarzi F,3,0.006535947712418301
Poynter JN,3,0.006535947712418301
Prizment A,3,0.006535947712418301
Qi L,3,0.006535947712418301
Rajaraman P,3,0.006535947712418301
Ramirez Y,3,0.006535947712418301
Ren JS,3,0.006535947712418301
Rosenberg L,3,0.006535947712418301
Sacerdote C,3,0.006535947712418301
Schmid D,3,0.006535947712418301
Schwartz LM,3,0.006535947712418301
Shebl FM,3,0.006535947712418301
Shrubsole MJ,3,0.006535947712418301
Smith L,3,0.006535947712418301
Smith-Warner SA,3,0.006535947712418301
Song M,3,0.006535947712418301
Spitz MR,3,0.006535947712418301
Stevens VL,3,0.006535947712418301
Tasevska N,3,0.006535947712418301
Taylor PR,3,0.006535947712418301
Wang J,3,0.006535947712418301
Wang W,3,0.006535947712418301
Wang Y,3,0.006535947712418301
White E,3,0.006535947712418301
Willett WC,3,0.006535947712418301
Wilson KG,3,0.006535947712418301
Yang W,3,0.006535947712418301
Yu D,3,0.006535947712418301
Yu H,3,0.006535947712418301
Zhu X,3,0.006535947712418301
Zimmerman TP,3,0.006535947712418301
van Eijk JT,3,0.006535947712418301
Alfano CM,2,0.004357298474945534
Alicandro G,2,0.004357298474945534
Allison J,2,0.004357298474945534
Andaya A,2,0.004357298474945534
Andreotti G,2,0.004357298474945534
Antwi SO,2,0.004357298474945534
Aragonés N,2,0.004357298474945534
Baer DJ,2,0.004357298474945534
Baris D,2,0.004357298474945534
Beane-Freeman LE,2,0.004357298474945534
Berg CD,2,0.004357298474945534
Berndt SI,2,0.004357298474945534
Blank MM,2,0.004357298474945534
Boccia S,2,0.004357298474945534
Bodelon C,2,0.004357298474945534
Boushey CJ,2,0.004357298474945534
Braganza MZ,2,0.004357298474945534
Braithwaite D,2,0.004357298474945534
Brenner A,2,0.004357298474945534
Brockton NT,2,0.004357298474945534
Brooks JD,2,0.004357298474945534
Cahoon EK,2,0.004357298474945534
Cai Q,2,0.004357298474945534
Campbell DS,2,0.004357298474945534
Carlson SA,2,0.004357298474945534
Carroll L,2,0.004357298474945534
Castro F,2,0.004357298474945534
Chen C,2,0.004357298474945534
Chen X,2,0.004357298474945534
Chu LW,2,0.004357298474945534
Chun OK,2,0.004357298474945534
Clendenen TV,2,0.004357298474945534
Costas L,2,0.004357298474945534
Coughlan D,2,0.004357298474945534
Cromar KR,2,0.004357298474945534
