dataset,metric,value,top_x,year,computed_date
NIH_AARP,n_papers,459,NA,NA,2026-06-24
NIH_AARP,n_authors,1217,NA,NA,2026-06-24
NIH_AARP,hhi,0.610928370379848,NA,NA,2026-06-24
NIH_AARP,top_x_share,0.42483660130718953,1,NA,2026-06-24
NIH_AARP,top_x_share,0.5468409586056645,3,NA,2026-06-24
NIH_AARP,top_x_share,0.616557734204793,5,NA,2026-06-24
NIH_AARP,top_x_share,0.7973856209150327,10,NA,2026-06-24
NIH_AARP,top_x_share,0.8431372549019608,20,NA,2026-06-24
NIH_AARP,hhi,3.5746691871455556,NA,2007,2026-06-24
NIH_AARP,top_x_share,0.9565217391304348,1,2007,2026-06-24
NIH_AARP,top_x_share,0.9565217391304348,3,2007,2026-06-24
NIH_AARP,top_x_share,0.9565217391304348,5,2007,2026-06-24
NIH_AARP,top_x_share,0.9565217391304348,10,2007,2026-06-24
NIH_AARP,top_x_share,0.9565217391304348,20,2007,2026-06-24
NIH_AARP,hhi,3.171487603305786,NA,2008,2026-06-24
NIH_AARP,top_x_share,0.9545454545454546,1,2008,2026-06-24
NIH_AARP,top_x_share,0.9545454545454546,3,2008,2026-06-24
NIH_AARP,top_x_share,0.9545454545454546,5,2008,2026-06-24
NIH_AARP,top_x_share,0.9545454545454546,10,2008,2026-06-24
NIH_AARP,top_x_share,0.9545454545454546,20,2008,2026-06-24
NIH_AARP,hhi,2.531111111111111,NA,2009,2026-06-24
NIH_AARP,top_x_share,0.9333333333333333,1,2009,2026-06-24
NIH_AARP,top_x_share,0.9333333333333333,3,2009,2026-06-24
NIH_AARP,top_x_share,0.9333333333333333,5,2009,2026-06-24
NIH_AARP,top_x_share,0.9333333333333333,10,2009,2026-06-24
NIH_AARP,top_x_share,0.9333333333333333,20,2009,2026-06-24
NIH_AARP,hhi,2.898148148148147,NA,2010,2026-06-24
NIH_AARP,top_x_share,1,1,2010,2026-06-24
NIH_AARP,top_x_share,1,3,2010,2026-06-24
NIH_AARP,top_x_share,1,5,2010,2026-06-24
NIH_AARP,top_x_share,1,10,2010,2026-06-24
NIH_AARP,top_x_share,1,20,2010,2026-06-24
NIH_AARP,hhi,1.7676767676767688,NA,2011,2026-06-24
NIH_AARP,top_x_share,0.8787878787878788,1,2011,2026-06-24
NIH_AARP,top_x_share,0.8787878787878788,3,2011,2026-06-24
NIH_AARP,top_x_share,0.8787878787878788,5,2011,2026-06-24
NIH_AARP,top_x_share,0.9090909090909091,10,2011,2026-06-24
NIH_AARP,top_x_share,0.9393939393939394,20,2011,2026-06-24
NIH_AARP,hhi,1.9977777777777759,NA,2012,2026-06-24
NIH_AARP,top_x_share,0.9333333333333333,1,2012,2026-06-24
NIH_AARP,top_x_share,0.9666666666666667,3,2012,2026-06-24
NIH_AARP,top_x_share,0.9666666666666667,5,2012,2026-06-24
