period,period_start,period_end,metric,value,top_x,period_type
2006,2006,2006,n_papers,8,NA,annual
2006,2006,2006,n_authors,37,NA,annual
2006,2006,2006,hhi,1.734375,NA,annual
2006,2006,2006,top_x_share,0.5,1,annual
2006,2006,2006,top_x_share,0.625,3,annual
2006,2006,2006,top_x_share,0.625,5,annual
2006,2006,2006,top_x_share,0.875,10,annual
2006,2006,2006,top_x_share,1,20,annual
2007,2007,2007,n_papers,23,NA,annual
2007,2007,2007,n_authors,50,NA,annual
2007,2007,2007,hhi,3.574669187145552,NA,annual
2007,2007,2007,top_x_share,0.9565217391304348,1,annual
2007,2007,2007,top_x_share,0.9565217391304348,3,annual
2007,2007,2007,top_x_share,0.9565217391304348,5,annual
2007,2007,2007,top_x_share,0.9565217391304348,10,annual
2007,2007,2007,top_x_share,0.9565217391304348,20,annual
2008,2008,2008,n_papers,22,NA,annual
2008,2008,2008,n_authors,54,NA,annual
2008,2008,2008,hhi,3.171487603305785,NA,annual
2008,2008,2008,top_x_share,0.9545454545454546,1,annual
2008,2008,2008,top_x_share,0.9545454545454546,3,annual
2008,2008,2008,top_x_share,0.9545454545454546,5,annual
2008,2008,2008,top_x_share,0.9545454545454546,10,annual
2008,2008,2008,top_x_share,0.9545454545454546,20,annual
2009,2009,2009,n_papers,30,NA,annual
2009,2009,2009,n_authors,84,NA,annual
2009,2009,2009,hhi,2.531111111111118,NA,annual
2009,2009,2009,top_x_share,0.9333333333333333,1,annual
2009,2009,2009,top_x_share,0.9333333333333333,3,annual
2009,2009,2009,top_x_share,0.9333333333333333,5,annual
2009,2009,2009,top_x_share,0.9333333333333333,10,annual
2009,2009,2009,top_x_share,0.9333333333333333,20,annual
2010,2010,2010,n_papers,18,NA,annual
2010,2010,2010,n_authors,63,NA,annual
2010,2010,2010,hhi,2.898148148148141,NA,annual
2010,2010,2010,top_x_share,1,1,annual
2010,2010,2010,top_x_share,1,3,annual
2010,2010,2010,top_x_share,1,5,annual
2010,2010,2010,top_x_share,1,10,annual
2010,2010,2010,top_x_share,1,20,annual
2011,2011,2011,n_papers,33,NA,annual
2011,2011,2011,n_authors,101,NA,annual
2011,2011,2011,hhi,1.767676767676769,NA,annual
2011,2011,2011,top_x_share,0.8787878787878788,1,annual
2011,2011,2011,top_x_share,0.8787878787878788,3,annual
2011,2011,2011,top_x_share,0.8787878787878788,5,annual
2011,2011,2011,top_x_share,0.9090909090909091,10,annual
2011,2011,2011,top_x_share,0.9393939393939394,20,annual
2012,2012,2012,n_papers,30,NA,annual
2012,2012,2012,n_authors,96,NA,annual
2012,2012,2012,hhi,1.9977777777777743,NA,annual
2012,2012,2012,top_x_share,0.9333333333333333,1,annual
2012,2012,2012,top_x_share,0.9666666666666667,3,annual
2012,2012,2012,top_x_share,0.9666666666666667,5,annual
2012,2012,2012,top_x_share,0.9666666666666667,10,annual
2012,2012,2012,top_x_share,0.9666666666666667,20,annual
2013,2013,2013,n_papers,33,NA,annual
2013,2013,2013,n_authors,125,NA,annual
2013,2013,2013,hhi,1.4325068870523456,NA,annual
2013,2013,2013,top_x_share,0.7272727272727273,1,annual
2013,2013,2013,top_x_share,0.9696969696969697,3,annual
2013,2013,2013,top_x_share,0.9696969696969697,5,annual
2013,2013,2013,top_x_share,0.9696969696969697,10,annual
2013,2013,2013,top_x_share,0.9696969696969697,20,annual
2014,2014,2014,n_papers,32,NA,annual
2014,2014,2014,n_authors,150,NA,annual
2014,2014,2014,hhi,1.3818359375,NA,annual
2014,2014,2014,top_x_share,0.75,1,annual
2014,2014,2014,top_x_share,0.90625,3,annual
2014,2014,2014,top_x_share,0.90625,5,annual
2014,2014,2014,top_x_share,0.9375,10,annual
2014,2014,2014,top_x_share,0.9375,20,annual
2015,2015,2015,n_papers,19,NA,annual
2015,2015,2015,n_authors,104,NA,annual
2015,2015,2015,hhi,1.6897506925207717,NA,annual
2015,2015,2015,top_x_share,0.47368421052631576,1,annual
2015,2015,2015,top_x_share,0.8421052631578947,3,annual
2015,2015,2015,top_x_share,0.8947368421052632,5,annual
2015,2015,2015,top_x_share,0.8947368421052632,10,annual
2015,2015,2015,top_x_share,0.8947368421052632,20,annual
2016,2016,2016,n_papers,15,NA,annual
2016,2016,2016,n_authors,100,NA,annual
2016,2016,2016,hhi,0.733333333333334,NA,annual
2016,2016,2016,top_x_share,0.26666666666666666,1,annual
2016,2016,2016,top_x_share,0.7333333333333333,3,annual
2016,2016,2016,top_x_share,0.7333333333333333,5,annual
2016,2016,2016,top_x_share,0.7333333333333333,10,annual
2016,2016,2016,top_x_share,1,20,annual
2017,2017,2017,n_papers,21,NA,annual
2017,2017,2017,n_authors,99,NA,annual
2017,2017,2017,hhi,0.7981859410430876,NA,annual
2017,2017,2017,top_x_share,0.42857142857142855,1,annual
2017,2017,2017,top_x_share,0.6190476190476191,3,annual
2017,2017,2017,top_x_share,0.8095238095238095,5,annual
2017,2017,2017,top_x_share,0.8095238095238095,10,annual
2017,2017,2017,top_x_share,0.9047619047619048,20,annual
2018,2018,2018,n_papers,24,NA,annual
2018,2018,2018,n_authors,148,NA,annual
2018,2018,2018,hhi,0.5364583333333335,NA,annual
2018,2018,2018,top_x_share,0.3333333333333333,1,annual
2018,2018,2018,top_x_share,0.5833333333333334,3,annual
2018,2018,2018,top_x_share,0.5833333333333334,5,annual
2018,2018,2018,top_x_share,0.9166666666666666,10,annual
2018,2018,2018,top_x_share,0.9166666666666666,20,annual
2019,2019,2019,n_papers,23,NA,annual
2019,2019,2019,n_authors,138,NA,annual
2019,2019,2019,hhi,0.4782608695652194,NA,annual
2019,2019,2019,top_x_share,0.2608695652173913,1,annual
2019,2019,2019,top_x_share,0.6086956521739131,3,annual
2019,2019,2019,top_x_share,0.6086956521739131,5,annual
2019,2019,2019,top_x_share,0.6956521739130435,10,annual
2019,2019,2019,top_x_share,1,20,annual
2020,2020,2020,n_papers,27,NA,annual
2020,2020,2020,n_authors,148,NA,annual
2020,2020,2020,hhi,0.47736625514403425,NA,annual
2020,2020,2020,top_x_share,0.25925925925925924,1,annual
2020,2020,2020,top_x_share,0.5555555555555556,3,annual
2020,2020,2020,top_x_share,0.6296296296296297,5,annual
2020,2020,2020,top_x_share,0.8518518518518519,10,annual
2020,2020,2020,top_x_share,0.8518518518518519,20,annual
2021,2021,2021,n_papers,24,NA,annual
2021,2021,2021,n_authors,168,NA,annual
2021,2021,2021,hhi,0.4687499999999991,NA,annual
2021,2021,2021,top_x_share,0.16666666666666666,1,annual
2021,2021,2021,top_x_share,0.5,3,annual
2021,2021,2021,top_x_share,0.5,5,annual
2021,2021,2021,top_x_share,0.5833333333333334,10,annual
2021,2021,2021,top_x_share,0.5833333333333334,20,annual
2022,2022,2022,n_papers,29,NA,annual
2022,2022,2022,n_authors,262,NA,annual
2022,2022,2022,hhi,1.224732461355539,NA,annual
2022,2022,2022,top_x_share,0.4482758620689655,1,annual
2022,2022,2022,top_x_share,0.6206896551724138,3,annual
2022,2022,2022,top_x_share,0.6206896551724138,5,annual
2022,2022,2022,top_x_share,0.6551724137931034,10,annual
2022,2022,2022,top_x_share,0.7931034482758621,20,annual
2023,2023,2023,n_papers,22,NA,annual
2023,2023,2023,n_authors,228,NA,annual
2023,2023,2023,hhi,1.2727272727272658,NA,annual
2023,2023,2023,top_x_share,0.5454545454545454,1,annual
2023,2023,2023,top_x_share,0.6363636363636364,3,annual
2023,2023,2023,top_x_share,0.6363636363636364,5,annual
2023,2023,2023,top_x_share,0.7727272727272727,10,annual
2023,2023,2023,top_x_share,0.9090909090909091,20,annual
2024,2024,2024,n_papers,17,NA,annual
2024,2024,2024,n_authors,187,NA,annual
2024,2024,2024,hhi,1.6505190311418765,NA,annual
2024,2024,2024,top_x_share,0.5882352941176471,1,annual
2024,2024,2024,top_x_share,0.7058823529411765,3,annual
2024,2024,2024,top_x_share,0.7058823529411765,5,annual
2024,2024,2024,top_x_share,0.7058823529411765,10,annual
2024,2024,2024,top_x_share,0.7058823529411765,20,annual
2000-2004,2000,2004,n_papers,7,NA,five_year
2000-2004,2000,2004,n_authors,25,NA,five_year
2000-2004,2000,2004,hhi,4.938775510204079,NA,five_year
2000-2004,2000,2004,top_x_share,1,1,five_year
2000-2004,2000,2004,top_x_share,1,3,five_year
2000-2004,2000,2004,top_x_share,1,5,five_year
2000-2004,2000,2004,top_x_share,1,10,five_year
2000-2004,2000,2004,top_x_share,1,20,five_year
2005-2009,2005,2009,n_papers,84,NA,five_year
2005-2009,2005,2009,n_authors,136,NA,five_year
2005-2009,2005,2009,hhi,2.5273526077097492,NA,five_year
2005-2009,2005,2009,top_x_share,0.8928571428571429,1,five_year
2005-2009,2005,2009,top_x_share,0.8928571428571429,3,five_year
2005-2009,2005,2009,top_x_share,0.9166666666666666,5,five_year
2005-2009,2005,2009,top_x_share,0.9166666666666666,10,five_year
2005-2009,2005,2009,top_x_share,0.9166666666666666,20,five_year
2010-2014,2010,2014,n_papers,146,NA,five_year
2010-2014,2010,2014,n_authors,315,NA,five_year
2010-2014,2010,2014,hhi,1.4465659598423553,NA,five_year
2010-2014,2010,2014,top_x_share,0.8013698630136986,1,five_year
2010-2014,2010,2014,top_x_share,0.9315068493150684,3,five_year
2010-2014,2010,2014,top_x_share,0.9383561643835616,5,five_year
2010-2014,2010,2014,top_x_share,0.9383561643835616,10,five_year
2010-2014,2010,2014,top_x_share,0.952054794520548,20,five_year
2015-2019,2015,2019,n_papers,102,NA,five_year
2015-2019,2015,2019,n_authors,407,NA,five_year
2015-2019,2015,2019,hhi,0.4080161476355197,NA,five_year
2015-2019,2015,2019,top_x_share,0.45098039215686275,1,five_year
2015-2019,2015,2019,top_x_share,0.5490196078431373,3,five_year
2015-2019,2015,2019,top_x_share,0.6470588235294118,5,five_year
2015-2019,2015,2019,top_x_share,0.7549019607843137,10,five_year
2015-2019,2015,2019,top_x_share,0.7745098039215687,20,five_year
2020-2024,2020,2024,n_papers,119,NA,five_year
2020-2024,2020,2024,n_authors,703,NA,five_year
