pmid,source
39235702,pubmed_collection_62019178
39133482,pubmed_collection_62019178
39226766,pubmed_collection_62019178
38583943,pubmed_collection_62019178
39095780,pubmed_collection_62019178
38687390,pubmed_collection_62019178
38400738,pubmed_collection_62019178
38922615,pubmed_collection_62019178
38530242,pubmed_collection_62019178
38795658,pubmed_collection_62019178
38636274,pubmed_collection_62019178
38831478,pubmed_collection_62019178
38123742,pubmed_collection_62019178
38519925,pubmed_collection_62019178
38158443,pubmed_collection_62019178
37691174,pubmed_collection_62019178
38017130,pubmed_collection_62019178
37716022,pubmed_collection_62019178
37694684,pubmed_collection_62019178
36828228,pubmed_collection_62019178
37691690,pubmed_collection_62019178
37790335,pubmed_collection_62019178
37132226,pubmed_collection_62019178
36929885,pubmed_collection_62019178
36907443,pubmed_collection_62019178
37237952,pubmed_collection_62019178
36418803,pubmed_collection_62019178
36633307,pubmed_collection_62019178
36786871,pubmed_collection_62019178
36943385,pubmed_collection_62019178
36934308,pubmed_collection_62019178
36811575,pubmed_collection_62019178
36610232,pubmed_collection_62019178
36222982,pubmed_collection_62019178
36306403,pubmed_collection_62019178
37212115,pubmed_collection_62019178
36563462,pubmed_collection_62019178
36404465,pubmed_collection_62019178
36316560,pubmed_collection_62019178
36102938,pubmed_collection_62019178
35802472,pubmed_collection_62019178
35929779,pubmed_collection_62019178
36255251,pubmed_collection_62019178
36041172,pubmed_collection_62019178
35877953,pubmed_collection_62019178
35934938,pubmed_collection_62019178
36136331,pubmed_collection_62019178
35840828,pubmed_collection_62019178
35624300,pubmed_collection_62019178
35610368,pubmed_collection_62019178
35474368,pubmed_collection_62019178
36001316,pubmed_collection_62019178
35728406,pubmed_collection_62019178
35676377,pubmed_collection_62019178
35745285,pubmed_collection_62019178
35755938,pubmed_collection_62019178
35304655,pubmed_collection_62019178
34109847,pubmed_collection_62019178
33624091,pubmed_collection_62019178
35298459,pubmed_collection_62019178
34755860,pubmed_collection_62019178
35603841,pubmed_collection_62019178
34725210,pubmed_collection_62019178
35211426,pubmed_collection_62019178
33909074,pubmed_collection_62019178
34590122,pubmed_collection_62019178
34661979,pubmed_collection_62019178
34334719,pubmed_collection_62019178
33624757,pubmed_collection_62019178
34383904,pubmed_collection_62019178
34135472,pubmed_collection_62019178
34112972,pubmed_collection_62019178
34476340,pubmed_collection_62019178
33877513,pubmed_collection_62019178
34327262,pubmed_collection_62019178
33615447,pubmed_collection_62019178
34016140,pubmed_collection_62019178
34019084,pubmed_collection_62019178
33853582,pubmed_collection_62019178
33664017,pubmed_collection_62019178
33519035,pubmed_collection_62019178
33816707,pubmed_collection_62019178
33514513,pubmed_collection_62019178
33330925,pubmed_collection_62019178
33768963,pubmed_collection_62019178
33481137,pubmed_collection_62019178
33790936,pubmed_collection_62019178
33544146,pubmed_collection_62019178
33523188,pubmed_collection_62019178
33219755,pubmed_collection_62019178
33104910,pubmed_collection_62019178
32791010,pubmed_collection_62019178
33239054,pubmed_collection_62019178
32905980,pubmed_collection_62019178
32868318,pubmed_collection_62019178
32819883,pubmed_collection_62019178
32488897,pubmed_collection_62019178
32285447,pubmed_collection_62019178
32743740,pubmed_collection_62019178
32141493,pubmed_collection_62019178
32938465,pubmed_collection_62019178
32658243,pubmed_collection_62019178
32619213,pubmed_collection_62019178
31904114,pubmed_collection_62019178
31638139,pubmed_collection_62019178
31092107,pubmed_collection_62019178
32611430,pubmed_collection_62019178
32173854,pubmed_collection_62019178
33071484,pubmed_collection_62019178
32455332,pubmed_collection_62019178
32242097,pubmed_collection_62019178
32097496,pubmed_collection_62019178
31472027,pubmed_collection_62019178
31688655,pubmed_collection_62019178
32150271,pubmed_collection_62019178
31688458,pubmed_collection_62019178
31289812,pubmed_collection_62019178
31627155,pubmed_collection_62019178
31625031,pubmed_collection_62019178
30801238,pubmed_collection_62019178
31051079,pubmed_collection_62019178
31383570,pubmed_collection_62019178
31327110,pubmed_collection_62019178
31451635,pubmed_collection_62019178
30575803,pubmed_collection_62019178
30690490,pubmed_collection_62019178
31269682,pubmed_collection_62019178
31040136,pubmed_collection_62019178
31063480,pubmed_collection_62019178
30814688,pubmed_collection_62019178
30544261,pubmed_collection_62019178
30376043,pubmed_collection_62019178
30926824,pubmed_collection_62019178
30848809,pubmed_collection_62019178
30714352,pubmed_collection_62019178
30108373,pubmed_collection_62019178
30423200,pubmed_collection_62019178
30465158,pubmed_collection_62019178
30299454,pubmed_collection_62019178
29893617,pubmed_collection_62019178
30300137,pubmed_collection_62019178
29971781,pubmed_collection_62019178
30137194,pubmed_collection_62019178
29992560,pubmed_collection_62019178
30309689,pubmed_collection_62019178
29931120,pubmed_collection_62019178
30081135,pubmed_collection_62019178
30019399,pubmed_collection_62019178
29283747,pubmed_collection_62019178
30200454,pubmed_collection_62019178
30146073,pubmed_collection_62019178
29778967,pubmed_collection_62019178
29394309,pubmed_collection_62019178
29982203,pubmed_collection_62019178
29800127,pubmed_collection_62019178
29894512,pubmed_collection_62019178
29454077,pubmed_collection_62019178
29533015,pubmed_collection_62019178
29346467,pubmed_collection_62019178
28958064,pubmed_collection_62019178
28930863,pubmed_collection_62019178
29385194,pubmed_collection_62019178
28929489,pubmed_collection_62019178
29381789,pubmed_collection_62019178
29217211,pubmed_collection_62019178
28863047,pubmed_collection_62019178
28637226,pubmed_collection_62019178
28778331,pubmed_collection_62019178
28768652,pubmed_collection_62019178
28768299,pubmed_collection_62019178
28724656,pubmed_collection_62019178
28854891,pubmed_collection_62019178
28459946,pubmed_collection_62019178
28411388,pubmed_collection_62019178
28679675,pubmed_collection_62019178
28507039,pubmed_collection_62019178
28077426,pubmed_collection_62019178
28487287,pubmed_collection_62019178
28236455,pubmed_collection_62019178
28229485,pubmed_collection_62019178
28329353,pubmed_collection_62019178
28196067,pubmed_collection_62019178
28183012,pubmed_collection_62019178
27914770,pubmed_collection_62019178
27884649,pubmed_collection_62019178
27918784,pubmed_collection_62019178
27530474,pubmed_collection_62019178
27916155,pubmed_collection_62019178
27730319,pubmed_collection_62019178
27742674,pubmed_collection_62019178
27611440,pubmed_collection_62019178
27531874,pubmed_collection_62019178
26975776,pubmed_collection_62019178
26626817,pubmed_collection_62019178
26411408,pubmed_collection_62019178
26082405,pubmed_collection_62019178
26666579,pubmed_collection_62019178
26505173,pubmed_collection_62019178
26370657,pubmed_collection_62019178
26672017,pubmed_collection_62019178
26595440,pubmed_collection_62019178
26264348,pubmed_collection_62019178
26678502,pubmed_collection_62019178
26426828,pubmed_collection_62019178
26391917,pubmed_collection_62019178
26215832,pubmed_collection_62019178
25974060,pubmed_collection_62019178
26402414,pubmed_collection_62019178
26126626,pubmed_collection_62019178
25628179,pubmed_collection_62019178
26425711,pubmed_collection_62019178
25962764,pubmed_collection_62019178
26103572,pubmed_collection_62019178
25742475,pubmed_collection_62019178
25858689,pubmed_collection_62019178
25733641,pubmed_collection_62019178
25733454,pubmed_collection_62019178
25604135,pubmed_collection_62019178
25488967,pubmed_collection_62019178
25822002,pubmed_collection_62019178
25527756,pubmed_collection_62019178
25551641,pubmed_collection_62019178
25307804,pubmed_collection_62019178
24781893,pubmed_collection_62019178
25401742,pubmed_collection_62019178
25281691,pubmed_collection_62019178
25186946,pubmed_collection_62019178
25172872,pubmed_collection_62019178
25329812,pubmed_collection_62019178
24865849,pubmed_collection_62019178
25002559,pubmed_collection_62019178
25087669,pubmed_collection_62019178
24715615,pubmed_collection_62019178
24311115,pubmed_collection_62019178
24810653,pubmed_collection_62019178
24686895,pubmed_collection_62019178
24572039,pubmed_collection_62019178
24352877,pubmed_collection_62019178
24591061,pubmed_collection_62019178
24552754,pubmed_collection_62019178
24526287,pubmed_collection_62019178
24642621,pubmed_collection_62019178
24743309,pubmed_collection_62019178
24487725,pubmed_collection_62019178
24481406,pubmed_collection_62019178
24552677,pubmed_collection_62019178
24401718,pubmed_collection_62019178
24558423,pubmed_collection_62019178
24389423,pubmed_collection_62019178
24332863,pubmed_collection_62019178
24173550,pubmed_collection_62019178
24335921,pubmed_collection_62019178
24174008,pubmed_collection_62019178
24367697,pubmed_collection_62019178
24144847,pubmed_collection_62019178
24049160,pubmed_collection_62019178
