author_id,n_papers,paper_share
Dubowitz T,56,1
Troxel WM,29,0.5178571428571429
Hunter GP,25,0.44642857142857145
Beckman R,24,0.42857142857142855
Collins RL,22,0.39285714285714285
Richardson AS,20,0.35714285714285715
Ghosh-Dastidar M,19,0.3392857142857143
Ghosh-Dastidar B,18,0.32142857142857145
Baird MD,11,0.19642857142857142
Cantor J,10,0.17857142857142858
Gary-Webb TL,10,0.17857142857142858
Colabianchi N,9,0.16071428571428573
Cohen DA,8,0.14285714285714285
Hale L,8,0.14285714285714285
Buysse DJ,7,0.125
Haas A,7,0.125
Flórez KR,6,0.10714285714285714
Nugroho A,6,0.10714285714285714
Rosso AL,6,0.10714285714285714
Wagner L,6,0.10714285714285714
Dastidar MG,5,0.08928571428571429
DeSantis A,5,0.08928571428571429
Siddiqi SM,5,0.08928571428571429
Sloan JC,5,0.08928571428571429
Brooks Holliday S,4,0.07142857142857142
Buman MP,4,0.07142857142857142
Huang C,4,0.07142857142857142
Zenk SN,4,0.07142857142857142
Antonakos CL,3,0.05357142857142857
Burns RM,3,0.05357142857142857
Dong L,3,0.05357142857142857
Hill-Jarrett TG,3,0.05357142857142857
Holliday SB,3,0.05357142857142857
Mendoza-Graf A,3,0.05357142857142857
Palimaru AI,3,0.05357142857142857
Vaughan CA,3,0.05357142857142857
Branas CC,2,0.03571428571428571
Butters MA,2,0.03571428571428571
Chaix B,2,0.03571428571428571
Clarke P,2,0.03571428571428571
Cummins S,2,0.03571428571428571
Duncan DT,2,0.03571428571428571
Ghosh Dastidar M,2,0.03571428571428571
Kim B,2,0.03571428571428571
Morrison CN,2,0.03571428571428571
Pedersen SL,2,0.03571428571428571
Rudolph KE,2,0.03571428571428571
Schwartz H,2,0.03571428571428571
Steiner ED,2,0.03571428571428571
Weinstein AM,2,0.03571428571428571
Abraído-Lanza AF,1,0.017857142857142856
Baiers R,1,0.017857142857142856
Bodnar LM,1,0.017857142857142856
Bogart A,1,0.017857142857142856
Bromm KN,1,0.017857142857142856
Cheng GJ,1,0.017857142857142856
Corona G,1,0.017857142857142856
Dastidar BG,1,0.017857142857142856
Duru OK,1,0.017857142857142856
Gildengers A,1,0.017857142857142856
Ibeanu A,1,0.017857142857142856
Lang IM,1,0.017857142857142856
Leuschner K,1,0.017857142857142856
MacCarthy S,1,0.017857142857142856
McDonald K,1,0.017857142857142856
Mousavi A,1,0.017857142857142856
Mousavi-Raad A,1,0.017857142857142856
Ncube C,1,0.017857142857142856
Nelson DS,1,0.017857142857142856
Nezich T,1,0.017857142857142856
Parisi SM,1,0.017857142857142856
Parker J,1,0.017857142857142856
Rockette-Wagner B,1,0.017857142857142856
Smith RB,1,0.017857142857142856
Tharp-Gilliam S,1,0.017857142857142856
Twardzik EE,1,0.017857142857142856
Williamson S,1,0.017857142857142856
Ye F,1,0.017857142857142856
Yoo-Jeong M,1,0.017857142857142856
de la Haye K,1,0.017857142857142856
