period,period_start,period_end,metric,value,top_x,period_type
2015,2015,2015,n_papers,6,NA,annual
2015,2015,2015,n_authors,17,NA,annual
2015,2015,2015,hhi,3.666666666666667,NA,annual
2015,2015,2015,top_x_share,1,1,annual
2015,2015,2015,top_x_share,1,3,annual
2015,2015,2015,top_x_share,1,5,annual
2015,2015,2015,top_x_share,1,10,annual
2017,2017,2017,n_papers,7,NA,annual
2017,2017,2017,n_authors,18,NA,annual
2017,2017,2017,hhi,4.3265306122448965,NA,annual
2017,2017,2017,top_x_share,1,1,annual
2017,2017,2017,top_x_share,1,3,annual
2017,2017,2017,top_x_share,1,5,annual
2017,2017,2017,top_x_share,1,10,annual
2020,2020,2020,n_papers,8,NA,annual
2020,2020,2020,n_authors,28,NA,annual
2020,2020,2020,hhi,3.0625,NA,annual
2020,2020,2020,top_x_share,1,1,annual
2020,2020,2020,top_x_share,1,3,annual
2020,2020,2020,top_x_share,1,5,annual
2020,2020,2020,top_x_share,1,10,annual
2021,2021,2021,n_papers,8,NA,annual
2021,2021,2021,n_authors,28,NA,annual
2021,2021,2021,hhi,4.59375,NA,annual
2021,2021,2021,top_x_share,1,1,annual
2021,2021,2021,top_x_share,1,3,annual
2021,2021,2021,top_x_share,1,5,annual
2021,2021,2021,top_x_share,1,10,annual
2023,2023,2023,n_papers,6,NA,annual
2023,2023,2023,n_authors,32,NA,annual
2023,2023,2023,hhi,2.9722222222222197,NA,annual
2023,2023,2023,top_x_share,1,1,annual
2023,2023,2023,top_x_share,1,3,annual
2023,2023,2023,top_x_share,1,5,annual
2023,2023,2023,top_x_share,1,10,annual
2015-2019,2015,2019,n_papers,21,NA,five_year
2015-2019,2015,2019,n_authors,37,NA,five_year
2015-2019,2015,2019,hhi,2.7800453514739223,NA,five_year
2015-2019,2015,2019,top_x_share,1,1,five_year
2015-2019,2015,2019,top_x_share,1,3,five_year
2015-2019,2015,2019,top_x_share,1,5,five_year
2015-2019,2015,2019,top_x_share,1,10,five_year
2020-2024,2020,2024,n_papers,30,NA,five_year
2020-2024,2020,2024,n_authors,54,NA,five_year
2020-2024,2020,2024,hhi,2.9544444444444444,NA,five_year
2020-2024,2020,2024,top_x_share,1,1,five_year
2020-2024,2020,2024,top_x_share,1,3,five_year
2020-2024,2020,2024,top_x_share,1,5,five_year
2020-2024,2020,2024,top_x_share,1,10,five_year
