author_raw,author_id,notes,merged_by,merged_date
Antonakos C,Antonakos CL,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-08-10
Baird M,Baird MD,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-08-10
Beckman RA,Beckman R,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-08-10
Buman M,Buman MP,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-08-10
Cantor JH,Cantor J,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-08-10
Cohen D,Cohen DA,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-08-10
Collins R,Collins RL,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-08-10
DeSantis AS,DeSantis A,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-08-10
Ghosh-Dastidar MB,Ghosh-Dastidar M,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-08-10
Huang CY,Huang C,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-08-10
Hunter G,Hunter GP,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-08-10
Nugroho AK,Nugroho A,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-08-10
Palimaru A,Palimaru AI,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-08-10
Siddiqi S,Siddiqi SM,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-08-10
Troxel W,Troxel WM,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-08-10
