pmid,title,abstract,pub_year,text,has_abstract
41886933,Beyond individual correlates: The moderating roles of neighborhood factors on loneliness among adults in predominately Black neighborhoods in Pittsburgh.,"While individual correlates of loneliness are well established, less is known about whether neighborhood characteristics modify these associations. Guided by the Ecological Theory of Aging, this study examined whether subjective and objective neighborhood factors moderated cross-sectional associations between key individual characteristics (age, gender, physical function) and loneliness among adults in two predominantly Black Pittsburgh, PA neighborhoods. Data were drawn from the Think PHRESH study (N = 694), an ancillary to a longitudinal cohort study of the Pittsburgh Hill/Homewood Research on Neighborhood Change and Health (PHRESH). Loneliness was measured using the UCLA 3-item scale. Subjective neighborhood factors included perceived safety and neighborhood satisfaction. Objective factors included neighborhood socioeconomic deprivation and residential instability from Census data. Multivariable linear regressions with interaction terms tested moderation effects, followed by stratified analyses for significant interactions. Among those perceiving their neighborhoods as less safe, middle-aged adults (50-65 years) and older adults (≥65 years) reported significantly higher loneliness compared to younger adults (31-49 years). These age-related differences were not observed among those reporting high safety. A similar pattern emerged for neighborhood satisfaction: greater loneliness was reported among middle-aged and older adults with low neighborhood satisfaction, but not among those with high satisfaction. Physical limitations were also linked to greater loneliness among those with low perceived safety or neighborhood satisfaction. Women living in more deprived neighborhoods reported higher loneliness than men, while no gender differences were observed in less deprived areas. These findings suggest that neighborhood perceptions may be salient in shaping loneliness and that neighborhood disadvantage may exacerbate gendered vulnerabilities to loneliness. Future research should investigate the mechanisms through which neighborhood perceptions develop and influence loneliness over time, and evaluate interventions addressing both individual and contextual determinants of loneliness in historically marginalized communities.",2026,"Beyond individual correlates: The moderating roles of neighborhood factors on loneliness among adults in predominately Black neighborhoods in Pittsburgh. While individual correlates of loneliness are well established, less is known about whether neighborhood characteristics modify these associations. Guided by the Ecological Theory of Aging, this study examined whether subjective and objective neighborhood factors moderated cross-sectional associations between key individual characteristics (age, gender, physical function) and loneliness among adults in two predominantly Black Pittsburgh, PA neighborhoods. Data were drawn from the Think PHRESH study (N = 694), an ancillary to a longitudinal cohort study of the Pittsburgh Hill/Homewood Research on Neighborhood Change and Health (PHRESH). Loneliness was measured using the UCLA 3-item scale. Subjective neighborhood factors included perceived safety and neighborhood satisfaction. Objective factors included neighborhood socioeconomic deprivation and residential instability from Census data. Multivariable linear regressions with interaction terms tested moderation effects, followed by stratified analyses for significant interactions. Among those perceiving their neighborhoods as less safe, middle-aged adults (50-65 years) and older adults (≥65 years) reported significantly higher loneliness compared to younger adults (31-49 years). These age-related differences were not observed among those reporting high safety. A similar pattern emerged for neighborhood satisfaction: greater loneliness was reported among middle-aged and older adults with low neighborhood satisfaction, but not among those with high satisfaction. Physical limitations were also linked to greater loneliness among those with low perceived safety or neighborhood satisfaction. Women living in more deprived neighborhoods reported higher loneliness than men, while no gender differences were observed in less deprived areas. These findings suggest that neighborhood perceptions may be salient in shaping loneliness and that neighborhood disadvantage may exacerbate gendered vulnerabilities to loneliness. Future research should investigate the mechanisms through which neighborhood perceptions develop and influence loneliness over time, and evaluate interventions addressing both individual and contextual determinants of loneliness in historically marginalized communities.",TRUE
41364904,From Childhood to Adulthood: A Mixed-Methods Exploration of Social Environments and Psychological Well-Being in Predominantly Black American Urban Communities.,"Neighborhood environments may significantly impact psychological well-being, particularly in Black American communities where historical inequities and resilience factors intersect. This mixed-methods study investigates retrospective perceptions of childhood and current neighborhood social environments and their associations with loneliness and psychological distress in adulthood. Data were drawn from the Think PHRESH study, an ancillary project to the Pittsburgh Hill/Homewood Research on Neighborhood Change and Health (PHRESH). A mixed-methods design integrated survey data from 739 participants (77.5% female; mean age = 63.37) and qualitative interviews with 56 residents (60.7% female; mean age = 65.95). Measures assessed childhood and adulthood neighborhood social cohesion, collective child-rearing, current neighborhood safety, satisfaction, loneliness, and distress. A mixed-methods expansion approach was used, where qualitative themes informed quantitative model development. Thematic analysis was applied to qualitative data, and regression analyses examined associations between neighborhood factors and mental health. Participants reported significantly higher childhood social cohesion (M = 4.47, SD = 0.70) than adulthood (M = 3.22, SD = 0.69). Qualitative findings highlighted declines in community engagement and safety. Regression analyses showed greater current social cohesion (b = -0.61, SE = 0.25, p = 0.02), neighborhood safety (b = -0.48, SE = 0.21, p = 0.02), and satisfaction (b = -0.55, SE = 0.18, p = 0.002) were associated with lower distress, while higher satisfaction was linked to lower loneliness (b = -0.08, SE = 0.03, p = 0.002). Findings highlight the importance of policies that enhance neighborhood social environments, particularly in predominantly Black urban communities affected by structural inequities.",2026,"From Childhood to Adulthood: A Mixed-Methods Exploration of Social Environments and Psychological Well-Being in Predominantly Black American Urban Communities. Neighborhood environments may significantly impact psychological well-being, particularly in Black American communities where historical inequities and resilience factors intersect. This mixed-methods study investigates retrospective perceptions of childhood and current neighborhood social environments and their associations with loneliness and psychological distress in adulthood. Data were drawn from the Think PHRESH study, an ancillary project to the Pittsburgh Hill/Homewood Research on Neighborhood Change and Health (PHRESH). A mixed-methods design integrated survey data from 739 participants (77.5% female; mean age = 63.37) and qualitative interviews with 56 residents (60.7% female; mean age = 65.95). Measures assessed childhood and adulthood neighborhood social cohesion, collective child-rearing, current neighborhood safety, satisfaction, loneliness, and distress. A mixed-methods expansion approach was used, where qualitative themes informed quantitative model development. Thematic analysis was applied to qualitative data, and regression analyses examined associations between neighborhood factors and mental health. Participants reported significantly higher childhood social cohesion (M = 4.47, SD = 0.70) than adulthood (M = 3.22, SD = 0.69). Qualitative findings highlighted declines in community engagement and safety. Regression analyses showed greater current social cohesion (b = -0.61, SE = 0.25, p = 0.02), neighborhood safety (b = -0.48, SE = 0.21, p = 0.02), and satisfaction (b = -0.55, SE = 0.18, p = 0.002) were associated with lower distress, while higher satisfaction was linked to lower loneliness (b = -0.08, SE = 0.03, p = 0.002). Findings highlight the importance of policies that enhance neighborhood social environments, particularly in predominantly Black urban communities affected by structural inequities.",TRUE
40263076,Sustained impacts of neighborhood investments on sleep health over a 5-year period: Insights from a natural experiment in two urban neighborhoods in the United States.,"STUDY OBJECTIVES: Neighborhood disinvestment is a downstream impact of structural racism, especially afflicting minoritized communities. Thus, neighborhood reinvestment may serve as a policy-level intervention to mitigate sleep and other health disparities. This study builds on previous work by leveraging a natural experimental design to evaluate the 5-year effects of neighborhood investments on residents' sleep. METHODS: Data are from the PHRESH Zzz study, a natural experiment conducted in two low-income, predominantly Black American, urban neighborhoods in Pittsburgh, Pennsylvania, with a randomly selected cohort [n=567; mean age=54.8 (SD=14.8); 77.6% female; 96% Black]. Sleep duration, wakefulness after sleep onset, and sleep efficiency were assessed via actigraphy and sleep quality via survey in 2013, 2016, and 2018. All publicly funded neighborhood investments between 2013 and 2016 were recorded and geocoded to calculate the distance from each respondent's residence to the investment. The primary exposure variable was residents' proximity to neighborhood investments (<0.1 of a mile). RESULTS: The overall pattern of results showed worsening sleep over time, regardless of exposure to investments. However, over the 5-year period, those who lived physically close to investments (<0.1 mile) experienced significantly smaller decreases in sleep efficiency and smaller increases in wakefulness after sleep onset, relative to those who lived farther away. CONCLUSIONS: Previously, we found that living near a neighborhood investment improved sleep outcomes over a short-term period of 3years. Current results indicate that improvements were partially sustained over 5years. Findings have implications for policy initiatives targeting upstream, structural determinants of sleep health disparities.",2025,"Sustained impacts of neighborhood investments on sleep health over a 5-year period: Insights from a natural experiment in two urban neighborhoods in the United States. STUDY OBJECTIVES: Neighborhood disinvestment is a downstream impact of structural racism, especially afflicting minoritized communities. Thus, neighborhood reinvestment may serve as a policy-level intervention to mitigate sleep and other health disparities. This study builds on previous work by leveraging a natural experimental design to evaluate the 5-year effects of neighborhood investments on residents' sleep. METHODS: Data are from the PHRESH Zzz study, a natural experiment conducted in two low-income, predominantly Black American, urban neighborhoods in Pittsburgh, Pennsylvania, with a randomly selected cohort [n=567; mean age=54.8 (SD=14.8); 77.6% female; 96% Black]. Sleep duration, wakefulness after sleep onset, and sleep efficiency were assessed via actigraphy and sleep quality via survey in 2013, 2016, and 2018. All publicly funded neighborhood investments between 2013 and 2016 were recorded and geocoded to calculate the distance from each respondent's residence to the investment. The primary exposure variable was residents' proximity to neighborhood investments (<0.1 of a mile). RESULTS: The overall pattern of results showed worsening sleep over time, regardless of exposure to investments. However, over the 5-year period, those who lived physically close to investments (<0.1 mile) experienced significantly smaller decreases in sleep efficiency and smaller increases in wakefulness after sleep onset, relative to those who lived farther away. CONCLUSIONS: Previously, we found that living near a neighborhood investment improved sleep outcomes over a short-term period of 3years. Current results indicate that improvements were partially sustained over 5years. Findings have implications for policy initiatives targeting upstream, structural determinants of sleep health disparities.",TRUE
40038233,"Perceptions About Housing and Neighborhood Characteristics Among Aging Adult Black Americans in Two Predominantly Black, Low-Income Neighborhoods in Pittsburgh: A Multi-Method Analysis.","The life expectancy gap between Black and White Americans has narrowed, but progress remains slow due to the persistent consequences of lifetime exposure to structural and interpersonal experiences of racism and discrimination in various settings, for example, disadvantaged housing, neighborhood, and economic conditions. It is important to understand challenges and facilitators to healthy aging among Black Americans, i.e., maintaining functional ability and well-being in older age. We explore the intersection of housing, neighborhoods, and healthy aging among Black adults who live in two predominantly Black, low-income neighborhoods in Pittsburgh, Pennsylvania. This complementary multi-method study combined survey data (n = 642) and qualitative interviews (n = 60) to delve into the perspectives of individuals aged 35 to 89. Survey and interview respondents were mostly renters (76% and 77% respectively), and about a fifth of those surveyed and interviewed reported any major home environment problems. Half of interviewees described poor quality housing as a source of stress, such as mold, building design, accessibility, and relational difficulties with their landlords and building managers. Buildings' social environment was an important dimension of housing quality among renters-behavioral and value differences between older and younger tenants caused frustration. Survey respondents were mostly (73%) satisfied with their neighborhoods' livability. Good access to transportation and community spaces were seen as positive factors to be sustained and encouraged in future. Policy implications include tracking health outcomes in housing programs for aging Black adults to inform improvements and enhanced oversight and coordination to ensure high-quality housing that meets the needs of older adults.",2026,"Perceptions About Housing and Neighborhood Characteristics Among Aging Adult Black Americans in Two Predominantly Black, Low-Income Neighborhoods in Pittsburgh: A Multi-Method Analysis. The life expectancy gap between Black and White Americans has narrowed, but progress remains slow due to the persistent consequences of lifetime exposure to structural and interpersonal experiences of racism and discrimination in various settings, for example, disadvantaged housing, neighborhood, and economic conditions. It is important to understand challenges and facilitators to healthy aging among Black Americans, i.e., maintaining functional ability and well-being in older age. We explore the intersection of housing, neighborhoods, and healthy aging among Black adults who live in two predominantly Black, low-income neighborhoods in Pittsburgh, Pennsylvania. This complementary multi-method study combined survey data (n = 642) and qualitative interviews (n = 60) to delve into the perspectives of individuals aged 35 to 89. Survey and interview respondents were mostly renters (76% and 77% respectively), and about a fifth of those surveyed and interviewed reported any major home environment problems. Half of interviewees described poor quality housing as a source of stress, such as mold, building design, accessibility, and relational difficulties with their landlords and building managers. Buildings' social environment was an important dimension of housing quality among renters-behavioral and value differences between older and younger tenants caused frustration. Survey respondents were mostly (73%) satisfied with their neighborhoods' livability. Good access to transportation and community spaces were seen as positive factors to be sustained and encouraged in future. Policy implications include tracking health outcomes in housing programs for aging Black adults to inform improvements and enhanced oversight and coordination to ensure high-quality housing that meets the needs of older adults.",TRUE
39157451,"Do Publicly Funded Neighborhood Investments Impact Individual-Level Health-Related Outcomes? A Longitudinal Study of Two Neighborhoods in Pittsburgh, PA from 2011 to 2018.","Research examining the relationship between a neighborhood's built-environment and resident health or health-related outcomes has largely either focused on static characteristics using a cross-sectional research design or focuses on the neighborhood in its entirety. Such an approach makes it difficult to understand how specific dynamic neighborhood characteristics are associated with individual well-being. In this analysis, we use longitudinal data from the Pittsburgh Research on Neighborhood Change and Health (PHRESH) studies to assess the relationship between publicly funded neighborhood investments occurring across seven years (2011-2018) on five health-related outcomes: food insecurity, stress, perceived neighborhood safety, neighborhood satisfaction, and dietary quality. We additionally utilize this dataset to determine whether the distance between an individual's place of residence and the investment, as measured at the neighborhood, 1 mile, and ½ mile level, effects the magnitude of associations. Using individual and year fixed effects models, we find that when measured at the neighborhood level, a one standard deviation increase in investments (about $130 million dollars) is associated with decreased food insecurity (-0.294 sd), increased safety (0.231 sd), and increased neighborhood satisfaction (0.201 sd) among adults who remain in the study for at least two waves of data collection. We also analyze specific investment types and find that commercial investments are largely driving the changes in food insecurity, safety, and neighborhood satisfaction, while business investments are correlated with the decrease in stress. We find no relationship between investments and dietary quality.",2024,"Do Publicly Funded Neighborhood Investments Impact Individual-Level Health-Related Outcomes? A Longitudinal Study of Two Neighborhoods in Pittsburgh, PA from 2011 to 2018. Research examining the relationship between a neighborhood's built-environment and resident health or health-related outcomes has largely either focused on static characteristics using a cross-sectional research design or focuses on the neighborhood in its entirety. Such an approach makes it difficult to understand how specific dynamic neighborhood characteristics are associated with individual well-being. In this analysis, we use longitudinal data from the Pittsburgh Research on Neighborhood Change and Health (PHRESH) studies to assess the relationship between publicly funded neighborhood investments occurring across seven years (2011-2018) on five health-related outcomes: food insecurity, stress, perceived neighborhood safety, neighborhood satisfaction, and dietary quality. We additionally utilize this dataset to determine whether the distance between an individual's place of residence and the investment, as measured at the neighborhood, 1 mile, and ½ mile level, effects the magnitude of associations. Using individual and year fixed effects models, we find that when measured at the neighborhood level, a one standard deviation increase in investments (about $130 million dollars) is associated with decreased food insecurity (-0.294 sd), increased safety (0.231 sd), and increased neighborhood satisfaction (0.201 sd) among adults who remain in the study for at least two waves of data collection. We also analyze specific investment types and find that commercial investments are largely driving the changes in food insecurity, safety, and neighborhood satisfaction, while business investments are correlated with the decrease in stress. We find no relationship between investments and dietary quality.",TRUE
39021075,A Preliminary Analysis of Stress Burden and Cognitive Function and Clinically Adjudicated Cognitive Outcomes in Black American Adults.,"BACKGROUND: The combination of exposure to multiple stressors and psychological distress may contribute to the disproportionate burden of dementia risk among Black Americans. This study estimates the effect of an index of stress and psychological distress (ie, ""stress burden"") on cognitive function and clinically adjudicated cognitive outcomes among older Black American adults, and examines sleep as a mediator. METHODS: The sample included 204 Black adults (79% female; mean age = 64 years) from Pittsburgh, PA, USA. Stress burden comprised 3 self-reported stress and distress measures assessed in 2016: discrimination, psychological distress, and posttraumatic stress. Potential mediators included actigraphy-assessed sleep duration and efficiency from 2018. Cognitive battery and clinical adjudication in 2019 assessed cognitive function and clinically adjudicated outcomes. Causal mediation analysis estimated the direct effect between stress burden and cognitive outcomes, and indirect effects through sleep, after adjusting for sociodemographics and hypertension. RESULTS: Higher stress burden had a significant direct effect on lower executive functioning and visuospatial performance. However, there were no significant indirect effects (ie, mediation) by sleep disturbances on any domain of cognitive function assessed. Also, there were no significant direct or indirect effects on clinically adjudicated outcomes. CONCLUSIONS: Multiple stressors often co-occur and may contribute to racial disparities in cognitive health. Findings suggest that higher stress burden had negative effects on functioning in executive and visuospatial domains in this community-based sample of older Black American adults. However, there was no evidence of mediation by sleep. Findings highlight the importance of continued work to identify modifiable pathways between stress burden and cognitive health disparities.",2024,"A Preliminary Analysis of Stress Burden and Cognitive Function and Clinically Adjudicated Cognitive Outcomes in Black American Adults. BACKGROUND: The combination of exposure to multiple stressors and psychological distress may contribute to the disproportionate burden of dementia risk among Black Americans. This study estimates the effect of an index of stress and psychological distress (ie, ""stress burden"") on cognitive function and clinically adjudicated cognitive outcomes among older Black American adults, and examines sleep as a mediator. METHODS: The sample included 204 Black adults (79% female; mean age = 64 years) from Pittsburgh, PA, USA. Stress burden comprised 3 self-reported stress and distress measures assessed in 2016: discrimination, psychological distress, and posttraumatic stress. Potential mediators included actigraphy-assessed sleep duration and efficiency from 2018. Cognitive battery and clinical adjudication in 2019 assessed cognitive function and clinically adjudicated outcomes. Causal mediation analysis estimated the direct effect between stress burden and cognitive outcomes, and indirect effects through sleep, after adjusting for sociodemographics and hypertension. RESULTS: Higher stress burden had a significant direct effect on lower executive functioning and visuospatial performance. However, there were no significant indirect effects (ie, mediation) by sleep disturbances on any domain of cognitive function assessed. Also, there were no significant direct or indirect effects on clinically adjudicated outcomes. CONCLUSIONS: Multiple stressors often co-occur and may contribute to racial disparities in cognitive health. Findings suggest that higher stress burden had negative effects on functioning in executive and visuospatial domains in this community-based sample of older Black American adults. However, there was no evidence of mediation by sleep. Findings highlight the importance of continued work to identify modifiable pathways between stress burden and cognitive health disparities.",TRUE
38184230,Food Insecurity Among Aging SNAP Participants and Eligible Nonparticipants in Two Predominantly Low-Income Black Neighborhoods: Implications for SNAP Enrollment and Outreach for Older Adults.,"BACKGROUND: The Supplemental Nutrition Assistance Program (SNAP) plays a critical role in alleviating poverty and food insecurity. Despite these benefits, many older Americans who are eligible for SNAP do not participate in the program. Few studies have explored household factors and food insecurity outcomes associated with nonparticipation among older Black Americans. OBJECTIVES: The study aim was to explore changes in food insecurity and related financial hardship outcomes between 2020 and 2021 among SNAP participants, eligible nonparticipants, and ineligible nonparticipants; compare reasons for not participating in SNAP; and to compare household factors associated with SNAP nonparticipation. METHODS: Longitudinal design examining data from 2020 and 2021 to assess changes in food insecurity over the course of the coronavirus disease 2019 pandemic. PARTICIPANTS/SETTING: Participants were 528 adults (aged 30 to 97 years) in households randomly selected from a listing of all residential addresses in two predominantly Black neighborhoods with lower incomes in Pittsburgh, PA, and surveyed between March to May 2020 and May to December 2021. MAIN OUTCOME MEASURES: Food security was measured using the validated 6-item US Department of Agriculture Adult Food Security Survey Module. STATISTICAL ANALYSES PERFORMED: Findings are based on a descriptive analysis of food security and related indicators. Statistical testing was performed to assess differences between SNAP participation status and individual characteristics, food security, and financial hardship using Wald F test for continuous measures and Pearson χ2 test for categorical measures. A multivariable linear model was used to assess the association of SNAP participation and eligibility status with change in food insecurity. RESULTS: In cross-sectional analyses of 2021 data, no differences were observed between SNAP participants and eligible nonparticipants for food insecurity, food bank use, mean weekly food spending per person, and difficulty paying for basics. However, with respect to changes in food insecurity over the course of the pandemic, SNAP participants experienced a greater improvement in mean food security scores between 2020 and 2021 (-0.52 reduction in mean food insecurity score or a 16% improvement in food security; P ≤ 0.05) relative to SNAP-eligible nonparticipants. Perceived ineligibility (71.3%) and perceived lack of need (23%) were the most common reasons for not participating in SNAP. CONCLUSIONS: More than one-third of SNAP participants and eligible nonparticipants experienced food insecurity and financial hardship. However, there were differences in the changes in food insecurity between these groups.",2024,"Food Insecurity Among Aging SNAP Participants and Eligible Nonparticipants in Two Predominantly Low-Income Black Neighborhoods: Implications for SNAP Enrollment and Outreach for Older Adults. BACKGROUND: The Supplemental Nutrition Assistance Program (SNAP) plays a critical role in alleviating poverty and food insecurity. Despite these benefits, many older Americans who are eligible for SNAP do not participate in the program. Few studies have explored household factors and food insecurity outcomes associated with nonparticipation among older Black Americans. OBJECTIVES: The study aim was to explore changes in food insecurity and related financial hardship outcomes between 2020 and 2021 among SNAP participants, eligible nonparticipants, and ineligible nonparticipants; compare reasons for not participating in SNAP; and to compare household factors associated with SNAP nonparticipation. METHODS: Longitudinal design examining data from 2020 and 2021 to assess changes in food insecurity over the course of the coronavirus disease 2019 pandemic. PARTICIPANTS/SETTING: Participants were 528 adults (aged 30 to 97 years) in households randomly selected from a listing of all residential addresses in two predominantly Black neighborhoods with lower incomes in Pittsburgh, PA, and surveyed between March to May 2020 and May to December 2021. MAIN OUTCOME MEASURES: Food security was measured using the validated 6-item US Department of Agriculture Adult Food Security Survey Module. STATISTICAL ANALYSES PERFORMED: Findings are based on a descriptive analysis of food security and related indicators. Statistical testing was performed to assess differences between SNAP participation status and individual characteristics, food security, and financial hardship using Wald F test for continuous measures and Pearson χ2 test for categorical measures. A multivariable linear model was used to assess the association of SNAP participation and eligibility status with change in food insecurity. RESULTS: In cross-sectional analyses of 2021 data, no differences were observed between SNAP participants and eligible nonparticipants for food insecurity, food bank use, mean weekly food spending per person, and difficulty paying for basics. However, with respect to changes in food insecurity over the course of the pandemic, SNAP participants experienced a greater improvement in mean food security scores between 2020 and 2021 (-0.52 reduction in mean food insecurity score or a 16% improvement in food security; P ≤ 0.05) relative to SNAP-eligible nonparticipants. Perceived ineligibility (71.3%) and perceived lack of need (23%) were the most common reasons for not participating in SNAP. CONCLUSIONS: More than one-third of SNAP participants and eligible nonparticipants experienced food insecurity and financial hardship. However, there were differences in the changes in food insecurity between these groups.",TRUE
37972799,Community Investments and Diet-Related Outcomes: A Longitudinal Study of Residents of Two Urban Neighborhoods.,"INTRODUCTION: Investments in historically oppressed neighborhoods through food retail, housing, and commercial development are hypothesized to improve residents' health, nutrition, and perceptions of their neighborhood as a place to live. Although place-based development (e.g., housing, retail, business assistance) is happening in many communities, there is little evidence of the long-term correlates of multiple investments such as health and nutrition among residents. METHODS: A quasi-experimental longitudinal study was conducted using a cohort of randomly sampled households in two low-income, predominantly African American neighborhoods in Pittsburgh, PA, with surveys assessing residents' food insecurity, perception of their neighborhood as a place to live, perception of access to healthy foods, and dietary outcomes in 2011 and seven years later (2018), with an interim assessment in 2014. Analyses conducted in 2022 compared changes among residents of one neighborhood which had 2.6 times the investments over a 7-year period with changes among residents of a socio-demographically similar neighborhood that received fewer investments. RESULTS: It was found that residents in the neighborhood receiving substantial investments demonstrated statistically significant improvements in neighborhood satisfaction (12.6% improvement compared with a 2.2% decrease) and perceived access to healthy food (52% improvement compared with 18.2% improvement), and marginally significant change in food security (14% compared with 4.8% improvement) compared with residents in the neighborhood receiving fewer investments. CONCLUSIONS: Multiple place-based investments in neighborhoods can potentially induce positive change for residents in health and nutrition outcomes.",2024,"Community Investments and Diet-Related Outcomes: A Longitudinal Study of Residents of Two Urban Neighborhoods. INTRODUCTION: Investments in historically oppressed neighborhoods through food retail, housing, and commercial development are hypothesized to improve residents' health, nutrition, and perceptions of their neighborhood as a place to live. Although place-based development (e.g., housing, retail, business assistance) is happening in many communities, there is little evidence of the long-term correlates of multiple investments such as health and nutrition among residents. METHODS: A quasi-experimental longitudinal study was conducted using a cohort of randomly sampled households in two low-income, predominantly African American neighborhoods in Pittsburgh, PA, with surveys assessing residents' food insecurity, perception of their neighborhood as a place to live, perception of access to healthy foods, and dietary outcomes in 2011 and seven years later (2018), with an interim assessment in 2014. Analyses conducted in 2022 compared changes among residents of one neighborhood which had 2.6 times the investments over a 7-year period with changes among residents of a socio-demographically similar neighborhood that received fewer investments. RESULTS: It was found that residents in the neighborhood receiving substantial investments demonstrated statistically significant improvements in neighborhood satisfaction (12.6% improvement compared with a 2.2% decrease) and perceived access to healthy food (52% improvement compared with 18.2% improvement), and marginally significant change in food security (14% compared with 4.8% improvement) compared with residents in the neighborhood receiving fewer investments. CONCLUSIONS: Multiple place-based investments in neighborhoods can potentially induce positive change for residents in health and nutrition outcomes.",TRUE
37915015,"Exploring differences in perceptions of gentrification, neighborhood satisfaction, social cohesion, and health among residents of two predominantly African American Pittsburgh neighborhoods (n = 60).","BACKGROUND: Gentrification often leads to changes in the social and physical environment of neighborhoods, which social capital theory has found are connected to aspects of resident health and wellbeing. A growing body of literature has explored the impact of gentrification on health and wellbeing of residents. The goal of this study is to qualitatively explore the ways in which gentrification may have impacted perceptions of neighborhood satisfaction, social cohesion, and health of neighborhood residents (n = 60) from two predominantly Black neighborhoods in Pittsburgh, Pennsylvania, one of which experienced Black gentrification during the study's time period. This analysis is unique in its ability to capture experiences of residents who remained in their neighborhood throughout the course of the study, as well as those who moved away from their neighborhood. METHODS: Participants were randomly selected from a larger cohort enrolled in a quasi-experimental study and categorized by whether they lived in a census tract that gentrified, whether they owned or rented their home, and whether they moved from the neighborhood or remained in the same place of residence between 2011 and 2018. Phone interviews lasting approximately 30 min were conducted with participants and were audio recorded and transcribed verbatim. Participants were provided a $40 gift card for their time. Interview data were analyzed using a directed content approach, and Cohen's Kappa was obtained (k = 0.924) to signal good inter-rater reliability. RESULTS: Results showed renters in gentrified census tracts overwhelmingly viewed gentrification trends as a negative change compared to homeowners. Overall, participants from gentrified census tracts reported being relatively satisfied with their neighborhood, though some suggested there were fewer resources in the neighborhood over time; felt their social cohesion had deteriorated over time; and more commonly reflected negative health changes over time. CONCLUSIONS: These findings suggest that while gentrification can bring much needed improvements to neighborhoods, it can also bring other disruptive changes that affect the health and wellbeing of existing residents.",2023,"Exploring differences in perceptions of gentrification, neighborhood satisfaction, social cohesion, and health among residents of two predominantly African American Pittsburgh neighborhoods (n = 60). BACKGROUND: Gentrification often leads to changes in the social and physical environment of neighborhoods, which social capital theory has found are connected to aspects of resident health and wellbeing. A growing body of literature has explored the impact of gentrification on health and wellbeing of residents. The goal of this study is to qualitatively explore the ways in which gentrification may have impacted perceptions of neighborhood satisfaction, social cohesion, and health of neighborhood residents (n = 60) from two predominantly Black neighborhoods in Pittsburgh, Pennsylvania, one of which experienced Black gentrification during the study's time period. This analysis is unique in its ability to capture experiences of residents who remained in their neighborhood throughout the course of the study, as well as those who moved away from their neighborhood. METHODS: Participants were randomly selected from a larger cohort enrolled in a quasi-experimental study and categorized by whether they lived in a census tract that gentrified, whether they owned or rented their home, and whether they moved from the neighborhood or remained in the same place of residence between 2011 and 2018. Phone interviews lasting approximately 30 min were conducted with participants and were audio recorded and transcribed verbatim. Participants were provided a $40 gift card for their time. Interview data were analyzed using a directed content approach, and Cohen's Kappa was obtained (k = 0.924) to signal good inter-rater reliability. RESULTS: Results showed renters in gentrified census tracts overwhelmingly viewed gentrification trends as a negative change compared to homeowners. Overall, participants from gentrified census tracts reported being relatively satisfied with their neighborhood, though some suggested there were fewer resources in the neighborhood over time; felt their social cohesion had deteriorated over time; and more commonly reflected negative health changes over time. CONCLUSIONS: These findings suggest that while gentrification can bring much needed improvements to neighborhoods, it can also bring other disruptive changes that affect the health and wellbeing of existing residents.",TRUE
37792250,Police Bias and Low Relatability and Diet Quality: Examining the Importance of Psychosocial Factors in Predominantly Black Communities.,"How police bias and low relatability may contribute to poor dietary quality is poorly understood. In this cross-sectional study, we analyzed data from 2021 from a cohort of n = 724 adults living in predominantly Black communities in Pittsburgh, Pennsylvania; these adults were mostly Black (90.6%), low-income (median household income $17,500), and women (79.3%). We estimated direct and indirect paths between police mistrust and dietary quality (measured by Healthy Eating Index (HEI)-2015) through perceived stress, community connectedness, and subjective social status. Dietary quality was poor (mean HEI-2015 score was 50) and mistrust of police was high: 78% of participants either agreed or strongly agreed that something they say might be interpreted as criminal by the police due to their race/ethnicity. Police bias and low relatability was associated with lower perceived social status [Formula: see text]=  - 0.03 (95% confidence interval [CI]: - 0.05, - 0.01). Police bias and low relatability was marginally associated with low dietary quality β =  - 0.14 (95% CI: - 0.29, 0.02). Nineteen percent of the total association between police bias and low relatability and lower dietary quality β =  - 0.16 (- 0.01, - 0.31) was explained by an indirect association through lower community connectedness, or how close respondents felt with their community [Formula: see text] Police bias and low relatability may play a role in community connection, social status, and ultimately dietary disparities for Black Americans. Addressing police bias and low relatability is a continuing and pressing public health issue.",2023,"Police Bias and Low Relatability and Diet Quality: Examining the Importance of Psychosocial Factors in Predominantly Black Communities. How police bias and low relatability may contribute to poor dietary quality is poorly understood. In this cross-sectional study, we analyzed data from 2021 from a cohort of n = 724 adults living in predominantly Black communities in Pittsburgh, Pennsylvania; these adults were mostly Black (90.6%), low-income (median household income $17,500), and women (79.3%). We estimated direct and indirect paths between police mistrust and dietary quality (measured by Healthy Eating Index (HEI)-2015) through perceived stress, community connectedness, and subjective social status. Dietary quality was poor (mean HEI-2015 score was 50) and mistrust of police was high: 78% of participants either agreed or strongly agreed that something they say might be interpreted as criminal by the police due to their race/ethnicity. Police bias and low relatability was associated with lower perceived social status [Formula: see text]=  - 0.03 (95% confidence interval [CI]: - 0.05, - 0.01). Police bias and low relatability was marginally associated with low dietary quality β =  - 0.14 (95% CI: - 0.29, 0.02). Nineteen percent of the total association between police bias and low relatability and lower dietary quality β =  - 0.16 (- 0.01, - 0.31) was explained by an indirect association through lower community connectedness, or how close respondents felt with their community [Formula: see text] Police bias and low relatability may play a role in community connection, social status, and ultimately dietary disparities for Black Americans. Addressing police bias and low relatability is a continuing and pressing public health issue.",TRUE
