dataset,metric,value,top_x,year,computed_date
PROSPER,n_papers,259,NA,NA,2026-06-24
PROSPER,n_authors,193,NA,NA,2026-06-24
PROSPER,top_x_share,0.6332046332046332,1,NA,2026-06-24
PROSPER,top_x_share,0.803088803088803,3,NA,2026-06-24
PROSPER,top_x_share,0.8378378378378378,5,NA,2026-06-24
PROSPER,top_x_share,0.8803088803088803,10,NA,2026-06-24
PROSPER,top_x_share,0.918918918918919,20,NA,2026-06-24
PROSPER,top_x_share,1,1,1993,2026-06-24
PROSPER,top_x_share,1,3,1993,2026-06-24
PROSPER,top_x_share,1,5,1993,2026-06-24
PROSPER,top_x_share,1,10,1993,2026-06-24
PROSPER,top_x_share,1,20,1993,2026-06-24
PROSPER,top_x_share,0.6666666666666666,1,1995,2026-06-24
PROSPER,top_x_share,0.6666666666666666,3,1995,2026-06-24
PROSPER,top_x_share,1,5,1995,2026-06-24
PROSPER,top_x_share,1,10,1995,2026-06-24
PROSPER,top_x_share,1,20,1995,2026-06-24
PROSPER,top_x_share,1,1,1996,2026-06-24
PROSPER,top_x_share,1,3,1996,2026-06-24
PROSPER,top_x_share,1,5,1996,2026-06-24
PROSPER,top_x_share,1,10,1996,2026-06-24
PROSPER,top_x_share,1,20,1996,2026-06-24
PROSPER,top_x_share,0.625,1,1997,2026-06-24
PROSPER,top_x_share,0.625,3,1997,2026-06-24
PROSPER,top_x_share,1,5,1997,2026-06-24
PROSPER,top_x_share,1,10,1997,2026-06-24
PROSPER,top_x_share,1,20,1997,2026-06-24
PROSPER,top_x_share,1,1,1998,2026-06-24
PROSPER,top_x_share,1,3,1998,2026-06-24
PROSPER,top_x_share,1,5,1998,2026-06-24
PROSPER,top_x_share,1,10,1998,2026-06-24
PROSPER,top_x_share,1,20,1998,2026-06-24
PROSPER,top_x_share,0.7777777777777778,1,1999,2026-06-24
PROSPER,top_x_share,0.7777777777777778,3,1999,2026-06-24
PROSPER,top_x_share,0.8888888888888888,5,1999,2026-06-24
PROSPER,top_x_share,1,10,1999,2026-06-24
PROSPER,top_x_share,1,20,1999,2026-06-24
PROSPER,top_x_share,1,1,2000,2026-06-24
PROSPER,top_x_share,1,3,2000,2026-06-24
PROSPER,top_x_share,1,5,2000,2026-06-24
PROSPER,top_x_share,1,10,2000,2026-06-24
PROSPER,top_x_share,1,20,2000,2026-06-24
PROSPER,top_x_share,0.875,1,2001,2026-06-24
PROSPER,top_x_share,0.875,3,2001,2026-06-24
PROSPER,top_x_share,0.875,5,2001,2026-06-24
PROSPER,top_x_share,1,10,2001,2026-06-24
PROSPER,top_x_share,1,20,2001,2026-06-24
PROSPER,top_x_share,0.8888888888888888,1,2002,2026-06-24
PROSPER,top_x_share,0.8888888888888888,3,2002,2026-06-24
PROSPER,top_x_share,0.8888888888888888,5,2002,2026-06-24
