author_raw,author_id,notes,merged_by,merged_date
Feinberg M,Feinberg ME,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Goldberg-Lillehoj CJ,Goldberg-Lillehoj C,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Goldberg C,Goldberg CJ,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Greenberg M,Greenberg MT,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Johnson L,Johnson LE,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Jones D,Jones DE,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Kreager D,Kreager DA,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Lippold M,Lippold MA,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Mincemoyer C,Mincemoyer CC,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Spoth RL,Spoth R,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Stubben J,Stubben JD,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Welsh J,Welsh JA,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Woessner M,Woessner MK,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
Wolf PS,Wolf PSA,Auto-merge: same last name and first initial (project rule),auto_initial_rule,2026-06-24
