author_id,n_papers,paper_share
Judd SE,345,0.38633818589025753
Safford MM,306,0.3426651735722284
Howard VJ,296,0.3314669652855543
Howard G,276,0.3090705487122061
Cushman M,247,0.2765957446808511
Muntner P,153,0.1713325867861142
McClure LA,133,0.14893617021276595
Levitan EB,100,0.11198208286674133
Irvin MR,84,0.0940649496080627
Wadley VG,79,0.08846584546472565
Soliman EZ,74,0.08286674132138858
Zakai NA,73,0.08174692049272117
Kissela BM,67,0.07502799552071669
Gutiérrez OM,60,0.0671892497200448
McClellan W,57,0.06382978723404255
Long DL,54,0.060470324748040316
Colantonio LD,50,0.055991041433370664
Kleindorfer DO,49,0.054871220604703244
Warnock DG,49,0.054871220604703244
Unverzagt FW,48,0.05375139977603583
Brown TM,46,0.051511758118701005
Roth DL,46,0.051511758118701005
Goyal P,41,0.04591265397536394
Carson AP,38,0.0425531914893617
Wang HE,37,0.04143337066069429
Durant RW,36,0.040313549832026875
Shikany JM,35,0.03919372900335946
Pinheiro LC,34,0.03807390817469205
Rhodes JD,32,0.03583426651735722
Lackland DT,30,0.0335946248600224
Sterling MR,29,0.032474804031354984
Haley WE,28,0.03135498320268757
Glasser SP,27,0.030235162374020158
Plante TB,27,0.030235162374020158
Lange LA,26,0.029115341545352745
Tiwari HK,25,0.027995520716685332
Armstrong ND,24,0.026875699888017916
Manly JJ,24,0.026875699888017916
Khodneva Y,23,0.025755879059350503
O'Neal WT,23,0.025755879059350503
Patki A,23,0.025755879059350503
Prineas RJ,23,0.025755879059350503
Colabianchi N,22,0.02463605823068309
Crowe M,22,0.02463605823068309
Jenny NS,21,0.023516237402015677
Ringel JB,21,0.023516237402015677
Tanner RM,21,0.023516237402015677
Griffin R,20,0.022396416573348264
Limdi NA,20,0.022396416573348264
Meschia JF,20,0.022396416573348264
Moy CS,20,0.022396416573348264
Shlipak MG,19,0.02127659574468085
Chaudhary NS,18,0.020156774916013438
Kern LM,18,0.020156774916013438
Levine DA,18,0.020156774916013438
Moore JX,18,0.020156774916013438
Richman JS,18,0.020156774916013438
Shimbo D,18,0.020156774916013438
Arnett DK,17,0.019036954087346025
Bennett A,17,0.019036954087346025
Clarke P,17,0.019036954087346025
Hooker SP,17,0.019036954087346025
Reshetnyak E,17,0.019036954087346025
Akinyemiju T,16,0.01791713325867861
Arora P,16,0.01791713325867861
Booth JN,16,0.01791713325867861
Donnelly JP,16,0.01791713325867861
Gutierrez OM,16,0.01791713325867861
Kennedy RE,16,0.01791713325867861
Oparil S,16,0.01791713325867861
Clay OJ,15,0.0167973124300112
Curtis JR,15,0.0167973124300112
Psaty BM,15,0.0167973124300112
Rich SS,15,0.0167973124300112
Thacker EL,15,0.0167973124300112
Winkler CA,15,0.0167973124300112
Bowling CB,14,0.015677491601343786
Coresh J,14,0.015677491601343786
Kent ST,14,0.015677491601343786
Rosenson RS,14,0.015677491601343786
Rotter JI,14,0.015677491601343786
Sheehan OC,14,0.015677491601343786
Cherrington AL,13,0.014557670772676373
Cheung KL,13,0.014557670772676373
Kamin Mukaz D,13,0.014557670772676373
Matsushita K,13,0.014557670772676373
Newby PK,13,0.014557670772676373
Rajan M,13,0.014557670772676373
Reiner AP,13,0.014557670772676373
Srinivasasainagendra V,13,0.014557670772676373
Correa A,12,0.013437849944008958
Halanych JH,12,0.013437849944008958
Jones AC,12,0.013437849944008958
Kabagambe EK,12,0.013437849944008958
Katz R,12,0.013437849944008958
Letter AJ,12,0.013437849944008958
Yuan Y,12,0.013437849944008958
Ament Z,11,0.012318029115341545
Bittner V,11,0.012318029115341545
Calhoun DA,11,0.012318029115341545
Cummings DM,11,0.012318029115341545
Fornage M,11,0.012318029115341545
Gamboa CM,11,0.012318029115341545
Goodman M,11,0.012318029115341545
Huang J,11,0.012318029115341545
Hyacinth HI,11,0.012318029115341545
Ix JH,11,0.012318029115341545
Kimberly WT,11,0.012318029115341545
Koh I,11,0.012318029115341545
Kopp JB,11,0.012318029115341545
Naik RP,11,0.012318029115341545
Olson NC,11,0.012318029115341545
Sarnak MJ,11,0.012318029115341545
Vasan RS,11,0.012318029115341545
Woodward M,11,0.012318029115341545
Banach M,10,0.011198208286674132
Jackson EA,10,0.011198208286674132
Kilgore ML,10,0.011198208286674132
Kooperberg C,10,0.011198208286674132
Lange EM,10,0.011198208286674132
Manson JE,10,0.011198208286674132
Panwar B,10,0.011198208286674132
Pulley L,10,0.011198208286674132
Reynolds K,10,0.011198208286674132
Wilson JG,10,0.011198208286674132
Al-Hamdan MZ,9,0.010078387458006719
Bhave VM,9,0.010078387458006719
Blair SN,9,0.010078387458006719
Bress AP,9,0.010078387458006719
Callas PW,9,0.010078387458006719
Chen L,9,0.010078387458006719
Crews DC,9,0.010078387458006719
Guo X,9,0.010078387458006719
Hutto B,9,0.010078387458006719
Kamel H,9,0.010078387458006719
Kijpaisalratana N,9,0.010078387458006719
Kurella Tamura M,9,0.010078387458006719
Loos RJF,9,0.010078387458006719
Newsome BB,9,0.010078387458006719
Nicoli CD,9,0.010078387458006719
Sale MM,9,0.010078387458006719
Schellenberg GD,9,0.010078387458006719
Shapiro NI,9,0.010078387458006719
Wang LS,9,0.010078387458006719
Zhang Y,9,0.010078387458006719
Akinyelure OP,8,0.008958566629339306
Banerjee S,8,0.008958566629339306
Bostick RM,8,0.008958566629339306
Crosson WL,8,0.008958566629339306
Diaz KM,8,0.008958566629339306
Elkind MSV,8,0.008958566629339306
Esposito M,8,0.008958566629339306
Farkouh ME,8,0.008958566629339306
Gansevoort RT,8,0.008958566629339306
Gillett SR,8,0.008958566629339306
Glymour MM,8,0.008958566629339306
Guo B,8,0.008958566629339306
Jaeger BC,8,0.008958566629339306
Levey AS,8,0.008958566629339306
Liu C,8,0.008958566629339306
Liu S,8,0.008958566629339306
Lovasi GS,8,0.008958566629339306
MacDonald LA,8,0.008958566629339306
Mefford MT,8,0.008958566629339306
Monda KL,8,0.008958566629339306
Nalls MA,8,0.008958566629339306
Peralta CA,8,0.008958566629339306
Tracy RP,8,0.008958566629339306
Arora G,7,0.007838745800671893
Astor BC,7,0.007838745800671893
Casalino LP,7,0.007838745800671893
Chronic Kidney Disease Prognosis Consortium,7,0.007838745800671893
Finlay J,7,0.007838745800671893
Flanders WD,7,0.007838745800671893
Goff DC,7,0.007838745800671893
Haines JL,7,0.007838745800671893
He K,7,0.007838745800671893
Kahe K,7,0.007838745800671893
Kramer H,7,0.007838745800671893
Lakoski SG,7,0.007838745800671893
Le A,7,0.007838745800671893
Lee WP,7,0.007838745800671893
Petrov ME,7,0.007838745800671893
Prince V,7,0.007838745800671893
Redmond N,7,0.007838745800671893
Sims M,7,0.007838745800671893
Tajeu GS,7,0.007838745800671893
Vena JE,7,0.007838745800671893
Wilkinson K,7,0.007838745800671893
Woo D,7,0.007838745800671893
Yi N,7,0.007838745800671893
Zhao H,7,0.007838745800671893
Zhi D,7,0.007838745800671893
Albright KC,6,0.006718924972004479
Blair J,6,0.006718924972004479
Blinka MD,6,0.006718924972004479
Bush WS,6,0.006718924972004479
Chen WM,6,0.006718924972004479
Chen YI,6,0.006718924972004479
Cole SA,6,0.006718924972004479
Couch CA,6,0.006718924972004479
Estrella MM,6,0.006718924972004479
Evans MK,6,0.006718924972004479
Farrer LA,6,0.006718924972004479
Flaherty ML,6,0.006718924972004479
Franceschini N,6,0.006718924972004479
Gao L,6,0.006718924972004479
