period,period_start,period_end,metric,value,top_x,cluster,domain
"Domain 2: hypertension, antihypertensive, medication, resistant",NA,NA,n_papers,63,NA,2,"Domain 2: hypertension, antihypertensive, medication, resistant"
"Domain 2: hypertension, antihypertensive, medication, resistant",NA,NA,n_authors,262,NA,2,"Domain 2: hypertension, antihypertensive, medication, resistant"
"Domain 2: hypertension, antihypertensive, medication, resistant",NA,NA,hhi,1.4567901234567866,NA,2,"Domain 2: hypertension, antihypertensive, medication, resistant"
"Domain 2: hypertension, antihypertensive, medication, resistant",NA,NA,top_x_share,0.5396825396825397,1,2,"Domain 2: hypertension, antihypertensive, medication, resistant"
"Domain 2: hypertension, antihypertensive, medication, resistant",NA,NA,top_x_share,0.8571428571428571,3,2,"Domain 2: hypertension, antihypertensive, medication, resistant"
"Domain 2: hypertension, antihypertensive, medication, resistant",NA,NA,top_x_share,0.9206349206349206,5,2,"Domain 2: hypertension, antihypertensive, medication, resistant"
"Domain 2: hypertension, antihypertensive, medication, resistant",NA,NA,top_x_share,0.9365079365079365,10,2,"Domain 2: hypertension, antihypertensive, medication, resistant"
"Domain 3: cancer, mortality, survivors, sepsis",NA,NA,n_papers,22,NA,3,"Domain 3: cancer, mortality, survivors, sepsis"
"Domain 3: cancer, mortality, survivors, sepsis",NA,NA,n_authors,66,NA,3,"Domain 3: cancer, mortality, survivors, sepsis"
"Domain 3: cancer, mortality, survivors, sepsis",NA,NA,hhi,1.7913223140495849,NA,3,"Domain 3: cancer, mortality, survivors, sepsis"
"Domain 3: cancer, mortality, survivors, sepsis",NA,NA,top_x_share,0.5454545454545454,1,3,"Domain 3: cancer, mortality, survivors, sepsis"
"Domain 3: cancer, mortality, survivors, sepsis",NA,NA,top_x_share,0.8636363636363636,3,3,"Domain 3: cancer, mortality, survivors, sepsis"
"Domain 3: cancer, mortality, survivors, sepsis",NA,NA,top_x_share,0.9545454545454546,5,3,"Domain 3: cancer, mortality, survivors, sepsis"
"Domain 3: cancer, mortality, survivors, sepsis",NA,NA,top_x_share,1,10,3,"Domain 3: cancer, mortality, survivors, sepsis"
"Domain 4: caregivers, caregiving, family, stress",NA,NA,n_papers,23,NA,4,"Domain 4: caregivers, caregiving, family, stress"
"Domain 4: caregivers, caregiving, family, stress",NA,NA,n_authors,53,NA,4,"Domain 4: caregivers, caregiving, family, stress"
"Domain 4: caregivers, caregiving, family, stress",NA,NA,hhi,2.6899810964083106,NA,4,"Domain 4: caregivers, caregiving, family, stress"
"Domain 4: caregivers, caregiving, family, stress",NA,NA,top_x_share,1,1,4,"Domain 4: caregivers, caregiving, family, stress"
"Domain 4: caregivers, caregiving, family, stress",NA,NA,top_x_share,1,3,4,"Domain 4: caregivers, caregiving, family, stress"
"Domain 4: caregivers, caregiving, family, stress",NA,NA,top_x_share,1,5,4,"Domain 4: caregivers, caregiving, family, stress"
"Domain 4: caregivers, caregiving, family, stress",NA,NA,top_x_share,1,10,4,"Domain 4: caregivers, caregiving, family, stress"
"Domain 5: sepsis, infection, community, events",NA,NA,n_papers,31,NA,5,"Domain 5: sepsis, infection, community, events"
"Domain 5: sepsis, infection, community, events",NA,NA,n_authors,63,NA,5,"Domain 5: sepsis, infection, community, events"
"Domain 5: sepsis, infection, community, events",NA,NA,hhi,2.6919875130072914,NA,5,"Domain 5: sepsis, infection, community, events"
"Domain 5: sepsis, infection, community, events",NA,NA,top_x_share,1,1,5,"Domain 5: sepsis, infection, community, events"
"Domain 5: sepsis, infection, community, events",NA,NA,top_x_share,1,3,5,"Domain 5: sepsis, infection, community, events"
"Domain 5: sepsis, infection, community, events",NA,NA,top_x_share,1,5,5,"Domain 5: sepsis, infection, community, events"
"Domain 5: sepsis, infection, community, events",NA,NA,top_x_share,1,10,5,"Domain 5: sepsis, infection, community, events"
"Domain 6: chd, mortality, incident, diabetes",NA,NA,n_papers,664,NA,6,"Domain 6: chd, mortality, incident, diabetes"
"Domain 6: chd, mortality, incident, diabetes",NA,NA,n_authors,3120,NA,6,"Domain 6: chd, mortality, incident, diabetes"
"Domain 6: chd, mortality, incident, diabetes",NA,NA,hhi,0.7935272717374381,NA,6,"Domain 6: chd, mortality, incident, diabetes"
"Domain 6: chd, mortality, incident, diabetes",NA,NA,top_x_share,0.3960843373493976,1,6,"Domain 6: chd, mortality, incident, diabetes"
"Domain 6: chd, mortality, incident, diabetes",NA,NA,top_x_share,0.7515060240963856,3,6,"Domain 6: chd, mortality, incident, diabetes"
"Domain 6: chd, mortality, incident, diabetes",NA,NA,top_x_share,0.8373493975903614,5,6,"Domain 6: chd, mortality, incident, diabetes"
"Domain 6: chd, mortality, incident, diabetes",NA,NA,top_x_share,0.8930722891566265,10,6,"Domain 6: chd, mortality, incident, diabetes"
"Domain 7: cognitive, impairment, function, decline",NA,NA,n_papers,88,NA,7,"Domain 7: cognitive, impairment, function, decline"
"Domain 7: cognitive, impairment, function, decline",NA,NA,n_authors,345,NA,7,"Domain 7: cognitive, impairment, function, decline"
"Domain 7: cognitive, impairment, function, decline",NA,NA,hhi,1.306818181818191,NA,7,"Domain 7: cognitive, impairment, function, decline"
"Domain 7: cognitive, impairment, function, decline",NA,NA,top_x_share,0.5454545454545454,1,7,"Domain 7: cognitive, impairment, function, decline"
"Domain 7: cognitive, impairment, function, decline",NA,NA,top_x_share,0.8295454545454546,3,7,"Domain 7: cognitive, impairment, function, decline"
"Domain 7: cognitive, impairment, function, decline",NA,NA,top_x_share,0.9545454545454546,5,7,"Domain 7: cognitive, impairment, function, decline"
"Domain 7: cognitive, impairment, function, decline",NA,NA,top_x_share,1,10,7,"Domain 7: cognitive, impairment, function, decline"
