author_raw,n_papers,last_name,initials,Same?,Combine with?
Arora P,16,Arora,P,Y,
Arora G,7,Arora,G,Y,
Blair SN,9,Blair,SN,Y,
Blair J,6,Blair,J,Y,
Chen L,9,Chen,L,Y,
Chen WM,6,Chen,WM,Y,
Chen YI,6,Chen,YI,Y,
Chen C,5,Chen,C,Y,
Chen G,5,Chen,G,Y,
Cherrington AL,8,Cherrington,AL,Y,
Cherrington A,5,Cherrington,A,Y,11
Clarke P,12,Clarke,P,Y,
Clarke PJ,5,Clarke,PJ,Y,13
Durant RW,30,Durant,RW,Y,
Durant R,6,Durant,R,Y,15
Griffin R,15,Griffin,R,Y,
Griffin RL,5,Griffin,RL,Y,17
Guo X,9,Guo,X,Y,
Guo B,8,Guo,B,Y,
Howard G,276,Howard,G,Y,
Howard VJ,273,Howard,VJ,Y,
Howard V,23,Howard,V,Y,22
Judd SE,254,Judd,SE,Y,
Judd S,91,Judd,S,Y,14
Kennedy RE,9,Kennedy,RE,Y,
Kennedy R,7,Kennedy,R,Y,26
Kissela BM,35,Kissela,BM,Y,
Kissela B,32,Kissela,B,Y,28
Kleindorfer DO,29,Kleindorfer,DO,Y,
Kleindorfer D,20,Kleindorfer,D,Y,30
Lange LA,26,Lange,LA,Y,
Lange EM,10,Lange,EM,Y,
Lange L,5,Lange,L,Y,
Li M,5,Li,M,Y,
Li Y,5,Li,Y,Y,
Limdi NA,15,Limdi,NA,Y,
Limdi N,5,Limdi,N,Y,37
Liu C,8,Liu,C,Y,
Liu S,8,Liu,S,Y,
Liu Y,7,Liu,Y,Y,
Long DL,54,Long,DL,Y,
Long L,5,Long,L,Y,
Manly JJ,19,Manly,JJ,Y,
Manly J,5,Manly,J,Y,44
McClellan W,30,McClellan,W,Y,
McClellan WM,27,McClellan,WM,Y,46
Muntner P,146,Muntner,P,Y,
Muntner PM,7,Muntner,PM,Y,48
Prineas RJ,17,Prineas,RJ,Y,
Prineas R,6,Prineas,R,Y,50
Reynolds K,10,Reynolds,K,Y,
Reynolds RJ,6,Reynolds,RJ,Y,
Rhodes JD,32,Rhodes,JD,Y,
Rhodes D,5,Rhodes,D,Y,
Richman JS,10,Richman,JS,Y,
Richman J,8,Richman,J,Y,56
Safford MM,277,Safford,MM,Y,
Safford M,29,Safford,M,Y,58
Unverzagt FW,35,Unverzagt,FW,Y,
Unverzagt F,13,Unverzagt,F,Y,60
Wadley VG,70,Wadley,VG,Y,
Wadley V,9,Wadley,V,Y,62
Wang HE,37,Wang,HE,Y,
Wang LS,9,Wang,LS,Y,
Wang H,6,Wang,H,Y,
Zhang Y,9,Zhang,Y,Y,
Zhang L,6,Zhang,L,Y,
Zhang X,6,Zhang,X,Y,
Zhao H,7,Zhao,H,Y,
Zhao W,6,Zhao,W,Y,
