author_raw,author_id,notes,merged_by,merged_date
Cherrington A,Cherrington AL,Merged per reviewed alias_suggestions.csv (line 12 -> 11). ,jmfletcher,2026-06-23
Clarke PJ,Clarke P,Merged per reviewed alias_suggestions.csv (line 14 -> 13). ,jmfletcher,2026-06-23
Durant R,Durant RW,Merged per reviewed alias_suggestions.csv (line 16 -> 15). ,jmfletcher,2026-06-23
Griffin RL,Griffin R,Merged per reviewed alias_suggestions.csv (line 18 -> 17). ,jmfletcher,2026-06-23
Howard V,Howard VJ,Merged per reviewed alias_suggestions.csv (line 23 -> 22). ,jmfletcher,2026-06-23
Judd S,Judd SE,Merged per reviewed alias_suggestions.csv (line 25 -> 24). Corrected target line to Judd SE.,jmfletcher,2026-06-23
Kennedy R,Kennedy RE,Merged per reviewed alias_suggestions.csv (line 27 -> 26). ,jmfletcher,2026-06-23
Kissela B,Kissela BM,Merged per reviewed alias_suggestions.csv (line 29 -> 28). ,jmfletcher,2026-06-23
Kleindorfer D,Kleindorfer DO,Merged per reviewed alias_suggestions.csv (line 31 -> 30). ,jmfletcher,2026-06-23
Limdi N,Limdi NA,Merged per reviewed alias_suggestions.csv (line 38 -> 37). ,jmfletcher,2026-06-23
Manly J,Manly JJ,Merged per reviewed alias_suggestions.csv (line 45 -> 44). ,jmfletcher,2026-06-23
McClellan WM,McClellan W,Merged per reviewed alias_suggestions.csv (line 47 -> 46). ,jmfletcher,2026-06-23
Muntner PM,Muntner P,Merged per reviewed alias_suggestions.csv (line 49 -> 48). ,jmfletcher,2026-06-23
Prineas R,Prineas RJ,Merged per reviewed alias_suggestions.csv (line 51 -> 50). ,jmfletcher,2026-06-23
Richman J,Richman JS,Merged per reviewed alias_suggestions.csv (line 57 -> 56). ,jmfletcher,2026-06-23
Safford M,Safford MM,Merged per reviewed alias_suggestions.csv (line 59 -> 58). ,jmfletcher,2026-06-23
Unverzagt F,Unverzagt FW,Merged per reviewed alias_suggestions.csv (line 61 -> 60). ,jmfletcher,2026-06-23
Wadley V,Wadley VG,Merged per reviewed alias_suggestions.csv (line 63 -> 62). ,jmfletcher,2026-06-23
