pmid,title,pub_year,cluster,domain,has_abstract
42131939,Prior Myocardial Infarction and Cognitive Decline: The REGARDS Cohort.,2026,7,"Domain 7: cognitive, impairment, function, decline",TRUE
42082852,Reevaluating the Alcohol-Cancer Link: Long-Term Cancer Mortality Outcomes in the REGARDS Study.,2026,3,"Domain 3: cancer, mortality, survivors, sepsis",TRUE
42015047,Blood mitochondrial heteroplasmic variants and cognitive performance in late midlife: REGARDS study.,2026,7,"Domain 7: cognitive, impairment, function, decline",TRUE
41952255,Lower Urinary Tract Symptoms and Cognitive Impairment Among Participants in the REGARDS Cohort Study.,2026,7,"Domain 7: cognitive, impairment, function, decline",TRUE
41938718,Development intensity and incident stroke risk: a longitudinal study of the REGARDS cohort.,2026,6,"Domain 6: chd, mortality, incident, diabetes",TRUE
41824925,Circulating Biomarkers of Neurodegeneration and All-Cause and Dementia-Specific Mortality.,2026,6,"Domain 6: chd, mortality, incident, diabetes",TRUE
41722898,Lexical and clinical predictors of verbal fluency interword intervals preceding cognitive impairment.,2026,7,"Domain 7: cognitive, impairment, function, decline",FALSE
41646705,"A metabolite index of ultra-processed food intake is associated with stroke, cancer mortality, and all-cause mortality.",2026,6,"Domain 6: chd, mortality, incident, diabetes",TRUE
41542129,Association Between Markers of Atrial Cardiopathy and Cognitive Impairment Risk Among Adults with No Suggestive History of Atrial Fibrillation.,2025,7,"Domain 7: cognitive, impairment, function, decline",TRUE
41526367,Dark and camouflaged genomic regions remain challenging in CHM13.,2026,6,"Domain 6: chd, mortality, incident, diabetes",TRUE
41478446,Atrial Fibrillation and Risk of Incident Cognitive Impairment: The REasons for Geographic and Racial Differences in Stroke Study.,2026,7,"Domain 7: cognitive, impairment, function, decline",TRUE
41435906,"Integration of genetic risk, cardiometabolic diseases, and cognitive impairment among African American adults.",2026,6,"Domain 6: chd, mortality, incident, diabetes",TRUE
41349453,"Birthplace, perinatal loss, and the parity-post-reproductive mortality relationship: Evidence from the Jim Crow-era American South.",2026,6,"Domain 6: chd, mortality, incident, diabetes",TRUE
41307005,Soluble receptor for advanced glycation end products and diabetes in Black and White Americans: the REGARDS Study.,2025,6,"Domain 6: chd, mortality, incident, diabetes",TRUE
41292653,Improving performance of polygenic risk scores for hypertension across two ancestry groups.,2025,6,"Domain 6: chd, mortality, incident, diabetes",TRUE
41282686,Cross-Ancestry Polygenic Risk Scores Enhance Alzheimer's Disease Risk Prediction in Multiethnic Cohorts.,2025,6,"Domain 6: chd, mortality, incident, diabetes",TRUE
41268856,The role of genomic-informed risk assessments in predicting dementia outcomes.,2025,6,"Domain 6: chd, mortality, incident, diabetes",TRUE
41258992,"Response to Comment on ""Soluble Receptor for Advanced Glycation End Products and Incident Hypertension in REGARDS"".",2026,2,"Domain 2: hypertension, antihypertensive, medication, resistant",FALSE
41252354,"Association between cigarette smoking status, intensity, and cessation duration with long-term incidence of nine cardiovascular and mortality outcomes: The Cross-Cohort Collaboration (CCC).",2025,6,"Domain 6: chd, mortality, incident, diabetes",TRUE
41249037,Isolated non-specific electrocardiographic ST-T abnormalities and risk of incident heart failure and its subtypes.,2025,6,"Domain 6: chd, mortality, incident, diabetes",TRUE
41231230,Integrative multi-omics approaches identify molecular pathways and improve Alzheimer's disease risk prediction.,2025,6,"Domain 6: chd, mortality, incident, diabetes",TRUE
41065614,Life's Essential 8 and Incident Heart Failure Among REGARDS Participants With and Without Diabetes.,2026,6,"Domain 6: chd, mortality, incident, diabetes",FALSE
41025450,"Residential Racial Segregation, Socioeconomic Status, and Hypertension Risk in Black and White Americans: The REGARDS Prospective Cohort Study.",2025,2,"Domain 2: hypertension, antihypertensive, medication, resistant",TRUE
40988999,Cognitive data harmonization across two racially diverse cohorts in the United States.,2025,7,"Domain 7: cognitive, impairment, function, decline",TRUE
40971549,Loneliness and Risk of 30-Day Hospital Readmission After Acute Myocardial Infarction.,2025,6,"Domain 6: chd, mortality, incident, diabetes",TRUE
40894023,Markers of left atrial cardiopathy and cognitive function trajectories in adults aged ≥45 years without atrial fibrillation: a population-based study.,2025,7,"Domain 7: cognitive, impairment, function, decline",TRUE
40774831,Circulating biomarkers and ischemic stroke risk in adults with atrial fibrillation taking anticoagulation: the Reasons for Geographic And Racial Differences in Stroke study.,2025,6,"Domain 6: chd, mortality, incident, diabetes",TRUE
40774830,Improving stroke risk prediction in atrial fibrillation with circulating biomarkers: the CHA2DS2-VASc-Biomarkers model.,2025,6,"Domain 6: chd, mortality, incident, diabetes",TRUE
40728881,Association of Transthyretin Valine to Isoleucine Variant with Kidney Outcomes in Community-Dwelling Black Adults: The Reasons for Geographic and Racial Differences in Stroke Cohort.,2025,6,"Domain 6: chd, mortality, incident, diabetes",FALSE
40704449,Exploring potential mechanisms of an African protective locus for Alzheimer's disease in APOEε4 carriers.,2025,6,"Domain 6: chd, mortality, incident, diabetes",TRUE
40668582,Self-Reported Resilience During the COVID-19 Pandemic.,2025,6,"Domain 6: chd, mortality, incident, diabetes",TRUE
40641286,"""Shaking the ladder"" reveals how analytic choices can influence associations in nutrition epidemiology: beef intake and coronary heart disease as a case study.",2026,6,"Domain 6: chd, mortality, incident, diabetes",TRUE
