pmid,source
42131939,esearch
42082852,esearch
42015047,esearch
41952255,esearch
41938718,esearch
41824925,esearch
41722898,esearch
41646705,esearch
41542129,esearch
41526367,esearch
41478446,esearch
41435906,esearch
41349453,esearch
41307005,esearch
41292653,esearch
41282686,esearch
41268856,esearch
41258992,esearch
41252354,esearch
41249037,esearch
41231230,esearch
41065614,esearch
41025450,esearch
40988999,esearch
40971549,esearch
40894023,esearch
40774831,esearch
40774830,esearch
40728881,esearch
40704449,esearch
40668582,esearch
40641286,esearch
40611493,esearch
40585132,esearch
40545618,esearch
40513855,esearch
40502591,esearch
40502163,esearch
40451158,esearch
40407102,esearch
40394218,esearch
40366089,esearch
40295203,esearch
40253926,esearch
40247451,esearch
40207510,esearch
40164932,esearch
40156350,esearch
40136300,esearch
40127909,esearch
40107919,esearch
40085155,esearch
40074467,esearch
40051084,esearch
40050322,esearch
39928595,esearch
39927418,esearch
39921333,esearch
39875385,esearch
39866105,esearch
39843671,esearch
39839804,esearch
39822590,esearch
39818266,esearch
39817332,esearch
39804282,esearch
39729264,esearch
39677464,esearch
39652331,esearch
39648907,esearch
39453943,esearch
39450443,esearch
39444005,esearch
39441603,esearch
39417134,esearch
39371140,esearch
39354067,esearch
39329415,esearch
39248269,esearch
39238828,esearch
39231381,esearch
39206730,esearch
39142705,esearch
39125339,esearch
39109807,esearch
39073889,esearch
39056351,esearch
39038094,esearch
39034653,esearch
38978676,esearch
38903124,esearch
38884994,esearch
38881790,esearch
38795742,esearch
38765187,esearch
38745470,esearch
38734952,esearch
38729661,esearch
38725587,esearch
38712163,esearch
38676880,esearch
38669015,esearch
38652672,esearch
38642910,esearch
38637330,esearch
38511198,esearch
38487890,esearch
38482689,esearch
38470993,esearch
38460116,esearch
38458986,esearch
38447086,esearch
38390820,esearch
38374032,esearch
38328917,esearch
38294520,esearch
38280465,esearch
38237104,esearch
38200454,esearch
38190104,esearch
38176533,esearch
38155559,esearch
38134240,esearch
38125204,esearch
38070817,esearch
38064210,esearch
38055247,esearch
38036523,esearch
38014121,esearch
37990505,esearch
37983029,esearch
37954012,esearch
37939143,esearch
37920711,esearch
37866793,esearch
37850400,esearch
37846562,esearch
37813482,esearch
37830200,esearch
37801859,esearch
37780862,esearch
37779905,esearch
37773494,esearch
37730612,esearch
37717468,esearch
37642037,esearch
37636583,esearch
37622047,esearch
37605862,esearch
37578203,esearch
37547016,esearch
37546893,esearch
37533144,esearch
37531033,esearch
37495948,esearch
37480583,esearch
37471144,esearch
37465869,esearch
37428772,esearch
37428734,esearch
37410623,esearch
37407675,esearch
37403029,esearch
37378472,esearch
37341980,esearch
37340856,esearch
37312569,esearch
37260023,esearch
37260021,esearch
37231876,esearch
37229446,esearch
37195662,esearch
37182817,esearch
37168932,esearch
37119297,esearch
37082942,esearch
37068957,esearch
37058527,esearch
37016935,esearch
37013813,esearch
37003081,esearch
36993674,esearch
36942589,esearch
36883380,esearch
36881411,esearch
36858436,esearch
36802918,esearch
36800060,esearch
36786273,esearch
36767249,esearch
36760775,esearch
36717795,esearch
36692561,esearch
36653179,esearch
36621640,esearch
36583503,esearch
36522626,esearch
36468538,esearch
36440885,esearch
36423994,esearch
36417133,esearch
36373825,esearch
36330357,esearch
36250097,esearch
36191742,esearch
36186334,esearch
36180795,esearch
36155327,esearch
36125972,esearch
35966919,esearch
35942870,esearch
35932240,esearch
35926362,esearch
35924680,esearch
35896447,esearch
35834496,esearch
35812302,esearch
35797548,esearch
35765100,esearch
35710995,esearch
35699180,esearch
35657918,esearch
35657680,esearch
35657625,esearch
35655193,esearch
35652341,esearch
35621195,esearch
35571962,esearch
35568129,esearch
35554593,esearch
35551996,esearch
35543307,esearch
35535479,esearch
35446759,esearch
35422166,esearch
35404546,esearch
35377943,esearch
35361506,esearch
35351578,esearch
35343285,esearch
35322678,esearch
35264422,esearch
35234529,esearch
35230623,esearch
35210353,esearch
35179039,esearch
35151322,esearch
35137178,esearch
35120683,esearch
35120553,esearch
35104336,esearch
35103389,esearch
35100591,esearch
35023350,esearch
34992631,esearch
34951656,esearch
34934895,esearch
34903337,esearch
34896817,esearch
34895192,esearch
34865525,esearch
34818566,esearch
34804120,esearch
34784734,esearch
34752914,esearch
34749554,esearch
34742867,esearch
34706968,esearch
34695226,esearch
34673080,esearch
34672390,esearch
34670519,esearch
34657127,esearch
34655288,esearch
34611638,esearch
34521111,esearch
34514816,esearch
34478162,esearch
34470498,esearch
34461676,esearch
34433306,esearch
34431328,esearch
34412513,esearch
34387620,esearch
34339112,esearch
34329187,esearch
34325692,esearch
34325516,esearch
34301156,esearch
34270125,esearch
34196573,esearch
34189926,esearch
34148364,esearch
34137853,esearch
34087323,esearch
34087319,esearch
34077616,esearch
34051343,esearch
34045272,esearch
34031160,esearch
34013344,esearch
34006506,esearch
33962741,esearch
33958425,esearch
33932789,esearch
33899495,esearch
33866274,esearch
33684372,esearch
33675389,esearch
33666392,esearch
33632366,esearch
33615415,esearch
33598444,esearch
33596897,esearch
33570574,esearch
33467879,esearch
33415329,esearch
33399855,esearch
33382815,esearch
33378421,esearch
33326556,esearch
33318134,esearch
33302713,esearch
33302710,esearch
33287278,esearch
33279367,esearch
33273294,esearch
33269599,esearch
33251918,esearch
33246926,esearch
33239356,esearch
33207166,esearch
33140281,esearch
33131312,esearch
33129598,esearch
33119108,esearch
