author_id,n_papers,paper_share
Malecki K,82,0.6666666666666666
Schultz AA,35,0.2845528455284553
Peppard PE,30,0.24390243902439024
Nieto FJ,24,0.1951219512195122
Walsh MC,18,0.14634146341463414
Bersch AJ,17,0.13821138211382114
Cadmus-Bertram L,12,0.0975609756097561
Engelman CD,12,0.0975609756097561
Sethi AK,11,0.08943089430894309
LeCaire TJ,10,0.08130081300813008
Safdar N,9,0.07317073170731707
Eggers S,8,0.06504065040650407
Gangnon RE,8,0.06504065040650407
Nikodemova M,8,0.06504065040650407
Anderson HA,7,0.056910569105691054
Barnet JH,7,0.056910569105691054
Beyer KMM,7,0.056910569105691054
Dillard LK,6,0.04878048780487805
Engelman M,6,0.04878048780487805
Nelson-Bakkum ER,6,0.04878048780487805
Suen G,6,0.04878048780487805
Christensen KY,5,0.04065040650406504
Holzhausen EA,5,0.04065040650406504
Kamis C,5,0.04065040650406504
Martinez-Donate AP,5,0.04065040650406504
McWilliams C,5,0.04065040650406504
Meiman J,5,0.04065040650406504
Thompson BA,5,0.04065040650406504
Xu W,5,0.04065040650406504
Gorzelitz JS,4,0.032520325203252036
Litzelman K,4,0.032520325203252036
Merten N,4,0.032520325203252036
Pomazal R,4,0.032520325203252036
Raymond MR,4,0.032520325203252036
Spicer AB,4,0.032520325203252036
Agnew M,3,0.024390243902439025
Bergmans RS,3,0.024390243902439025
Brennan PF,3,0.024390243902439025
Brown RL,3,0.024390243902439025
Casper GR,3,0.024390243902439025
Clark J,3,0.024390243902439025
Deblois CL,3,0.024390243902439025
Ersig AL,3,0.024390243902439025
Imm P,3,0.024390243902439025
Kates AE,3,0.024390243902439025
Landingham SWv,3,0.024390243902439025
Park EY,3,0.024390243902439025
Ryff CD,3,0.024390243902439025
Salas S,3,0.024390243902439025
Skinner HG,3,0.024390243902439025
Tomasallo CD,3,0.024390243902439025
Witt WP,3,0.024390243902439025
Abercrombie HC,2,0.016260162601626018
Alexander CM,2,0.016260162601626018
Assad N,2,0.016260162601626018
Bailey EJ,2,0.016260162601626018
Bajwa PK,2,0.016260162601626018
Barnes AL,2,0.016260162601626018
Baur JA,2,0.016260162601626018
Bautista LE,2,0.016260162601626018
Bernardinello M,2,0.016260162601626018
Brown HW,2,0.016260162601626018
Che J,2,0.016260162601626018
Cheng EP,2,0.016260162601626018
Davidson RJ,2,0.016260162601626018
Duster M,2,0.016260162601626018
Dykema J,2,0.016260162601626018
Escaron AL,2,0.016260162601626018
Flores V,2,0.016260162601626018
Friedman EM,2,0.016260162601626018
Galvao LW,2,0.016260162601626018
Gennings C,2,0.016260162601626018
Givens ML,2,0.016260162601626018
Grabow ML,2,0.016260162601626018
Green CL,2,0.016260162601626018
Greenlee RT,2,0.016260162601626018
Grupe DW,2,0.016260162601626018
Hagen EW,2,0.016260162601626018
He X,2,0.016260162601626018
Hii M,2,0.016260162601626018
Irving R,2,0.016260162601626018
Kanarek MS,2,0.016260162601626018
Kasza I,2,0.016260162601626018
Lamming DW,2,0.016260162601626018
Lange MA,2,0.016260162601626018
LoConte NK,2,0.016260162601626018
McCulley L,2,0.016260162601626018
Meinen A,2,0.016260162601626018
Namin S,2,0.016260162601626018
Nattinger AB,2,0.016260162601626018
Nord EC,2,0.016260162601626018
Oliver TR,2,0.016260162601626018
Olson MM,2,0.016260162601626018
Ouayogodé MH,2,0.016260162601626018
Palta M,2,0.016260162601626018
Poulsen K,2,0.016260162601626018
Remington PL,2,0.016260162601626018
Richardson NE,2,0.016260162601626018
Rodriguez A,2,0.016260162601626018
Rojas JM,2,0.016260162601626018
Rublee C,2,0.016260162601626018
Schaefer SM,2,0.016260162601626018
Schauer JJ,2,0.016260162601626018
Schmidt CW,2,0.016260162601626018
Shelton B,2,0.016260162601626018
Skarlupka JH,2,0.016260162601626018
Sonsalla MM,2,0.016260162601626018
Stanton N,2,0.016260162601626018
Stevenson J,2,0.016260162601626018
Stroope J,2,0.016260162601626018
Szabo A,2,0.016260162601626018
Tomasiewicz JL,2,0.016260162601626018
VanWormer JJ,2,0.016260162601626018
Wakai MH,2,0.016260162601626018
Werner M,2,0.016260162601626018
Westergaard R,2,0.016260162601626018
Yang SE,2,0.016260162601626018
Yu D,2,0.016260162601626018
Zuelsdorff M,2,0.016260162601626018
Aartsen AV,1,0.008130081300813009
Acharya A,1,0.008130081300813009
Aldred BN,1,0.008130081300813009
Alexander AL,1,0.008130081300813009
Asthana S,1,0.008130081300813009
Aul AM,1,0.008130081300813009
Babygirija R,1,0.008130081300813009
Balubaid A,1,0.008130081300813009
Banas MJ,1,0.008130081300813009
Barcelos C,1,0.008130081300813009
Bateman A,1,0.008130081300813009
Bendlin BB,1,0.008130081300813009
Berghoff A,1,0.008130081300813009
Bhutani S,1,0.008130081300813009
Bixby M,1,0.008130081300813009
Bizot P,1,0.008130081300813009
Blank JJ,1,0.008130081300813009
Bo R,1,0.008130081300813009
Bogar S,1,0.008130081300813009
Botelho J,1,0.008130081300813009
Bradfield CA,1,0.008130081300813009
Braun EJ,1,0.008130081300813009
Brinkman JA,1,0.008130081300813009
Broecker M,1,0.008130081300813009
Buckingham WR,1,0.008130081300813009
Bui LM,1,0.008130081300813009
Buttigieg EM,1,0.008130081300813009
Camponeschi J,1,0.008130081300813009
Carlsson CM,1,0.008130081300813009
Carney PR,1,0.008130081300813009
Chan V,1,0.008130081300813009
Chappell RJ,1,0.008130081300813009
Chin NA,1,0.008130081300813009
Christens BD,1,0.008130081300813009
Clark LR,1,0.008130081300813009
Cobb BL,1,0.008130081300813009
Cochran A,1,0.008130081300813009
Coe CL,1,0.008130081300813009
Cofiño R,1,0.008130081300813009
Coughlin L,1,0.008130081300813009
Creswell PD,1,0.008130081300813009
Cronin J,1,0.008130081300813009
Cruickshanks KJ,1,0.008130081300813009
Cyffka K,1,0.008130081300813009
Dantoin C,1,0.008130081300813009
Davidson JW,1,0.008130081300813009
Deming Y,1,0.008130081300813009
Denu RA,1,0.008130081300813009
Desai M,1,0.008130081300813009
Deshpande RR,1,0.008130081300813009
Dilworth-Bart J,1,0.008130081300813009
Dorn DC,1,0.008130081300813009
Drewry AM,1,0.008130081300813009
Dubno JR,1,0.008130081300813009
Edwards DF,1,0.008130081300813009
Edwards R,1,0.008130081300813009
Elver K,1,0.008130081300813009
Ennis GE,1,0.008130081300813009
Epel E,1,0.008130081300813009
Espino JV,1,0.008130081300813009
Finke M,1,0.008130081300813009
Finley AJ,1,0.008130081300813009
Galeotti T,1,0.008130081300813009
Garn AC,1,0.008130081300813009
Geier T,1,0.008130081300813009
Gennuso KP,1,0.008130081300813009
Gleason CE,1,0.008130081300813009
Golden RN,1,0.008130081300813009
Gonzalez P,1,0.008130081300813009
Gordon BS,1,0.008130081300813009
Green TL,1,0.008130081300813009
Greer YD,1,0.008130081300813009
Gresham L,1,0.008130081300813009
Gudnadottir U,1,0.008130081300813009
Guerrero N,1,0.008130081300813009
Guzmán A,1,0.008130081300813009
Haider LR,1,0.008130081300813009
Hale L,1,0.008130081300813009
Hall B,1,0.008130081300813009
Halling M,1,0.008130081300813009
Hammers RG,1,0.008130081300813009
He Y,1,0.008130081300813009
Health WOoCM,1,0.008130081300813009
Higgins ET,1,0.008130081300813009
Higgins JA,1,0.008130081300813009
Hill TD,1,0.008130081300813009
Hoggarth ZE,1,0.008130081300813009
Hoormann KA,1,0.008130081300813009
Hubbell R,1,0.008130081300813009
Hunt JC,1,0.008130081300813009
Jackson LE,1,0.008130081300813009
Jackson T,1,0.008130081300813009
Jacobs NM,1,0.008130081300813009
Jain R,1,0.008130081300813009
Jang C,1,0.008130081300813009
Jaques K,1,0.008130081300813009
