dataset,metric,value,top_x,year,computed_date
SHOW,n_papers,123,NA,NA,2026-06-24
SHOW,n_authors,339,NA,NA,2026-06-24
SHOW,hhi,0.7963513781479206,NA,NA,2026-06-24
SHOW,top_x_share,0.6666666666666666,1,NA,2026-06-24
SHOW,top_x_share,0.7398373983739838,3,NA,2026-06-24
SHOW,top_x_share,0.7804878048780488,5,NA,2026-06-24
SHOW,top_x_share,0.8130081300813008,10,NA,2026-06-24
SHOW,top_x_share,0.8536585365853658,20,NA,2026-06-24
SHOW,hhi,2.4814814814814827,NA,2014,2026-06-24
SHOW,top_x_share,0.8888888888888888,1,2014,2026-06-24
SHOW,top_x_share,1,3,2014,2026-06-24
SHOW,top_x_share,1,5,2014,2026-06-24
SHOW,top_x_share,1,10,2014,2026-06-24
SHOW,top_x_share,1,20,2014,2026-06-24
SHOW,hhi,1.198347107438016,NA,2015,2026-06-24
SHOW,top_x_share,0.7272727272727273,1,2015,2026-06-24
SHOW,top_x_share,0.7272727272727273,3,2015,2026-06-24
SHOW,top_x_share,0.9090909090909091,5,2015,2026-06-24
SHOW,top_x_share,1,10,2015,2026-06-24
SHOW,top_x_share,1,20,2015,2026-06-24
SHOW,hhi,1.2900000000000005,NA,2016,2026-06-24
SHOW,top_x_share,0.8,1,2016,2026-06-24
SHOW,top_x_share,0.8,3,2016,2026-06-24
SHOW,top_x_share,0.8,5,2016,2026-06-24
SHOW,top_x_share,1,10,2016,2026-06-24
SHOW,top_x_share,1,20,2016,2026-06-24
SHOW,hhi,1.2653061224489799,NA,2018,2026-06-24
SHOW,top_x_share,0.7142857142857143,1,2018,2026-06-24
SHOW,top_x_share,1,3,2018,2026-06-24
SHOW,top_x_share,1,5,2018,2026-06-24
SHOW,top_x_share,1,10,2018,2026-06-24
SHOW,top_x_share,1,20,2018,2026-06-24
SHOW,hhi,1.7901234567901245,NA,2019,2026-06-24
SHOW,top_x_share,1,1,2019,2026-06-24
SHOW,top_x_share,1,3,2019,2026-06-24
SHOW,top_x_share,1,5,2019,2026-06-24
SHOW,top_x_share,1,10,2019,2026-06-24
SHOW,top_x_share,1,20,2019,2026-06-24
SHOW,hhi,1.6913580246913593,NA,2020,2026-06-24
SHOW,top_x_share,0.7777777777777778,1,2020,2026-06-24
SHOW,top_x_share,0.7777777777777778,3,2020,2026-06-24
SHOW,top_x_share,0.8888888888888888,5,2020,2026-06-24
SHOW,top_x_share,0.8888888888888888,10,2020,2026-06-24
SHOW,top_x_share,1,20,2020,2026-06-24
SHOW,hhi,1.4652777777777768,NA,2021,2026-06-24
SHOW,top_x_share,0.6666666666666666,1,2021,2026-06-24
SHOW,top_x_share,0.75,3,2021,2026-06-24
SHOW,top_x_share,0.75,5,2021,2026-06-24
SHOW,top_x_share,0.8333333333333334,10,2021,2026-06-24
SHOW,top_x_share,1,20,2021,2026-06-24
SHOW,hhi,0.8622222222222231,NA,2022,2026-06-24
SHOW,top_x_share,0.5333333333333333,1,2022,2026-06-24
SHOW,top_x_share,0.7333333333333333,3,2022,2026-06-24
SHOW,top_x_share,0.7333333333333333,5,2022,2026-06-24
SHOW,top_x_share,0.8,10,2022,2026-06-24
SHOW,top_x_share,1,20,2022,2026-06-24
SHOW,hhi,1.5619834710743794,NA,2023,2026-06-24
SHOW,top_x_share,0.7272727272727273,1,2023,2026-06-24
SHOW,top_x_share,0.9090909090909091,3,2023,2026-06-24
SHOW,top_x_share,0.9090909090909091,5,2023,2026-06-24
SHOW,top_x_share,1,10,2023,2026-06-24
SHOW,top_x_share,1,20,2023,2026-06-24
SHOW,hhi,1.5679012345679018,NA,2024,2026-06-24
SHOW,top_x_share,0.6666666666666666,1,2024,2026-06-24
SHOW,top_x_share,0.6666666666666666,3,2024,2026-06-24
SHOW,top_x_share,0.7777777777777778,5,2024,2026-06-24
SHOW,top_x_share,1,10,2024,2026-06-24
SHOW,top_x_share,1,20,2024,2026-06-24
SHOW,hhi,1.5486111111111103,NA,2025,2026-06-24
SHOW,top_x_share,0.75,1,2025,2026-06-24
SHOW,top_x_share,0.8333333333333334,3,2025,2026-06-24
SHOW,top_x_share,0.8333333333333334,5,2025,2026-06-24
SHOW,top_x_share,0.8333333333333334,10,2025,2026-06-24
SHOW,top_x_share,1,20,2025,2026-06-24
