pmid,title,abstract,pub_year,text,has_abstract
show_pmid_33887198,The adverse metabolic effects of branched-chain amino acids are mediated by isoleucine and valine,NA,2021,The adverse metabolic effects of branched-chain amino acids are mediated by isoleucine and valine,FALSE
show_pmid_39822591,Comparison of sample characteristics of Wisconsin Alzheimer's Disease Research Center participants with the Wisconsin state population-An evaluation of the recruitment effort,NA,2025,Comparison of sample characteristics of Wisconsin Alzheimer's Disease Research Center participants with the Wisconsin state population-An evaluation of the recruitment effort,FALSE
show_pmid_36086823,Regulation of metabolic health by dietary histidine in mice,NA,2023,Regulation of metabolic health by dietary histidine in mice,FALSE
show_pmid_35433595,The Survey of the Health of Wisconsin (SHOW) Program: An Infrastructure for Advancing Population Health,NA,2022,The Survey of the Health of Wisconsin (SHOW) Program: An Infrastructure for Advancing Population Health,FALSE
show_pmid_38604574,"Participant attrition from statewide, population-based Survey of the Health of Wisconsin into the longitudinal SHOW COVID-19 cohort",NA,2024,"Participant attrition from statewide, population-based Survey of the Health of Wisconsin into the longitudinal SHOW COVID-19 cohort",FALSE
show_pmid_40533471,Food insecurity modifies the association between the gut microbiome and the risk of cognitive impairment in adults.,NA,2025,Food insecurity modifies the association between the gut microbiome and the risk of cognitive impairment in adults.,FALSE
show_doi_10_1101_2020_12_18_20248479,Population Changes in Seroprevalence among a Statewide Sample in the United States,NA,2020,Population Changes in Seroprevalence among a Statewide Sample in the United States,FALSE
show_pmid_32217918,Reasons Behind Preferences for Community-Based Continence Promotion,NA,2020,Reasons Behind Preferences for Community-Based Continence Promotion,FALSE
show_pmid_31978285,"Survey of Radon Testing and Mitigation by Wisconsin Residents, Landlords, and School Districts",NA,2019,"Survey of Radon Testing and Mitigation by Wisconsin Residents, Landlords, and School Districts",FALSE
show_doi_10_1101_2021_02_18_21252017,Statewide Impact of COVID-19 on Social Determinants of Health—A First Look: Findings from the Survey of the Health of Wisconsin,NA,2021,Statewide Impact of COVID-19 on Social Determinants of Health—A First Look: Findings from the Survey of the Health of Wisconsin,FALSE
show_pmid_25391283,The Wisconsin Assessment of the Social and Built Environment (WASABE) A Multi-dimensional Objective Audit Instrument for Examining Neighborhood Effects on Health,NA,2014,The Wisconsin Assessment of the Social and Built Environment (WASABE) A Multi-dimensional Objective Audit Instrument for Examining Neighborhood Effects on Health,FALSE
show_pmid_29588324,"Wisconsin microbiome study, a cross-sectional investigation of dietary fibre, microbiome composition and antibiotic-resistant organisms: rationale and methods",NA,2018,"Wisconsin microbiome study, a cross-sectional investigation of dietary fibre, microbiome composition and antibiotic-resistant organisms: rationale and methods",FALSE
show_doi_10_1101_2022_08_24_22279186,Identification of novel plasma lipid markers of cardiovascular disease risk in White and Black women,NA,2022,Identification of novel plasma lipid markers of cardiovascular disease risk in White and Black women,FALSE
show_pmid_32708240,Investigating Cumulative Exposures among 3- to 4-Year-Old Children Using Wearable Ultrafine Particle Sensors and Language Environment Devices: A Pilot and Feasibility Study,NA,2020,Investigating Cumulative Exposures among 3- to 4-Year-Old Children Using Wearable Ultrafine Particle Sensors and Language Environment Devices: A Pilot and Feasibility Study,FALSE
show_pmid_35859546,Perceived stress associations with hippocampal-dependent behavior and hippocampal subfield volume,NA,2022,Perceived stress associations with hippocampal-dependent behavior and hippocampal subfield volume,FALSE
show_doi_10_1080_10253890_2023_2174780,Inverse association between stress induced cortisol elevations and negative emotional reactivity to stress in humans,NA,2023,Inverse association between stress induced cortisol elevations and negative emotional reactivity to stress in humans,FALSE
show_pmid_36288361,"Assessing the relationship between physical activity and the gut microbiome in a large, population-based sample of Wisconsin adults",NA,2022,"Assessing the relationship between physical activity and the gut microbiome in a large, population-based sample of Wisconsin adults",FALSE
show_doi_10_1016_j_jth_2019_100625,What moves us: Subjective and objective predictors of active transportation,NA,2019,What moves us: Subjective and objective predictors of active transportation,FALSE
show_pmid_38759771,Determinants of per- and polyfluoroalkyl substances (PFAS) exposure among Wisconsin residents,NA,2024,Determinants of per- and polyfluoroalkyl substances (PFAS) exposure among Wisconsin residents,FALSE
show_doi_10_1101_2021_11_22_21266369,The Population-based Microbiome Research Core: a longitudinal infrastructure for assessment of household microbiome and human health research,NA,2021,The Population-based Microbiome Research Core: a longitudinal infrastructure for assessment of household microbiome and human health research,FALSE
show_pmid_24467991,Predictors of Discordance Between Perceived and Objective Neighborhood Data,NA,2014,Predictors of Discordance Between Perceived and Objective Neighborhood Data,FALSE
show_pmid_31518933,Urinary lead concentration and composition of the adult gut microbiota in a cross-sectional population-based sample,NA,2019,Urinary lead concentration and composition of the adult gut microbiota in a cross-sectional population-based sample,FALSE
show_pmid_21182792,The Survey of the Health of Wisconsin (SHOW) a novel infrastructure for population health research: rationale and methods,NA,2010,The Survey of the Health of Wisconsin (SHOW) a novel infrastructure for population health research: rationale and methods,FALSE
show_pmid_32185142,Household Pet Ownership and the Microbial Diversity of the Human Gut Microbiota,NA,2020,Household Pet Ownership and the Microbial Diversity of the Human Gut Microbiota,FALSE
show_doi_10_5897_JTEHS2022_0506,"Fish consumption, awareness of fish advisories, and body burden of contaminants among the Milwaukee urban anglers: A biomonitoring study",NA,2022,"Fish consumption, awareness of fish advisories, and body burden of contaminants among the Milwaukee urban anglers: A biomonitoring study",FALSE
show_pmid_34112016,Exposure to socioenvironmental stress as a predictor of physical and mental health,NA,2022,Exposure to socioenvironmental stress as a predictor of physical and mental health,FALSE
show_pmid_22901794,Perceived Neighborhood Quality Sleep Quality and Health Status: Evidence from the Survey of the Health of Wisconsin,NA,2013,Perceived Neighborhood Quality Sleep Quality and Health Status: Evidence from the Survey of the Health of Wisconsin,FALSE
show_pmid_37580384,Biomonitoring of perfluoroalkyl and polyfluoroalkyl substances (PFAS) from the Survey of the Health of Wisconsin (SHOW) 2014-2016 and comparison with the National Health and Nutrition Examination Survey (NHANES),NA,2023,Biomonitoring of perfluoroalkyl and polyfluoroalkyl substances (PFAS) from the Survey of the Health of Wisconsin (SHOW) 2014-2016 and comparison with the National Health and Nutrition Examination Survey (NHANES),FALSE
show_doi_10_1016_j_mhpa_2025_100673,Physical activity and mental health in patients with multimorbidity,NA,2025,Physical activity and mental health in patients with multimorbidity,FALSE
show_doi_10_1016_j_sleh_2015_04_014,"Shiftwork, Sleep Habits, and Metabolic Disparities: Results from the Survey of the Health of Wisconsin",NA,2015,"Shiftwork, Sleep Habits, and Metabolic Disparities: Results from the Survey of the Health of Wisconsin",FALSE
show_doi_10_1093_poq_nfv041,Effects of Sequential Prepaid Incentives and Envelope Messaging in Mail Surveys,NA,2015,Effects of Sequential Prepaid Incentives and Envelope Messaging in Mail Surveys,FALSE
show_pmid_29095587,Neighborhood Disparities in the Restaurant Food Environment,NA,2016,Neighborhood Disparities in the Restaurant Food Environment,FALSE
show_pmid_34930464,"Assessing the impact of storage time on the stability of stool microbiota richness, diversity, and composition",NA,2021,"Assessing the impact of storage time on the stability of stool microbiota richness, diversity, and composition",FALSE
