list_index,source_year,source_listed_author,source_title,source_journal,canonical_title,lead_author,coauthors,full_author_list,author_count_in_list,author_list_status,publication_type,publication_year,journal_or_source,volume_issue_pages,doi,pmid,pmcid,canonical_article_url,duplicate_of_list_index,metadata_status,notes,metadata_retrieved_date,reach_publications_page
1,2010,"Nieto, F. J. et al.",The Survey of the Health of Wisconsin (SHOW) a novel infrastructure for population health research: rationale and methods,BMC Public Health,The Survey of the Health of Wisconsin (SHOW) a novel infrastructure for population health research: rationale and methods,F Javier Nieto,Paul E Peppard; Corinne D Engelman; Jane A McElroy; Loren W Galvao; Elliot M Friedman; Andrew J Bersch; Kristen C Malecki,F Javier Nieto; Paul E Peppard; Corinne D Engelman; Jane A McElroy; Loren W Galvao; Elliot M Friedman; Andrew J Bersch; Kristen C Malecki,8,complete,Journal article,2010,BMC Public Health,2010;10:785,10.1186/1471-2458-10-785,21182792,PMC3022857,https://doi.org/10.1186/1471-2458-10-785,,verified,,2026-06-24,https://reach.med.wisc.edu/research/#publications
2,2012,"Guzmán, A. et al.",Evaluating Effects of Statewide Smoking Regulations on Smoking Behaviors Among Participants in the Survey of the Health of Wisconsin,WMJ,Evaluating Effects of Statewide Smoking Regulations on Smoking Behaviors Among Participants in the Survey of the Health of Wisconsin,Alexis Guzmán,Matthew C Walsh; Stevens S Smith; Kristen C Malecki; F Javier Nieto,Alexis Guzmán; Matthew C Walsh; Stevens S Smith; Kristen C Malecki; F Javier Nieto,5,complete,Journal article,2012,WMJ,2012;111(4):166-171,,,,https://wmjonline.org/wp-content/uploads/2012/111/4/166.pdf,,verified,,2026-06-24,https://reach.med.wisc.edu/research/#publications
3,2012,"Knobeloch, L. et al.",Perfluoroalkyl chemicals in vacuum cleaner dust from Wisconsin homes,Chemosphere,Perfluoroalkyl chemicals in vacuum cleaner dust from Wisconsin homes,Lynda Knobeloch,Pamela Imm; Henry Anderson,Lynda Knobeloch; Pamela Imm; Henry Anderson,3,complete,Journal article,2012,Chemosphere,2012;88(7):779-783,10.1016/j.chemosphere.2012.03.082,22542201,,https://doi.org/10.1016/j.chemosphere.2012.03.082,,verified,,2026-06-24,https://reach.med.wisc.edu/research/#publications
4,2012,"VanWormer, J. J. et al.",Aspirin for primary prevention of CVD: Are the right people using it?,J Fam Pract,Aspirin for primary prevention of CVD: Are the right people using it?,Jeffrey J VanWormer,Robert T Greenlee; Patrick E McBride; Paul E Peppard; Kristen C Malecki; Jing Che; F Javier Nieto,Jeffrey J VanWormer; Robert T Greenlee; Patrick E McBride; Paul E Peppard; Kristen C Malecki; Jing Che; F Javier Nieto,7,complete,Journal article,2012,Journal of Family Practice,2012;61(9):525-532,,23000660,,https://pubmed.ncbi.nlm.nih.gov/23000660/,,verified,,2026-06-24,https://reach.med.wisc.edu/research/#publications
5,2013,"VanWormer, J. J. et al.",Oral Hygiene and Cardiometabolic Disease Risk in the Survey of the Health of Wisconsin,Community Dent Oral Epidemiol,Oral Hygiene and Cardiometabolic Disease Risk in the Survey of the Health of Wisconsin,Jeffrey J VanWormer,Amit Acharya; Robert T Greenlee; F Javier Nieto,Jeffrey J VanWormer; Amit Acharya; Robert T Greenlee; F Javier Nieto,4,complete,Journal article,2013,Community Dentistry and Oral Epidemiology,2013;41(4):374-384,10.1111/cdoe.12015,23106415,PMC3566323,https://doi.org/10.1111/cdoe.12015,,verified,,2026-06-24,https://reach.med.wisc.edu/research/#publications
6,2013,"Hale, L., et al.",Perceived Neighborhood Quality Sleep Quality and Health Status: Evidence from the Survey of the Health of Wisconsin,Soc Sci Med,Perceived Neighborhood Quality Sleep Quality and Health Status: Evidence from the Survey of the Health of Wisconsin,Lauren Hale,Terrence D Hill; Elliot Friedman; F Javier Nieto; Loren W Galvao; Corinne D Engelman; Kristen M C Malecki; Paul E Peppard,Lauren Hale; Terrence D Hill; Elliot Friedman; F Javier Nieto; Loren W Galvao; Corinne D Engelman; Kristen M C Malecki; Paul E Peppard,8,complete,Journal article,2013,Social Science & Medicine,2013;79:16-22,10.1016/j.socscimed.2012.07.021,22901794,PMC3733364,https://doi.org/10.1016/j.socscimed.2012.07.021,,verified,,2026-06-24,https://reach.med.wisc.edu/research/#publications
7,2014,"Bailey, E. J. et al.",Predictors of Discordance Between Perceived and Objective Neighborhood Data,Ann Epidemiol,Predictors of Discordance Between Perceived and Objective Neighborhood Data,Erin J Bailey,Kristen C Malecki; Corinne D Engelman; Matthew C Walsh; Andrew J Bersch; Ana P Martinez-Donate; Paul E Peppard; F Javier Nieto,Erin J Bailey; Kristen C Malecki; Corinne D Engelman; Matthew C Walsh; Andrew J Bersch; Ana P Martinez-Donate; Paul E Peppard; F Javier Nieto,8,complete,Journal article,2014,Annals of Epidemiology,2014;24(3):214-221,10.1016/j.annepidem.2013.12.007,24467991,PMC3947547,https://doi.org/10.1016/j.annepidem.2013.12.007,,verified,,2026-06-24,https://reach.med.wisc.edu/research/#publications
8,2014,"Beyer, K. M. et al.",Exposure to Neighborhood Green Space and Mental Health: Evidence From the Survey of the Health of Wisconsin,Int J Environ Res Public Health,Exposure to Neighborhood Green Space and Mental Health: Evidence From the Survey of the Health of Wisconsin,Kirsten M M Beyer,Andrea Kaltenbach; Aniko Szabo; Sandra Bogar; F Javier Nieto; Kristen M Malecki,Kirsten M M Beyer; Andrea Kaltenbach; Aniko Szabo; Sandra Bogar; F Javier Nieto; Kristen M Malecki,6,complete,Journal article,2014,International Journal of Environmental Research and Public Health,2014;11(3):3453-3472,10.3390/ijerph110303453,24662966,PMC3987044,https://doi.org/10.3390/ijerph110303453,,verified,,2026-06-24,https://reach.med.wisc.edu/research/#publications
9,2014,"Che, J. et al.",Overall Prescription Medication Use Among Wisconsin Adults: Findings from the Survey of the Health of Wisconsin,WMJ,Overall Prescription Medication Use Among Wisconsin Adults: Findings from the Survey of the Health of Wisconsin,Jianhong Che,Kristen C Malecki; Matthew C Walsh; Andrew J Bersch; Vincent Chan; Christine A McWilliams; F Javier Nieto,Jianhong Che; Kristen C Malecki; Matthew C Walsh; Andrew J Bersch; Vincent Chan; Christine A McWilliams; F Javier Nieto,7,complete,Journal article,2014,WMJ,2014;113(6):232-237; quiz 238,,25745697,PMC6095699,https://pmc.ncbi.nlm.nih.gov/articles/PMC6095699/,,verified,,2026-06-24,https://reach.med.wisc.edu/research/#publications
10,2014,"Cofiño, R., et al.",The Art of Drawing Numbers and Stories in the Air: Epidemiology Information Emotion and Action,J Epidemiol Community Health,The Art of Drawing Numbers and Stories in the Air: Epidemiology Information Emotion and Action,Rafael Cofiño,Miguel Prieto; Oscar Suárez; Kristen Malecki,Rafael Cofiño; Miguel Prieto; Oscar Suárez; Kristen Malecki,4,complete,Journal article,2014,Journal of Epidemiology and Community Health,2014;68(12):1109-1111,10.1136/jech-2014-203883,25190819,,https://doi.org/10.1136/jech-2014-203883,,verified,,2026-06-24,https://reach.med.wisc.edu/research/#publications
