paper_id,list_index,title,pub_year,pmid,doi,journal,publication_type,author_list_status,author_list,n_authors
show_pmid_33887198,72,The adverse metabolic effects of branched-chain amino acids are mediated by isoleucine and valine,2021,33887198,10.1016/j.cmet.2021.03.025,Cell Metabolism,Journal article,complete,Yu D|Richardson NE|Green CL|Spicer AB|Murphy ME|Flores V|Jang C|Kasza I|Nikodemova M|Wakai MH|Tomasiewicz JL|Yang SE|Miller BR|Pak HH|Brinkman JA|Rojas JM|Quinn WJ|Cheng EP|Konon EN|Haider LR|Finke M|Sonsalla M|Alexander CM|Rabinowitz JD|Baur JA|Malecki KC|Lamming DW,27
show_pmid_39822591,129,Comparison of sample characteristics of Wisconsin Alzheimer's Disease Research Center participants with the Wisconsin state population-An evaluation of the recruitment effort,2025,39822591,10.1002/trc2.70036,Alzheimer’s & Dementia: Translational Research & Clinical Interventions,Journal article,complete,Ma Y|Pinzon MCM|Buckingham WR|Bersch AJ|Powell WR|LeCaire TJ|Ennis GE|Deming Y|Jonaitis EM|Chin NA|Clark LR|Edwards DF|Walaszek A|Okonkwo OC|Zuelsdorff M|Chappell RJ|Johnson SC|Asthana S|Gleason CE|Kind AJ|Bendlin BB|Carlsson CM,22
show_pmid_36086823,91,Regulation of metabolic health by dietary histidine in mice,2023,36086823,10.1113/JP283261,The Journal of Physiology,Journal article,complete,Flores V|Spicer AB|Sonsalla MM|Richardson NE|Yu D|Sheridan GE|Trautman ME|Babygirija R|Cheng EP|Rojas JM|Yang SE|Wakai MH|Hubbell R|Kasza I|Tomasiewicz JL|Green CL|Dantoin C|Alexander CM|Baur JA|Malecki KC|Lamming DW,21
show_pmid_35433595,85,The Survey of the Health of Wisconsin (SHOW) Program: An Infrastructure for Advancing Population Health,2022,35433595,10.3389/fpubh.2022.818777,Frontiers in Public Health,Journal article,complete,Malecki KMC|Nikodemova M|Schultz AA|LeCaire TJ|Bersch AJ|Cadmus-Bertram L|Engelman CD|Hagen E|McCulley L|Palta M|Rodriguez A|Sethi AK|Walsh MC|Nieto FJ|Peppard PE,15
show_pmid_38604574,117,"Participant attrition from statewide, population-based Survey of the Health of Wisconsin into the longitudinal SHOW COVID-19 cohort",2024,38604574,10.1016/j.annepidem.2024.04.001,Annals of Epidemiology,Journal article,complete,Schultz AA|Nelson-Bakkum E|Nikodemova M|Luongo S|Barnet JH|Walsh MC|Bersch A|Sethi A|Peppard P|Cadmus-Bertram L|Engelman CD|Lubsen J|Jackson T|Malecki KMC,14
show_pmid_40533471,121,Food insecurity modifies the association between the gut microbiome and the risk of cognitive impairment in adults.,2025,40533471,10.1038/s41514-025-00241-0,npj Aging,Journal article,complete,Eggers S|Hoggarth ZE|Nagdeo K|Banas MJ|Lane JM|Rechtman E|Gennings C|O’Neal E|Peppard PE|Sethi AK|Safdar N|Malecki KMC|Schultz AA|Midya V,14
show_doi_10_1101_2020_12_18_20248479,79,Population Changes in Seroprevalence among a Statewide Sample in the United States,2020,NA,10.1101/2020.12.18.20248479,medRxiv,Preprint,complete,Malecki K|Nikodemova M|Schultz AA|Bersch A|Walsh MC|Sethi AK|Peppard P|Engelman C|Cadmus-Bertram L|Safdar N|Bateman A|Westergaard R,12
show_pmid_32217918,64,Reasons Behind Preferences for Community-Based Continence Promotion,2020,32217918,10.1097/SPV.0000000000000806,Female Pelvic Medicine & Reconstructive Surgery,Journal article,complete,Brown HW|Wise ME|LeCaire TJ|Braun EJ|Drewry AM|Buttigieg EM|Macco M|Barnet JH|Bersch A|Peppard PE|Malecki KMC|Nieto FJ|Mahoney JE,13
show_pmid_31978285,57,"Survey of Radon Testing and Mitigation by Wisconsin Residents, Landlords, and School Districts",2019,31978285,NA,WMJ,Journal article,complete,Denu RA|Maloney J|Tomasallo CD|Jacobs NM|Krebsbach JK|Schmaling AL|Perez E|Bersch AJ|LeCaire TJ|Meiman JG|Malecki KM|LoConte NK,12
show_doi_10_1101_2021_02_18_21252017,86,Statewide Impact of COVID-19 on Social Determinants of Health—A First Look: Findings from the Survey of the Health of Wisconsin,2021,NA,10.1101/2021.02.18.21252017,medRxiv,Preprint,complete,Malecki KMC|Schultz AA|Nikodemova M|Walsh MC|Bersch AJ|Cronin J|Cadmus-Bertram L|Engelman CD|Lubsen JR|Peppard PE|Sethi AK,11
