period,period_start,period_end,metric,value,top_x,cluster,domain
"Domain 1: vms, frequent, vasomotor, symptoms",NA,NA,n_papers,34,NA,1,"Domain 1: vms, frequent, vasomotor, symptoms"
"Domain 1: vms, frequent, vasomotor, symptoms",NA,NA,n_authors,115,NA,1,"Domain 1: vms, frequent, vasomotor, symptoms"
"Domain 1: vms, frequent, vasomotor, symptoms",NA,NA,hhi,1.2759515570934226,NA,1,"Domain 1: vms, frequent, vasomotor, symptoms"
"Domain 1: vms, frequent, vasomotor, symptoms",NA,NA,top_x_share,0.5882352941176471,1,1,"Domain 1: vms, frequent, vasomotor, symptoms"
"Domain 1: vms, frequent, vasomotor, symptoms",NA,NA,top_x_share,0.7941176470588235,3,1,"Domain 1: vms, frequent, vasomotor, symptoms"
"Domain 1: vms, frequent, vasomotor, symptoms",NA,NA,top_x_share,0.7941176470588235,5,1,"Domain 1: vms, frequent, vasomotor, symptoms"
"Domain 1: vms, frequent, vasomotor, symptoms",NA,NA,top_x_share,0.7941176470588235,10,1,"Domain 1: vms, frequent, vasomotor, symptoms"
"Domain 2: cac, carotid, subclinical, progression",NA,NA,n_papers,47,NA,2,"Domain 2: cac, carotid, subclinical, progression"
"Domain 2: cac, carotid, subclinical, progression",NA,NA,n_authors,105,NA,2,"Domain 2: cac, carotid, subclinical, progression"
"Domain 2: cac, carotid, subclinical, progression",NA,NA,hhi,1.8601177003168867,NA,2,"Domain 2: cac, carotid, subclinical, progression"
"Domain 2: cac, carotid, subclinical, progression",NA,NA,top_x_share,0.7659574468085106,1,2,"Domain 2: cac, carotid, subclinical, progression"
"Domain 2: cac, carotid, subclinical, progression",NA,NA,top_x_share,0.9148936170212766,3,2,"Domain 2: cac, carotid, subclinical, progression"
"Domain 2: cac, carotid, subclinical, progression",NA,NA,top_x_share,0.9148936170212766,5,2,"Domain 2: cac, carotid, subclinical, progression"
"Domain 2: cac, carotid, subclinical, progression",NA,NA,top_x_share,0.9148936170212766,10,2,"Domain 2: cac, carotid, subclinical, progression"
"Domain 3: concentrations, fmp, hormone, menopause",NA,NA,n_papers,295,NA,3,"Domain 3: concentrations, fmp, hormone, menopause"
"Domain 3: concentrations, fmp, hormone, menopause",NA,NA,n_authors,539,NA,3,"Domain 3: concentrations, fmp, hormone, menopause"
"Domain 3: concentrations, fmp, hormone, menopause",NA,NA,hhi,0.48058603849467796,NA,3,"Domain 3: concentrations, fmp, hormone, menopause"
"Domain 3: concentrations, fmp, hormone, menopause",NA,NA,top_x_share,0.2677966101694915,1,3,"Domain 3: concentrations, fmp, hormone, menopause"
"Domain 3: concentrations, fmp, hormone, menopause",NA,NA,top_x_share,0.5389830508474577,3,3,"Domain 3: concentrations, fmp, hormone, menopause"
"Domain 3: concentrations, fmp, hormone, menopause",NA,NA,top_x_share,0.6711864406779661,5,3,"Domain 3: concentrations, fmp, hormone, menopause"
"Domain 3: concentrations, fmp, hormone, menopause",NA,NA,top_x_share,0.8,10,3,"Domain 3: concentrations, fmp, hormone, menopause"
"Domain 4: discrimination, perceived, experiences, racial",NA,NA,n_papers,13,NA,4,"Domain 4: discrimination, perceived, experiences, racial"
"Domain 4: discrimination, perceived, experiences, racial",NA,NA,n_authors,37,NA,4,"Domain 4: discrimination, perceived, experiences, racial"
"Domain 4: discrimination, perceived, experiences, racial",NA,NA,hhi,0.9822485207100602,NA,4,"Domain 4: discrimination, perceived, experiences, racial"
"Domain 4: discrimination, perceived, experiences, racial",NA,NA,top_x_share,0.46153846153846156,1,4,"Domain 4: discrimination, perceived, experiences, racial"
"Domain 4: discrimination, perceived, experiences, racial",NA,NA,top_x_share,0.6923076923076923,3,4,"Domain 4: discrimination, perceived, experiences, racial"
"Domain 4: discrimination, perceived, experiences, racial",NA,NA,top_x_share,0.6923076923076923,5,4,"Domain 4: discrimination, perceived, experiences, racial"
"Domain 4: discrimination, perceived, experiences, racial",NA,NA,top_x_share,0.7692307692307693,10,4,"Domain 4: discrimination, perceived, experiences, racial"
"Domain 5: hdl, size, large, cholesterol",NA,NA,n_papers,5,NA,5,"Domain 5: hdl, size, large, cholesterol"
"Domain 5: hdl, size, large, cholesterol",NA,NA,n_authors,16,NA,5,"Domain 5: hdl, size, large, cholesterol"
"Domain 5: hdl, size, large, cholesterol",NA,NA,hhi,8.12,NA,5,"Domain 5: hdl, size, large, cholesterol"
"Domain 5: hdl, size, large, cholesterol",NA,NA,top_x_share,1,1,5,"Domain 5: hdl, size, large, cholesterol"
"Domain 5: hdl, size, large, cholesterol",NA,NA,top_x_share,1,3,5,"Domain 5: hdl, size, large, cholesterol"
"Domain 5: hdl, size, large, cholesterol",NA,NA,top_x_share,1,5,5,"Domain 5: hdl, size, large, cholesterol"
"Domain 5: hdl, size, large, cholesterol",NA,NA,top_x_share,1,10,5,"Domain 5: hdl, size, large, cholesterol"
"Domain 6: depressive, symptoms, physical, functioning",NA,NA,n_papers,201,NA,6,"Domain 6: depressive, symptoms, physical, functioning"
"Domain 6: depressive, symptoms, physical, functioning",NA,NA,n_authors,358,NA,6,"Domain 6: depressive, symptoms, physical, functioning"
"Domain 6: depressive, symptoms, physical, functioning",NA,NA,hhi,0.4345436994133834,NA,6,"Domain 6: depressive, symptoms, physical, functioning"
"Domain 6: depressive, symptoms, physical, functioning",NA,NA,top_x_share,0.208955223880597,1,6,"Domain 6: depressive, symptoms, physical, functioning"
